time,mean_attention,std_attention
0.0000,0.002884,0.000489
0.0099,0.002733,0.000452
0.0198,0.003640,0.000578
0.0297,0.003339,0.000658
0.0396,0.003275,0.000691
0.0495,0.003487,0.000736
0.0594,0.003219,0.000673
0.0693,0.003135,0.000588
0.0792,0.003665,0.000836
0.0891,0.003788,0.001016
0.0990,0.003774,0.000858
0.1088,0.004008,0.000853
0.1187,0.003940,0.000795
0.1286,0.003950,0.000791
0.1385,0.003896,0.000888
0.1484,0.003890,0.000808
0.1583,0.003821,0.000794
0.1682,0.003919,0.000981
0.1781,0.003925,0.001119
0.1880,0.003895,0.001146
0.1979,0.003964,0.001115
0.2078,0.004096,0.001278
0.2177,0.003988,0.001297
0.2276,0.003949,0.001234
0.2375,0.004158,0.001293
0.2474,0.004008,0.001248
0.2573,0.003929,0.001225
0.2672,0.003993,0.001179
0.2771,0.004220,0.001176
0.2870,0.004291,0.001335
0.2969,0.004119,0.001129
0.3068,0.004121,0.001062
0.3167,0.004230,0.001106
0.3265,0.004286,0.001173
0.3364,0.004221,0.001153
0.3463,0.004144,0.001109
0.3562,0.004174,0.001102
0.3661,0.004297,0.001197
0.3760,0.004358,0.001197
0.3859,0.004309,0.001080
0.3958,0.004286,0.001099
0.4057,0.004342,0.001172
0.4156,0.004307,0.001089
0.4255,0.004343,0.001126
0.4354,0.004472,0.001278
0.4453,0.004513,0.001284
0.4552,0.004527,0.001169
0.4651,0.004553,0.001242
0.4750,0.004666,0.001226
0.4849,0.004653,0.001164
0.4948,0.004452,0.000969
0.5047,0.004372,0.000938
0.5146,0.004493,0.000975
0.5245,0.004542,0.001069
0.5344,0.004547,0.001148
0.5442,0.004541,0.001226
0.5541,0.004600,0.001220
0.5640,0.004592,0.001217
0.5739,0.004551,0.001122
0.5838,0.004542,0.000986
0.5937,0.004362,0.000970
0.6036,0.004576,0.001078
0.6135,0.004738,0.001185
0.6234,0.004845,0.001227
0.6333,0.004799,0.001358
0.6432,0.004869,0.001237
0.6531,0.004952,0.001179
0.6630,0.005058,0.001141
0.6729,0.004974,0.001315
0.6828,0.004883,0.001264
0.6927,0.004991,0.001233
0.7026,0.005114,0.001199
0.7125,0.005046,0.001289
0.7224,0.004898,0.001325
0.7323,0.005002,0.001260
0.7422,0.005149,0.001273
0.7521,0.005122,0.001272
0.7619,0.005043,0.001481
0.7718,0.004965,0.001494
0.7817,0.004806,0.001540
0.7916,0.004927,0.001491
0.8015,0.004990,0.001372
0.8114,0.004874,0.001648
0.8213,0.005179,0.001589
0.8312,0.005321,0.001459
0.8411,0.005281,0.001318
0.8510,0.005328,0.001315
0.8609,0.005353,0.001512
0.8708,0.005073,0.001526
0.8807,0.005059,0.001616
0.8906,0.005077,0.001382
0.9005,0.005028,0.001272
0.9104,0.004992,0.001266
0.9203,0.004890,0.001250
0.9302,0.005005,0.001131
0.9401,0.005079,0.001418
0.9500,0.005422,0.001489
0.9599,0.005499,0.001373
0.9698,0.005480,0.001408
0.9796,0.005615,0.001261
0.9895,0.005454,0.001230
0.9994,0.005131,0.001084
1.0093,0.005142,0.001193
1.0192,0.005188,0.001378
1.0291,0.005087,0.001276
1.0390,0.004831,0.001223
1.0489,0.004632,0.001123
1.0588,0.004856,0.001112
1.0687,0.005085,0.001022
1.0786,0.005086,0.000928
1.0885,0.005145,0.000982
1.0984,0.005207,0.000952
1.1083,0.005254,0.001009
1.1182,0.005175,0.001099
1.1281,0.005085,0.001075
1.1380,0.004920,0.001086
1.1479,0.004820,0.001054
1.1578,0.004792,0.001064
1.1677,0.004775,0.000983
1.1776,0.004874,0.001061
1.1875,0.004741,0.001110
1.1973,0.004703,0.001040
1.2072,0.004725,0.000987
1.2171,0.004765,0.001014
1.2270,0.004637,0.000880
1.2369,0.004565,0.000896
1.2468,0.004661,0.000877
1.2567,0.004881,0.000893
1.2666,0.004966,0.001178
1.2765,0.004872,0.001132
1.2864,0.004759,0.000982
1.2963,0.004593,0.001071
1.3062,0.004640,0.001016
1.3161,0.004797,0.001137
1.3260,0.004887,0.001329
1.3359,0.004903,0.001431
1.3458,0.004864,0.001456
1.3557,0.004788,0.001370
1.3656,0.004656,0.001173
1.3755,0.004692,0.001164
1.3854,0.004745,0.001056
1.3953,0.004769,0.001070
1.4052,0.004673,0.001028
1.4150,0.004730,0.001075
1.4249,0.004797,0.000994
1.4348,0.004750,0.000924
1.4447,0.004723,0.000980
1.4546,0.004849,0.001105
1.4645,0.004832,0.001175
1.4744,0.004860,0.001044
1.4843,0.005127,0.001070
1.4942,0.005220,0.001338
1.5041,0.005461,0.001287
1.5140,0.005429,0.001241
1.5239,0.005269,0.001288
1.5338,0.004879,0.001168
1.5437,0.004940,0.001226
1.5536,0.005095,0.001338
1.5635,0.005089,0.001364
1.5734,0.005041,0.001355
1.5833,0.004795,0.001351
1.5932,0.004733,0.001314
1.6031,0.004485,0.001155
1.6130,0.004274,0.001320
1.6229,0.004310,0.001137
1.6327,0.004352,0.001227
1.6426,0.004392,0.001194
1.6525,0.004327,0.001140
1.6624,0.004272,0.001137
1.6723,0.004251,0.000938
1.6822,0.004349,0.000967
1.6921,0.004455,0.001157
1.7020,0.004538,0.001030
1.7119,0.004315,0.001083
1.7218,0.004314,0.001108
1.7317,0.004231,0.001206
1.7416,0.004049,0.001128
1.7515,0.003974,0.001064
1.7614,0.003921,0.001100
1.7713,0.003749,0.000962
1.7812,0.003759,0.000945
1.7911,0.003907,0.001103
1.8010,0.004006,0.001029
1.8109,0.003797,0.001014
1.8208,0.003858,0.000948
1.8307,0.003975,0.000949
1.8406,0.003902,0.001084
1.8504,0.003970,0.001307
1.8603,0.003960,0.001179
1.8702,0.003932,0.001061
1.8801,0.003952,0.000981
1.8900,0.003927,0.000795
1.8999,0.003799,0.000757
1.9098,0.003628,0.000829
1.9197,0.003570,0.000848
1.9296,0.003545,0.000807
1.9395,0.003370,0.000828
1.9494,0.003523,0.000929
1.9593,0.003631,0.000891
1.9692,0.003592,0.001039
1.9791,0.003581,0.001108
1.9890,0.003665,0.001197
1.9989,0.003657,0.001203
2.0088,0.003665,0.001122
2.0187,0.003606,0.001152
2.0286,0.003627,0.001064
2.0385,0.003530,0.000993
2.0484,0.003486,0.001027
2.0583,0.003528,0.001141
2.0681,0.003701,0.001222
2.0780,0.003593,0.001249
2.0879,0.003768,0.001250
2.0978,0.003859,0.001264
2.1077,0.003920,0.001248
2.1176,0.003982,0.001257
2.1275,0.003941,0.001307
2.1374,0.003979,0.001286
2.1473,0.003919,0.001252
2.1572,0.003868,0.001258
2.1671,0.003970,0.001240
2.1770,0.003968,0.001288
2.1869,0.003979,0.001360
2.1968,0.004050,0.001356
2.2067,0.004194,0.001311
2.2166,0.004250,0.001280
2.2265,0.004253,0.001228
2.2364,0.004287,0.001141
2.2463,0.004216,0.001127
2.2562,0.004137,0.001149
2.2661,0.004090,0.001203
2.2760,0.004165,0.001190
2.2858,0.004270,0.001081
2.2957,0.004363,0.001077
