rank,phoneme,word,occurrence,start,end,start_frame,end_frame,mean_attention,std_attention,attention_pct,attention_pct_std
1,AY,my,2,1.1703,1.2459,117,125,0.003279,0.000426,8.25,0.97
1,AY,my,2,2.0805,2.1628,208,216,0.003624,0.000318,8.25,0.72
3,OY,voice,1,1.4171,1.5210,142,152,0.003244,0.000603,7.39,1.37
4,Z,is,1,1.8922,1.9345,189,193,0.003232,0.000716,7.36,1.63
5,V,voice,1,1.3132,1.4171,131,142,0.003171,0.000654,7.22,1.49
6,W,password,1,2.5455,2.6415,255,264,0.003060,0.000546,6.97,1.24
7,M,my,2,1.0947,1.1703,109,117,0.002740,0.000582,6.91,1.32
7,M,my,2,1.9981,2.0805,200,208,0.003037,0.000359,6.91,0.82
8,S,password,2,2.4494,2.5455,245,255,0.002929,0.000375,6.67,0.85
9,S,voice,2,1.5210,1.6249,152,162,0.002859,0.000273,6.51,0.62
10,P,password,1,2.2572,2.3533,226,235,0.002841,0.000163,6.47,0.37
11,AE,password,1,2.3533,2.4494,235,245,0.002745,0.000309,6.25,0.70
13,D,password,1,2.7376,2.8337,274,283,0.002608,0.000482,5.94,1.10
14,IH,is,1,1.8500,1.8922,185,189,0.002533,0.000454,5.77,1.03
15,ER,password,1,2.6415,2.7376,264,274,0.002022,0.000412,4.60,0.94
