time,mean_attention,std_attention
0.0000,0.002950,0.000864
0.0100,0.002947,0.000935
0.0200,0.003268,0.001047
0.0300,0.003305,0.001089
0.0400,0.003280,0.001113
0.0500,0.003298,0.001157
0.0600,0.003274,0.001126
0.0700,0.003308,0.001162
0.0800,0.003308,0.001215
0.0900,0.003334,0.001280
0.1000,0.003343,0.001334
0.1100,0.003356,0.001383
0.1200,0.003335,0.001371
0.1300,0.003300,0.001360
0.1400,0.003325,0.001364
0.1500,0.003305,0.001315
0.1600,0.003320,0.001317
0.1700,0.003294,0.001289
0.1800,0.003304,0.001304
0.1900,0.003290,0.001308
0.2000,0.003294,0.001277
0.2100,0.003311,0.001271
0.2200,0.003297,0.001274
0.2300,0.003332,0.001271
0.2400,0.003362,0.001294
0.2500,0.003405,0.001345
0.2600,0.003409,0.001347
0.2700,0.003450,0.001373
0.2800,0.003475,0.001401
0.2900,0.003484,0.001410
0.3000,0.003511,0.001383
0.3100,0.003491,0.001389
0.3200,0.003527,0.001369
0.3300,0.003552,0.001344
0.3400,0.003548,0.001333
0.3500,0.003559,0.001339
0.3600,0.003583,0.001352
0.3700,0.003592,0.001382
0.3800,0.003641,0.001376
0.3900,0.003656,0.001357
0.4000,0.003671,0.001358
0.4100,0.003703,0.001350
0.4200,0.003738,0.001350
0.4300,0.003787,0.001389
0.4400,0.003825,0.001389
0.4500,0.003857,0.001387
0.4600,0.003876,0.001381
0.4700,0.003883,0.001374
0.4800,0.003886,0.001412
0.4900,0.003896,0.001404
0.5000,0.003891,0.001407
0.5100,0.003951,0.001369
0.5200,0.003903,0.001348
0.5300,0.003868,0.001324
0.5400,0.003904,0.001316
0.5500,0.003895,0.001328
0.5600,0.003914,0.001318
0.5700,0.003971,0.001351
0.5800,0.003954,0.001399
0.5900,0.003975,0.001414
0.6000,0.003977,0.001401
0.6100,0.004012,0.001424
0.6200,0.004053,0.001452
0.6300,0.004076,0.001406
0.6400,0.004048,0.001417
0.6500,0.004021,0.001392
