time,mean_attention,std_attention
0.0000,0.002686,0.000950
0.0100,0.002648,0.000971
0.0200,0.002712,0.000958
0.0300,0.002873,0.000958
0.0400,0.002963,0.000982
0.0501,0.003003,0.001016
0.0601,0.002996,0.001035
0.0701,0.002996,0.001028
0.0801,0.003005,0.001047
0.0901,0.003007,0.001071
0.1001,0.003004,0.001082
0.1101,0.003017,0.001103
0.1201,0.003028,0.001105
0.1302,0.003028,0.001102
0.1402,0.003027,0.001101
0.1502,0.003035,0.001101
0.1602,0.003035,0.001107
0.1702,0.003038,0.001106
0.1802,0.003035,0.001115
0.1902,0.003022,0.001120
0.2002,0.003005,0.001122
0.2103,0.003020,0.001125
0.2203,0.003012,0.001124
0.2303,0.002992,0.001126
0.2403,0.002971,0.001117
0.2503,0.002949,0.001102
0.2603,0.002945,0.001106
0.2703,0.002960,0.001114
0.2803,0.002989,0.001119
0.2904,0.003007,0.001133
0.3004,0.003008,0.001140
0.3104,0.003005,0.001155
0.3204,0.003010,0.001159
0.3304,0.003023,0.001158
0.3404,0.003044,0.001165
0.3504,0.003046,0.001168
0.3604,0.003028,0.001175
0.3705,0.003044,0.001201
0.3805,0.003070,0.001229
0.3905,0.003099,0.001261
0.4005,0.003112,0.001271
0.4105,0.003116,0.001261
0.4205,0.003129,0.001244
0.4305,0.003133,0.001235
0.4405,0.003132,0.001235
0.4506,0.003124,0.001224
0.4606,0.003128,0.001213
0.4706,0.003155,0.001219
0.4806,0.003183,0.001226
0.4906,0.003204,0.001231
0.5006,0.003223,0.001227
0.5106,0.003229,0.001225
0.5206,0.003221,0.001202
0.5307,0.003238,0.001189
0.5407,0.003237,0.001182
0.5507,0.003233,0.001197
0.5607,0.003255,0.001230
0.5707,0.003274,0.001252
0.5807,0.003270,0.001268
0.5907,0.003278,0.001279
0.6007,0.003293,0.001269
0.6107,0.003299,0.001267
0.6208,0.003306,0.001265
0.6308,0.003320,0.001288
0.6408,0.003339,0.001301
0.6508,0.003369,0.001306
0.6608,0.003377,0.001315
0.6708,0.003402,0.001311
0.6808,0.003441,0.001302
0.6908,0.003461,0.001313
0.7009,0.003463,0.001314
0.7109,0.003472,0.001299
0.7209,0.003465,0.001285
0.7309,0.003458,0.001289
0.7409,0.003461,0.001311
0.7509,0.003496,0.001318
0.7609,0.003543,0.001345
0.7709,0.003562,0.001358
0.7810,0.003575,0.001343
0.7910,0.003611,0.001338
0.8010,0.003633,0.001339
0.8110,0.003650,0.001312
0.8210,0.003652,0.001276
0.8310,0.003629,0.001248
0.8410,0.003621,0.001239
0.8510,0.003620,0.001256
0.8611,0.003616,0.001268
0.8711,0.003633,0.001267
0.8811,0.003647,0.001257
0.8911,0.003654,0.001270
0.9011,0.003682,0.001316
0.9111,0.003726,0.001365
0.9211,0.003779,0.001404
0.9311,0.003821,0.001440
0.9412,0.003887,0.001456
0.9512,0.003923,0.001461
0.9612,0.003895,0.001467
0.9712,0.003854,0.001470
0.9812,0.003837,0.001464
0.9912,0.003868,0.001425
1.0012,0.003904,0.001423
1.0112,0.003933,0.001461
1.0213,0.003947,0.001459
1.0313,0.003956,0.001453
1.0413,0.003969,0.001452
1.0513,0.003966,0.001451
1.0613,0.003966,0.001454
1.0713,0.003953,0.001486
1.0813,0.003967,0.001526
1.0913,0.003997,0.001521
1.1014,0.004005,0.001498
1.1114,0.003978,0.001503
1.1214,0.003953,0.001485
1.1314,0.003924,0.001462
1.1414,0.003912,0.001460
1.1514,0.003919,0.001450
1.1614,0.003952,0.001404
1.1714,0.003961,0.001405
1.1814,0.003955,0.001383
1.1915,0.003942,0.001365
1.2015,0.003921,0.001351
1.2115,0.003935,0.001334
1.2215,0.003952,0.001329
1.2315,0.003964,0.001306
1.2415,0.003961,0.001289
1.2515,0.003949,0.001281
1.2615,0.003923,0.001314
1.2716,0.003930,0.001337
1.2816,0.003928,0.001366
1.2916,0.003917,0.001386
1.3016,0.003925,0.001372
