time,mean_attention,std_attention
0.0000,0.002506,0.000893
0.0100,0.002537,0.000945
0.0200,0.002818,0.000983
0.0300,0.002907,0.001054
0.0400,0.002880,0.001071
0.0500,0.002871,0.001068
0.0600,0.002868,0.001066
0.0700,0.002881,0.001083
0.0800,0.002888,0.001095
0.0900,0.002903,0.001112
0.1000,0.002900,0.001090
0.1100,0.002877,0.001061
0.1200,0.002846,0.001070
0.1300,0.002845,0.001090
0.1400,0.002831,0.001093
0.1500,0.002791,0.001067
0.1600,0.002763,0.001053
0.1700,0.002789,0.001089
0.1800,0.002817,0.001110
0.1900,0.002843,0.001124
0.2000,0.002853,0.001127
0.2100,0.002872,0.001154
0.2200,0.002856,0.001137
0.2300,0.002850,0.001078
0.2400,0.002870,0.001092
0.2500,0.002890,0.001091
0.2600,0.002951,0.001120
0.2700,0.002950,0.001097
0.2800,0.002952,0.001081
0.2900,0.002978,0.001080
0.3000,0.002999,0.001094
0.3100,0.003003,0.001097
0.3200,0.003011,0.001135
0.3300,0.003005,0.001134
0.3400,0.003025,0.001152
0.3500,0.003039,0.001147
0.3600,0.003064,0.001165
0.3700,0.003103,0.001186
0.3800,0.003116,0.001149
0.3900,0.003121,0.001129
0.4000,0.003173,0.001163
0.4100,0.003206,0.001185
0.4200,0.003217,0.001186
0.4300,0.003212,0.001201
0.4400,0.003193,0.001173
0.4500,0.003245,0.001184
0.4600,0.003297,0.001230
0.4700,0.003298,0.001247
0.4800,0.003281,0.001225
0.4900,0.003270,0.001220
0.5000,0.003256,0.001182
0.5100,0.003297,0.001163
0.5200,0.003274,0.001159
0.5300,0.003256,0.001156
0.5400,0.003317,0.001179
0.5500,0.003358,0.001227
0.5600,0.003380,0.001227
0.5700,0.003385,0.001217
0.5800,0.003403,0.001248
0.5900,0.003401,0.001197
0.6000,0.003420,0.001238
0.6100,0.003429,0.001213
0.6200,0.003386,0.001192
0.6300,0.003397,0.001166
0.6400,0.003390,0.001174
0.6500,0.003413,0.001160
0.6600,0.003401,0.001153
0.6700,0.003420,0.001162
0.6800,0.003447,0.001158
0.6900,0.003468,0.001180
0.7000,0.003441,0.001199
0.7100,0.003443,0.001176
0.7200,0.003493,0.001230
0.7300,0.003516,0.001233
0.7400,0.003544,0.001235
0.7500,0.003560,0.001253
0.7600,0.003540,0.001292
0.7700,0.003527,0.001327
0.7800,0.003547,0.001368
0.7900,0.003559,0.001396
0.8000,0.003610,0.001349
0.8100,0.003609,0.001302
0.8200,0.003538,0.001255
0.8300,0.003565,0.001201
0.8400,0.003557,0.001225
0.8500,0.003562,0.001226
0.8600,0.003579,0.001251
0.8700,0.003606,0.001271
0.8800,0.003637,0.001293
0.8900,0.003579,0.001288
0.9000,0.003607,0.001288
0.9100,0.003628,0.001282
0.9200,0.003635,0.001226
0.9300,0.003631,0.001181
0.9400,0.003637,0.001189
0.9500,0.003624,0.001190
0.9600,0.003620,0.001155
0.9700,0.003593,0.001161
0.9800,0.003569,0.001151
0.9900,0.003544,0.001178
1.0000,0.003594,0.001148
1.0100,0.003598,0.001151
1.0200,0.003622,0.001174
1.0300,0.003569,0.001139
1.0400,0.003485,0.001123
1.0500,0.003488,0.001112
1.0600,0.003536,0.001109
1.0700,0.003587,0.001149
1.0800,0.003603,0.001178
1.0900,0.003625,0.001140
1.1000,0.003604,0.001137
1.1100,0.003613,0.001159
1.1200,0.003612,0.001193
1.1300,0.003621,0.001233
1.1400,0.003614,0.001228
1.1500,0.003619,0.001188
1.1600,0.003631,0.001168
1.1700,0.003630,0.001158
1.1800,0.003625,0.001184
1.1900,0.003620,0.001160
1.2000,0.003632,0.001187
1.2100,0.003636,0.001212
1.2200,0.003624,0.001250
1.2300,0.003623,0.001245
1.2400,0.003628,0.001242
1.2500,0.003675,0.001219
1.2600,0.003686,0.001223
1.2700,0.003672,0.001230
1.2800,0.003653,0.001198
1.2900,0.003602,0.001216
1.3000,0.003632,0.001257
1.3100,0.003641,0.001240
1.3200,0.003626,0.001221
1.3300,0.003632,0.001258
1.3400,0.003656,0.001268
1.3500,0.003683,0.001274
1.3600,0.003709,0.001297
1.3700,0.003728,0.001300
1.3800,0.003680,0.001291
1.3900,0.003631,0.001307
1.4000,0.003626,0.001316
1.4100,0.003651,0.001308
1.4200,0.003624,0.001345
1.4300,0.003615,0.001324
1.4400,0.003627,0.001293
1.4500,0.003641,0.001320
1.4600,0.003650,0.001314
1.4700,0.003592,0.001274
1.4800,0.003573,0.001266
1.4900,0.003609,0.001227
1.5000,0.003596,0.001246
1.5100,0.003554,0.001253
1.5200,0.003559,0.001258
1.5300,0.003529,0.001246
1.5400,0.003554,0.001227
1.5500,0.003539,0.001188
1.5600,0.003531,0.001164
1.5700,0.003539,0.001218
1.5800,0.003515,0.001232
1.5900,0.003490,0.001258
1.6000,0.003484,0.001268
1.6100,0.003458,0.001251
1.6200,0.003456,0.001281
1.6300,0.003458,0.001309
1.6400,0.003473,0.001324
1.6500,0.003478,0.001286
1.6600,0.003462,0.001259
1.6700,0.003409,0.001264
1.6800,0.003330,0.001210
1.6900,0.003279,0.001147
1.7000,0.003283,0.001147
1.7100,0.003315,0.001204
1.7200,0.003313,0.001226
1.7300,0.003312,0.001195
1.7400,0.003264,0.001169
1.7500,0.003245,0.001165
1.7600,0.003252,0.001183
1.7700,0.003200,0.001177
1.7800,0.003170,0.001100
1.7900,0.003168,0.001097
1.8000,0.003179,0.001135
1.8100,0.003162,0.001143
1.8200,0.003156,0.001125
1.8300,0.003125,0.001109
1.8400,0.003101,0.001091
1.8500,0.003066,0.001089
1.8600,0.003041,0.001077
1.8700,0.003035,0.001127
1.8800,0.003013,0.001099
1.8900,0.002992,0.001079
1.9000,0.002979,0.001051
1.9100,0.002987,0.001061
1.9200,0.002990,0.001067
1.9300,0.002985,0.001079
1.9400,0.002991,0.001083
1.9500,0.002986,0.001093
1.9600,0.002969,0.001129
1.9700,0.002962,0.001127
1.9800,0.002960,0.001143
1.9900,0.002947,0.001133
2.0000,0.002932,0.001131
2.0100,0.002925,0.001112
2.0200,0.002909,0.001103
2.0300,0.002915,0.001062
2.0400,0.002885,0.001039
2.0500,0.002888,0.001036
2.0600,0.002918,0.001058
2.0700,0.002902,0.001062
2.0800,0.002923,0.001067
2.0900,0.002900,0.001072
2.1000,0.002893,0.001062
2.1100,0.002916,0.001067
2.1200,0.002896,0.001053
2.1300,0.002875,0.001063
2.1400,0.002877,0.001088
2.1500,0.002868,0.001088
2.1600,0.002881,0.001091
2.1700,0.002862,0.001097
2.1800,0.002857,0.001100
2.1900,0.002843,0.001090
2.2000,0.002803,0.001019
2.2100,0.002774,0.001031
2.2200,0.002746,0.001031
2.2300,0.002746,0.001035
2.2400,0.002726,0.001023
2.2500,0.002712,0.001010
2.2600,0.002693,0.000998
2.2700,0.002706,0.001022
2.2800,0.002723,0.001034
2.2900,0.002709,0.001006
2.3000,0.002672,0.000954
2.3100,0.002654,0.000926
2.3200,0.002660,0.000913
2.3300,0.002637,0.000917
2.3400,0.002641,0.000920
2.3500,0.002632,0.000921
2.3600,0.002631,0.000894
2.3700,0.002640,0.000875
2.3800,0.002666,0.000880
2.3900,0.002661,0.000882
2.4000,0.002660,0.000874
2.4100,0.002672,0.000885
2.4200,0.002700,0.000887
2.4300,0.002699,0.000863
2.4400,0.002697,0.000851
2.4500,0.002713,0.000849
2.4600,0.002714,0.000844
2.4700,0.002721,0.000851
2.4800,0.002743,0.000847
2.4900,0.002745,0.000850
2.5000,0.002751,0.000865
2.5100,0.002763,0.000889
2.5200,0.002773,0.000835
2.5300,0.002798,0.000903
2.5400,0.003203,0.001025
