time,mean_attention,std_attention
0.0000,0.002116,0.000604
0.0100,0.002155,0.000625
0.0201,0.002359,0.000675
0.0301,0.002321,0.000690
0.0401,0.002331,0.000701
0.0502,0.002336,0.000743
0.0602,0.002345,0.000773
0.0702,0.002365,0.000808
0.0803,0.002381,0.000818
0.0903,0.002361,0.000829
0.1003,0.002360,0.000833
0.1104,0.002341,0.000832
0.1204,0.002322,0.000851
0.1304,0.002337,0.000891
0.1405,0.002351,0.000901
0.1505,0.002352,0.000883
0.1605,0.002379,0.000927
0.1706,0.002369,0.000918
0.1806,0.002399,0.000906
0.1906,0.002397,0.000877
0.2007,0.002407,0.000851
0.2107,0.002413,0.000840
0.2207,0.002465,0.000871
0.2308,0.002491,0.000906
0.2408,0.002507,0.000937
0.2508,0.002525,0.000943
0.2609,0.002551,0.000933
0.2709,0.002551,0.000926
0.2809,0.002566,0.000888
0.2910,0.002613,0.000907
0.3010,0.002607,0.000924
0.3111,0.002617,0.000893
0.3211,0.002667,0.000887
0.3311,0.002658,0.000881
0.3412,0.002678,0.000896
0.3512,0.002666,0.000911
0.3612,0.002723,0.000932
0.3713,0.002675,0.000937
0.3813,0.002687,0.000917
0.3913,0.002709,0.000919
0.4014,0.002720,0.000912
0.4114,0.002722,0.000913
0.4214,0.002757,0.000876
0.4315,0.002765,0.000882
0.4415,0.002764,0.000869
0.4515,0.002767,0.000864
0.4616,0.002774,0.000838
0.4716,0.002812,0.000861
0.4816,0.002875,0.000877
0.4917,0.002868,0.000873
0.5017,0.002855,0.000902
0.5117,0.002882,0.000895
0.5218,0.002879,0.000923
0.5318,0.002876,0.000925
0.5418,0.002867,0.000872
0.5519,0.002856,0.000879
0.5619,0.002865,0.000898
0.5719,0.002842,0.000894
0.5820,0.002882,0.000910
0.5920,0.002903,0.000915
0.6020,0.002910,0.000910
0.6121,0.002922,0.000909
0.6221,0.002959,0.000894
0.6321,0.002946,0.000874
0.6422,0.002942,0.000852
0.6522,0.002973,0.000886
0.6622,0.003006,0.000929
0.6723,0.002969,0.000928
0.6823,0.002934,0.000924
0.6923,0.002921,0.000951
0.7024,0.002948,0.000924
0.7124,0.002962,0.000949
0.7224,0.002957,0.000993
0.7325,0.003005,0.001038
0.7425,0.003018,0.001037
0.7525,0.003025,0.001018
0.7626,0.003031,0.001026
0.7726,0.002995,0.001032
0.7826,0.003003,0.001048
0.7927,0.002980,0.001000
0.8027,0.002946,0.000971
0.8127,0.002973,0.000980
0.8228,0.002988,0.000969
0.8328,0.002959,0.000974
0.8428,0.002954,0.000994
0.8529,0.002953,0.001033
0.8629,0.002941,0.001007
0.8729,0.002916,0.000975
0.8830,0.002895,0.000962
0.8930,0.002954,0.000999
0.9031,0.002941,0.000985
0.9131,0.002926,0.000959
0.9231,0.002872,0.000940
0.9332,0.002882,0.000926
0.9432,0.002929,0.000915
0.9532,0.002951,0.000973
0.9633,0.002906,0.000976
0.9733,0.002851,0.000929
0.9833,0.002828,0.000911
0.9934,0.002847,0.000935
1.0034,0.002825,0.000918
1.0134,0.002821,0.000891
1.0235,0.002773,0.000909
1.0335,0.002808,0.000927
1.0435,0.002799,0.000929
1.0536,0.002785,0.000911
1.0636,0.002803,0.000917
1.0736,0.002788,0.000921
1.0837,0.002801,0.000920
1.0937,0.002805,0.000920
1.1037,0.002780,0.000923
1.1138,0.002795,0.000871
1.1238,0.002797,0.000913
1.1338,0.002802,0.000897
1.1439,0.002842,0.000875
1.1539,0.002790,0.000867
1.1639,0.002816,0.000869
1.1740,0.002829,0.000816
1.1840,0.002828,0.000830
1.1940,0.002832,0.000835
1.2041,0.002806,0.000848
1.2141,0.002811,0.000839
1.2241,0.002827,0.000828
1.2342,0.002826,0.000824
1.2442,0.002841,0.000830
1.2542,0.002847,0.000823
1.2643,0.002849,0.000805
1.2743,0.002831,0.000828
1.2843,0.002854,0.000846
1.2944,0.002894,0.000869
1.3044,0.002893,0.000850
1.3144,0.002906,0.000890
1.3245,0.002907,0.000879
1.3345,0.002907,0.000882
1.3445,0.002921,0.000927
1.3546,0.002919,0.000920
1.3646,0.002933,0.000939
1.3746,0.002925,0.000944
1.3847,0.002972,0.000969
1.3947,0.002957,0.000973
1.4047,0.002992,0.000981
1.4148,0.003060,0.001049
1.4248,0.003086,0.001029
1.4348,0.003104,0.001046
1.4449,0.003108,0.001066
1.4549,0.003114,0.001041
1.4649,0.003138,0.001096
1.4750,0.003134,0.001050
1.4850,0.003112,0.001042
1.4951,0.003080,0.001031
1.5051,0.003072,0.001052
1.5151,0.003104,0.001090
1.5252,0.003150,0.001114
1.5352,0.003162,0.001145
1.5452,0.003160,0.001147
1.5553,0.003157,0.001137
1.5653,0.003092,0.001144
1.5753,0.003087,0.001151
1.5854,0.003074,0.001132
1.5954,0.003075,0.001074
1.6054,0.003068,0.001089
1.6155,0.003122,0.001142
1.6255,0.003161,0.001162
1.6355,0.003182,0.001198
1.6456,0.003198,0.001185
1.6556,0.003201,0.001140
1.6656,0.003178,0.001154
1.6757,0.003170,0.001168
1.6857,0.003186,0.001239
1.6957,0.003160,0.001191
1.7058,0.003163,0.001214
