time,mean_attention,std_attention
0.0000,0.002537,0.001155
0.0100,0.002563,0.001189
0.0200,0.002818,0.001180
0.0301,0.002866,0.001218
0.0401,0.002861,0.001212
0.0501,0.002854,0.001195
0.0601,0.002872,0.001197
0.0701,0.002895,0.001208
0.0802,0.002937,0.001277
0.0902,0.002906,0.001327
0.1002,0.002884,0.001368
0.1102,0.002881,0.001367
0.1202,0.002857,0.001290
0.1302,0.002850,0.001223
0.1403,0.002831,0.001175
0.1503,0.002827,0.001197
0.1603,0.002825,0.001229
0.1703,0.002842,0.001281
0.1803,0.002860,0.001317
0.1904,0.002880,0.001365
0.2004,0.002883,0.001343
0.2104,0.002920,0.001372
0.2204,0.002933,0.001330
0.2304,0.002900,0.001305
0.2405,0.002902,0.001263
0.2505,0.002947,0.001263
0.2605,0.003017,0.001315
0.2705,0.003055,0.001365
0.2805,0.003083,0.001385
0.2906,0.003100,0.001395
0.3006,0.003141,0.001400
0.3106,0.003192,0.001408
0.3206,0.003188,0.001416
0.3306,0.003209,0.001391
0.3406,0.003214,0.001385
0.3507,0.003276,0.001398
0.3607,0.003351,0.001392
0.3707,0.003318,0.001385
0.3807,0.003358,0.001410
0.3907,0.003398,0.001440
0.4008,0.003383,0.001396
0.4108,0.003430,0.001376
0.4208,0.003406,0.001326
0.4308,0.003452,0.001343
0.4408,0.003436,0.001318
0.4509,0.003428,0.001329
0.4609,0.003453,0.001355
0.4709,0.003469,0.001362
0.4809,0.003469,0.001375
0.4909,0.003461,0.001325
0.5010,0.003443,0.001343
0.5110,0.003442,0.001370
0.5210,0.003479,0.001361
0.5310,0.003523,0.001355
0.5410,0.003561,0.001366
0.5510,0.003570,0.001370
0.5611,0.003526,0.001346
0.5711,0.003563,0.001355
0.5811,0.003586,0.001393
0.5911,0.003574,0.001357
0.6011,0.003545,0.001281
0.6112,0.003528,0.001280
0.6212,0.003493,0.001301
0.6312,0.003534,0.001301
0.6412,0.003561,0.001289
0.6512,0.003585,0.001308
0.6613,0.003587,0.001313
0.6713,0.003570,0.001312
0.6813,0.003556,0.001307
0.6913,0.003566,0.001274
0.7013,0.003524,0.001278
0.7114,0.003517,0.001274
0.7214,0.003574,0.001288
0.7314,0.003606,0.001305
0.7414,0.003611,0.001332
0.7514,0.003636,0.001363
0.7614,0.003610,0.001356
0.7715,0.003620,0.001391
0.7815,0.003658,0.001398
0.7915,0.003673,0.001364
0.8015,0.003630,0.001363
0.8115,0.003647,0.001336
0.8216,0.003679,0.001341
0.8316,0.003714,0.001410
0.8416,0.003726,0.001411
0.8516,0.003660,0.001375
0.8616,0.003644,0.001414
0.8717,0.003644,0.001407
0.8817,0.003678,0.001411
0.8917,0.003679,0.001414
0.9017,0.003702,0.001422
0.9117,0.003770,0.001377
0.9218,0.003807,0.001412
0.9318,0.003770,0.001444
0.9418,0.003733,0.001484
0.9518,0.003803,0.001442
0.9618,0.003840,0.001437
0.9718,0.003836,0.001469
0.9819,0.003857,0.001534
0.9919,0.003863,0.001553
1.0019,0.003860,0.001562
1.0119,0.003832,0.001553
1.0219,0.003793,0.001461
1.0320,0.003791,0.001486
1.0420,0.003819,0.001487
1.0520,0.003786,0.001407
1.0620,0.003760,0.001361
1.0720,0.003751,0.001354
1.0821,0.003729,0.001425
1.0921,0.003739,0.001419
1.1021,0.003718,0.001366
1.1121,0.003727,0.001331
1.1221,0.003817,0.001334
1.1322,0.003846,0.001357
1.1422,0.003827,0.001379
1.1522,0.003813,0.001432
1.1622,0.003851,0.001432
1.1722,0.003836,0.001390
1.1822,0.003853,0.001360
1.1923,0.003819,0.001380
1.2023,0.003796,0.001378
1.2123,0.003757,0.001376
1.2223,0.003691,0.001380
1.2323,0.003664,0.001434
1.2424,0.003645,0.001461
1.2524,0.003690,0.001530
1.2624,0.003788,0.001669
1.2724,0.003796,0.001814
1.2824,0.003808,0.001915
1.2925,0.003845,0.001982
1.3025,0.003873,0.001936
1.3125,0.003888,0.001828
1.3225,0.003863,0.001664
1.3325,0.003773,0.001504
1.3426,0.003757,0.001513
1.3526,0.003675,0.001470
1.3626,0.003644,0.001424
1.3726,0.003620,0.001368
1.3826,0.003661,0.001408
1.3926,0.003638,0.001418
1.4027,0.003652,0.001365
1.4127,0.003603,0.001319
1.4227,0.003516,0.001253
1.4327,0.003544,0.001303
1.4427,0.003583,0.001357
1.4528,0.003532,0.001373
1.4628,0.003480,0.001327
1.4728,0.003488,0.001316
1.4828,0.003507,0.001329
1.4928,0.003512,0.001368
1.5029,0.003505,0.001369
1.5129,0.003520,0.001393
1.5229,0.003457,0.001372
1.5329,0.003461,0.001400
1.5429,0.003441,0.001451
1.5530,0.003408,0.001461
1.5630,0.003355,0.001416
1.5730,0.003329,0.001366
1.5830,0.003302,0.001330
1.5930,0.003309,0.001300
1.6030,0.003256,0.001283
1.6131,0.003268,0.001264
1.6231,0.003310,0.001285
1.6331,0.003256,0.001275
1.6431,0.003260,0.001271
1.6531,0.003256,0.001300
1.6632,0.003222,0.001302
1.6732,0.003216,0.001305
1.6832,0.003166,0.001304
1.6932,0.003154,0.001287
1.7032,0.003147,0.001289
1.7133,0.003165,0.001326
1.7233,0.003195,0.001400
1.7333,0.003203,0.001414
1.7433,0.003137,0.001393
1.7533,0.003090,0.001377
1.7634,0.003058,0.001348
1.7734,0.003031,0.001365
1.7834,0.003029,0.001384
1.7934,0.003044,0.001377
1.8034,0.003001,0.001360
1.8134,0.002946,0.001319
1.8235,0.002945,0.001337
1.8335,0.002925,0.001306
1.8435,0.002911,0.001301
