time,mean_attention,std_attention
0.0000,0.002883,0.000946
0.0100,0.002924,0.001051
0.0200,0.003212,0.001126
0.0300,0.003276,0.001192
0.0400,0.003274,0.001232
0.0500,0.003286,0.001264
0.0600,0.003291,0.001256
0.0700,0.003312,0.001260
0.0800,0.003347,0.001267
0.0900,0.003368,0.001329
0.1000,0.003417,0.001431
0.1100,0.003396,0.001418
0.1200,0.003366,0.001404
0.1300,0.003360,0.001448
0.1400,0.003352,0.001477
0.1500,0.003329,0.001454
0.1600,0.003326,0.001429
0.1700,0.003345,0.001442
0.1800,0.003367,0.001502
0.1900,0.003414,0.001561
0.2000,0.003422,0.001541
0.2100,0.003408,0.001506
0.2200,0.003428,0.001515
0.2300,0.003471,0.001556
0.2400,0.003488,0.001579
0.2500,0.003533,0.001578
0.2600,0.003581,0.001605
0.2700,0.003593,0.001638
0.2800,0.003605,0.001589
0.2900,0.003604,0.001587
0.3000,0.003588,0.001547
0.3100,0.003618,0.001538
0.3200,0.003594,0.001505
0.3300,0.003599,0.001512
0.3400,0.003638,0.001474
0.3500,0.003644,0.001478
0.3600,0.003644,0.001488
0.3700,0.003670,0.001473
0.3800,0.003695,0.001484
0.3900,0.003711,0.001485
0.4000,0.003706,0.001522
0.4100,0.003757,0.001494
0.4200,0.003767,0.001479
0.4300,0.003788,0.001496
0.4400,0.003798,0.001465
0.4500,0.003816,0.001430
0.4600,0.003870,0.001435
0.4700,0.003910,0.001454
0.4800,0.003948,0.001486
0.4900,0.003957,0.001508
0.5000,0.004007,0.001549
0.5100,0.004055,0.001555
0.5200,0.004097,0.001523
0.5300,0.004116,0.001493
0.5400,0.004109,0.001475
0.5500,0.004112,0.001495
0.5600,0.004165,0.001521
0.5700,0.004220,0.001565
0.5800,0.004202,0.001572
0.5900,0.004214,0.001549
0.6000,0.004202,0.001548
0.6100,0.004215,0.001506
0.6200,0.004187,0.001461
0.6300,0.004182,0.001465
0.6400,0.004263,0.001504
0.6500,0.004319,0.001507
0.6600,0.004324,0.001554
0.6700,0.004322,0.001603
0.6800,0.004356,0.001615
0.6900,0.004338,0.001576
0.7000,0.004298,0.001569
0.7100,0.004309,0.001543
0.7200,0.004327,0.001555
0.7300,0.004348,0.001576
0.7400,0.004306,0.001546
0.7500,0.004317,0.001570
0.7600,0.004314,0.001572
0.7700,0.004331,0.001635
0.7800,0.004356,0.001611
0.7900,0.004404,0.001592
0.8000,0.004427,0.001606
0.8100,0.004437,0.001668
0.8200,0.004454,0.001707
0.8300,0.004512,0.001718
0.8400,0.004529,0.001723
0.8500,0.004520,0.001696
