time,mean_attention,std_attention
0.0000,0.002396,0.000781
0.0100,0.002395,0.000905
0.0200,0.002620,0.000912
0.0301,0.002776,0.001009
0.0401,0.002815,0.001084
0.0501,0.002816,0.001128
0.0601,0.002813,0.001101
0.0702,0.002783,0.001080
0.0802,0.002793,0.001073
0.0902,0.002829,0.001065
0.1002,0.002842,0.001059
0.1103,0.002839,0.001053
0.1203,0.002824,0.001072
0.1303,0.002811,0.001092
0.1403,0.002811,0.001095
0.1504,0.002804,0.001109
0.1604,0.002810,0.001157
0.1704,0.002805,0.001186
0.1804,0.002796,0.001188
0.1905,0.002779,0.001204
0.2005,0.002782,0.001206
0.2105,0.002790,0.001200
0.2205,0.002755,0.001173
0.2306,0.002735,0.001142
0.2406,0.002743,0.001134
0.2506,0.002757,0.001165
0.2606,0.002776,0.001233
0.2707,0.002760,0.001197
0.2807,0.002784,0.001186
0.2907,0.002774,0.001174
0.3007,0.002804,0.001183
0.3107,0.002853,0.001224
0.3208,0.002888,0.001250
0.3308,0.002896,0.001286
0.3408,0.002896,0.001292
0.3508,0.002903,0.001292
0.3609,0.002957,0.001308
0.3709,0.002987,0.001304
0.3809,0.003011,0.001300
0.3909,0.003040,0.001332
0.4010,0.003061,0.001360
0.4110,0.003098,0.001359
0.4210,0.003136,0.001354
0.4310,0.003158,0.001346
0.4411,0.003163,0.001362
0.4511,0.003177,0.001375
0.4611,0.003206,0.001358
0.4711,0.003217,0.001337
0.4812,0.003242,0.001325
0.4912,0.003262,0.001321
0.5012,0.003260,0.001321
0.5112,0.003265,0.001359
0.5213,0.003278,0.001375
0.5313,0.003313,0.001381
0.5413,0.003376,0.001384
0.5513,0.003390,0.001385
0.5613,0.003399,0.001393
0.5714,0.003406,0.001367
0.5814,0.003417,0.001323
0.5914,0.003417,0.001314
0.6014,0.003416,0.001305
0.6115,0.003413,0.001323
0.6215,0.003421,0.001313
0.6315,0.003446,0.001316
0.6415,0.003461,0.001324
0.6516,0.003469,0.001366
0.6616,0.003488,0.001414
0.6716,0.003458,0.001450
0.6816,0.003442,0.001487
0.6917,0.003445,0.001495
0.7017,0.003443,0.001469
0.7117,0.003449,0.001451
0.7217,0.003446,0.001421
0.7318,0.003442,0.001400
0.7418,0.003457,0.001373
0.7518,0.003489,0.001362
0.7618,0.003483,0.001341
0.7719,0.003500,0.001302
0.7819,0.003495,0.001281
0.7919,0.003480,0.001285
0.8019,0.003469,0.001249
0.8120,0.003468,0.001242
0.8220,0.003484,0.001215
0.8320,0.003454,0.001230
0.8420,0.003430,0.001196
0.8520,0.003414,0.001195
0.8621,0.003426,0.001190
0.8721,0.003428,0.001187
0.8821,0.003427,0.001221
0.8921,0.003402,0.001198
0.9022,0.003404,0.001172
0.9122,0.003420,0.001147
0.9222,0.003432,0.001109
0.9322,0.003401,0.001101
0.9423,0.003368,0.001105
0.9523,0.003351,0.001111
0.9623,0.003371,0.001133
0.9723,0.003384,0.001135
0.9824,0.003366,0.001154
0.9924,0.003355,0.001160
1.0024,0.003356,0.001176
1.0124,0.003404,0.001179
1.0225,0.003404,0.001157
1.0325,0.003362,0.001171
1.0425,0.003330,0.001179
1.0525,0.003342,0.001223
1.0626,0.003344,0.001259
1.0726,0.003331,0.001267
1.0826,0.003344,0.001300
1.0926,0.003408,0.001302
1.1027,0.003410,0.001296
1.1127,0.003415,0.001301
1.1227,0.003441,0.001293
1.1327,0.003461,0.001307
1.1427,0.003442,0.001318
1.1528,0.003447,0.001316
1.1628,0.003459,0.001314
1.1728,0.003464,0.001325
1.1828,0.003452,0.001332
1.1929,0.003467,0.001303
1.2029,0.003465,0.001287
1.2129,0.003458,0.001291
1.2229,0.003468,0.001291
1.2330,0.003439,0.001297
1.2430,0.003455,0.001282
1.2530,0.003476,0.001318
1.2630,0.003490,0.001303
1.2731,0.003489,0.001285
1.2831,0.003482,0.001269
1.2931,0.003479,0.001285
1.3031,0.003472,0.001305
1.3132,0.003454,0.001342
1.3232,0.003458,0.001349
1.3332,0.003484,0.001356
1.3432,0.003517,0.001392
1.3533,0.003557,0.001412
1.3633,0.003571,0.001410
1.3733,0.003577,0.001409
1.3833,0.003566,0.001397
1.3933,0.003534,0.001366
1.4034,0.003549,0.001360
1.4134,0.003590,0.001400
1.4234,0.003596,0.001433
1.4334,0.003598,0.001426
1.4435,0.003597,0.001419
1.4535,0.003551,0.001439
1.4635,0.003558,0.001421
1.4735,0.003570,0.001369
1.4836,0.003548,0.001375
1.4936,0.003528,0.001393
1.5036,0.003549,0.001389
1.5136,0.003555,0.001367
