time,mean_attention,std_attention
0.0000,0.004464,0.001485
0.0100,0.004339,0.001456
0.0200,0.004520,0.001509
0.0300,0.004565,0.001579
0.0400,0.004534,0.001600
0.0500,0.004541,0.001620
0.0600,0.004523,0.001670
0.0700,0.004537,0.001699
0.0800,0.004582,0.001746
0.0900,0.004600,0.001814
0.1000,0.004633,0.001863
0.1100,0.004628,0.001930
0.1200,0.004611,0.001893
0.1300,0.004603,0.001919
0.1400,0.004574,0.001912
0.1500,0.004571,0.001912
0.1600,0.004576,0.001914
0.1700,0.004640,0.001987
0.1800,0.004663,0.002007
0.1900,0.004681,0.002000
0.2000,0.004711,0.001997
0.2100,0.004776,0.002061
0.2200,0.004827,0.002072
0.2300,0.004951,0.002075
0.2400,0.005057,0.002123
0.2500,0.005108,0.002163
0.2600,0.005180,0.002189
0.2700,0.005222,0.002257
0.2800,0.005260,0.002266
0.2900,0.005358,0.002285
0.3000,0.005397,0.002324
0.3100,0.005510,0.002386
0.3200,0.005553,0.002449
0.3300,0.005654,0.002467
0.3400,0.005643,0.002451
0.3500,0.005641,0.002404
0.3600,0.005709,0.002434
0.3700,0.005831,0.002470
0.3800,0.005875,0.002471
0.3900,0.005900,0.002481
0.4000,0.005919,0.002499
0.4100,0.005950,0.002461
0.4200,0.006011,0.002445
0.4300,0.006091,0.002466
0.4400,0.006181,0.002427
0.4500,0.006238,0.002442
0.4600,0.006327,0.002433
0.4700,0.006408,0.002445
0.4800,0.006512,0.002531
0.4900,0.006570,0.002577
0.5000,0.006578,0.002605
0.5100,0.006486,0.002586
0.5200,0.006446,0.002587
0.5300,0.006497,0.002539
0.5400,0.006472,0.002480
0.5500,0.006468,0.002496
0.5600,0.006477,0.002505
0.5700,0.006486,0.002515
0.5800,0.006537,0.002508
0.5900,0.006467,0.002458
0.6000,0.006440,0.002406
0.6100,0.006398,0.002333
0.6200,0.006366,0.002274
0.6300,0.006286,0.002244
0.6400,0.006287,0.002238
0.6500,0.006238,0.002240
0.6600,0.006188,0.002243
0.6700,0.006214,0.002248
0.6800,0.006189,0.002177
0.6900,0.006043,0.002131
0.7000,0.006026,0.002083
0.7100,0.005989,0.002115
0.7200,0.006058,0.002164
0.7300,0.006128,0.002151
0.7400,0.006064,0.002143
0.7500,0.006075,0.002197
0.7600,0.006045,0.002242
0.7700,0.005987,0.002244
0.7800,0.005997,0.002274
0.7900,0.006030,0.002270
0.8000,0.006000,0.002224
0.8100,0.005898,0.002210
0.8200,0.005842,0.002204
0.8300,0.005836,0.002241
0.8400,0.005808,0.002310
0.8500,0.005792,0.002361
0.8600,0.005745,0.002416
0.8700,0.005716,0.002475
0.8800,0.005606,0.002432
0.8900,0.005518,0.002407
0.9000,0.005505,0.002491
0.9100,0.005417,0.002504
0.9200,0.005395,0.002483
0.9300,0.005379,0.002459
0.9400,0.005348,0.002528
0.9500,0.005254,0.002512
0.9600,0.005257,0.002463
0.9700,0.005185,0.002417
0.9800,0.005152,0.002365
0.9900,0.005016,0.002332
1.0000,0.004901,0.002287
1.0100,0.004828,0.002269
1.0200,0.004737,0.002175
1.0300,0.004703,0.002170
1.0400,0.004664,0.002112
1.0500,0.004590,0.002022
1.0600,0.004508,0.001931
1.0700,0.004461,0.001898
1.0800,0.004467,0.001899
1.0900,0.004411,0.001803
1.1000,0.004386,0.001754
1.1100,0.004374,0.001759
1.1200,0.004343,0.001699
1.1300,0.004295,0.001633
1.1400,0.004256,0.001597
1.1500,0.004245,0.001629
1.1600,0.004232,0.001591
1.1700,0.004233,0.001570
1.1800,0.004178,0.001536
1.1900,0.004166,0.001536
1.2000,0.004138,0.001529
1.2100,0.004137,0.001494
1.2200,0.004118,0.001457
1.2300,0.004115,0.001437
1.2400,0.004112,0.001445
1.2500,0.004108,0.001440
1.2600,0.004091,0.001432
1.2700,0.004091,0.001398
1.2800,0.004109,0.001402
1.2900,0.004116,0.001420
1.3000,0.004142,0.001429
1.3100,0.004161,0.001427
1.3200,0.004167,0.001419
1.3300,0.004181,0.001422
1.3400,0.004193,0.001449
1.3500,0.004201,0.001459
1.3600,0.004213,0.001457
1.3700,0.004237,0.001454
1.3800,0.004252,0.001416
1.3900,0.004240,0.001364
1.4000,0.004243,0.001363
1.4100,0.004276,0.001393
1.4200,0.004264,0.001346
1.4300,0.004263,0.001439
1.4400,0.004697,0.001628
