time,mean_attention,std_attention
0.0000,0.002764,0.000859
0.0100,0.002709,0.000896
0.0200,0.002919,0.000926
0.0301,0.003105,0.001028
0.0401,0.003116,0.001074
0.0501,0.003093,0.001062
0.0601,0.003079,0.001026
0.0701,0.003072,0.001046
0.0801,0.003049,0.001053
0.0902,0.003064,0.001071
0.1002,0.003077,0.001118
0.1102,0.003084,0.001126
0.1202,0.003084,0.001115
0.1302,0.003083,0.001123
0.1403,0.003087,0.001148
0.1503,0.003093,0.001181
0.1603,0.003109,0.001221
0.1703,0.003099,0.001276
0.1803,0.003103,0.001270
0.1904,0.003090,0.001244
0.2004,0.003079,0.001214
0.2104,0.003083,0.001225
0.2204,0.003087,0.001246
0.2304,0.003087,0.001272
0.2404,0.003060,0.001276
0.2505,0.003054,0.001270
0.2605,0.003053,0.001277
0.2705,0.003071,0.001265
0.2805,0.003067,0.001269
0.2905,0.003093,0.001289
0.3006,0.003129,0.001308
0.3106,0.003168,0.001361
0.3206,0.003168,0.001384
0.3306,0.003161,0.001403
0.3406,0.003162,0.001360
0.3507,0.003168,0.001315
0.3607,0.003177,0.001326
0.3707,0.003200,0.001339
0.3807,0.003229,0.001358
0.3907,0.003236,0.001350
0.4007,0.003258,0.001320
0.4108,0.003242,0.001297
0.4208,0.003238,0.001278
0.4308,0.003239,0.001279
0.4408,0.003276,0.001324
0.4508,0.003304,0.001317
0.4609,0.003306,0.001295
0.4709,0.003328,0.001291
0.4809,0.003350,0.001286
0.4909,0.003343,0.001267
0.5009,0.003324,0.001272
0.5110,0.003329,0.001278
0.5210,0.003347,0.001247
0.5310,0.003378,0.001261
0.5410,0.003407,0.001275
0.5510,0.003402,0.001239
0.5610,0.003400,0.001223
0.5711,0.003402,0.001229
0.5811,0.003435,0.001257
0.5911,0.003473,0.001296
0.6011,0.003481,0.001336
0.6111,0.003495,0.001336
0.6212,0.003486,0.001330
0.6312,0.003497,0.001317
0.6412,0.003497,0.001301
0.6512,0.003489,0.001270
0.6612,0.003478,0.001267
0.6712,0.003484,0.001279
0.6813,0.003488,0.001325
0.6913,0.003504,0.001298
0.7013,0.003492,0.001250
0.7113,0.003499,0.001223
0.7213,0.003504,0.001210
0.7314,0.003527,0.001200
0.7414,0.003548,0.001188
0.7514,0.003543,0.001190
0.7614,0.003528,0.001193
0.7714,0.003524,0.001192
0.7815,0.003526,0.001188
0.7915,0.003506,0.001173
0.8015,0.003490,0.001139
0.8115,0.003482,0.001123
0.8215,0.003486,0.001138
0.8315,0.003486,0.001159
0.8416,0.003496,0.001160
0.8516,0.003535,0.001140
0.8616,0.003539,0.001136
0.8716,0.003566,0.001147
0.8816,0.003568,0.001141
0.8917,0.003571,0.001137
0.9017,0.003594,0.001137
0.9117,0.003577,0.001136
0.9217,0.003566,0.001109
0.9317,0.003565,0.001100
0.9418,0.003535,0.001098
0.9518,0.003574,0.001115
0.9618,0.003598,0.001114
0.9718,0.003597,0.001067
0.9818,0.003622,0.001087
0.9918,0.003631,0.001109
1.0019,0.003643,0.001123
1.0119,0.003666,0.001134
1.0219,0.003696,0.001130
1.0319,0.003706,0.001147
1.0419,0.003725,0.001170
1.0520,0.003739,0.001178
1.0620,0.003739,0.001161
1.0720,0.003743,0.001155
1.0820,0.003743,0.001171
1.0920,0.003719,0.001157
1.1020,0.003718,0.001155
1.1121,0.003714,0.001170
1.1221,0.003712,0.001159
1.1321,0.003720,0.001128
1.1421,0.003732,0.001147
1.1521,0.003769,0.001157
1.1622,0.003789,0.001194
1.1722,0.003791,0.001215
1.1822,0.003771,0.001236
1.1922,0.003751,0.001261
1.2022,0.003733,0.001267
1.2123,0.003733,0.001222
1.2223,0.003732,0.001233
1.2323,0.003724,0.001246
1.2423,0.003727,0.001250
1.2523,0.003738,0.001251
1.2623,0.003762,0.001256
1.2724,0.003768,0.001278
1.2824,0.003767,0.001311
1.2924,0.003743,0.001332
1.3024,0.003720,0.001320
1.3124,0.003736,0.001315
1.3225,0.003745,0.001328
1.3325,0.003725,0.001328
1.3425,0.003705,0.001337
1.3525,0.003715,0.001347
1.3625,0.003704,0.001324
1.3726,0.003701,0.001324
1.3826,0.003693,0.001295
1.3926,0.003704,0.001309
1.4026,0.003754,0.001308
1.4126,0.003780,0.001328
1.4226,0.003789,0.001323
1.4327,0.003773,0.001305
1.4427,0.003742,0.001297
1.4527,0.003721,0.001310
1.4627,0.003736,0.001313
1.4727,0.003756,0.001333
1.4828,0.003763,0.001333
1.4928,0.003741,0.001331
1.5028,0.003730,0.001298
1.5128,0.003745,0.001290
1.5228,0.003771,0.001307
1.5329,0.003763,0.001299
1.5429,0.003758,0.001317
1.5529,0.003736,0.001318
1.5629,0.003708,0.001298
1.5729,0.003710,0.001279
1.5829,0.003701,0.001281
1.5930,0.003696,0.001288
1.6030,0.003707,0.001301
1.6130,0.003690,0.001269
1.6230,0.003650,0.001249
1.6330,0.003663,0.001251
1.6431,0.003683,0.001263
1.6531,0.003673,0.001263
1.6631,0.003719,0.001273
1.6731,0.003732,0.001322
1.6831,0.003740,0.001333
1.6931,0.003742,0.001342
1.7032,0.003750,0.001348
1.7132,0.003748,0.001327
1.7232,0.003768,0.001283
1.7332,0.003802,0.001272
1.7432,0.003822,0.001290
