time,mean_attention,std_attention
0.0000,0.002506,0.000829
0.0100,0.002518,0.000862
0.0200,0.002733,0.000837
0.0300,0.002886,0.000874
0.0400,0.002896,0.000927
0.0500,0.002904,0.000945
0.0600,0.002910,0.000979
0.0700,0.002907,0.000985
0.0801,0.002908,0.000996
0.0901,0.002918,0.001028
0.1001,0.002930,0.001051
0.1101,0.002934,0.001067
0.1201,0.002940,0.001065
0.1301,0.002947,0.001071
0.1401,0.002923,0.001051
0.1501,0.002890,0.001031
0.1601,0.002885,0.001027
0.1701,0.002857,0.001034
0.1801,0.002848,0.001060
0.1901,0.002863,0.001079
0.2001,0.002891,0.001111
0.2101,0.002885,0.001121
0.2201,0.002867,0.001145
0.2301,0.002861,0.001130
0.2402,0.002870,0.001133
0.2502,0.002873,0.001155
0.2602,0.002895,0.001192
0.2702,0.002909,0.001185
0.2802,0.002940,0.001180
0.2902,0.002976,0.001190
0.3002,0.003003,0.001205
0.3102,0.003013,0.001206
0.3202,0.003024,0.001205
0.3302,0.003057,0.001235
0.3402,0.003083,0.001291
0.3502,0.003104,0.001339
0.3602,0.003122,0.001330
0.3702,0.003127,0.001258
0.3802,0.003125,0.001234
0.3903,0.003152,0.001243
0.4003,0.003169,0.001248
0.4103,0.003195,0.001292
0.4203,0.003237,0.001352
0.4303,0.003274,0.001364
0.4403,0.003289,0.001308
0.4503,0.003292,0.001272
0.4603,0.003273,0.001242
0.4703,0.003280,0.001254
0.4803,0.003327,0.001246
0.4903,0.003354,0.001230
0.5003,0.003379,0.001210
0.5103,0.003414,0.001230
0.5203,0.003440,0.001275
0.5303,0.003483,0.001298
0.5404,0.003454,0.001306
0.5504,0.003471,0.001308
0.5604,0.003502,0.001316
0.5704,0.003487,0.001278
0.5804,0.003500,0.001276
0.5904,0.003503,0.001320
0.6004,0.003493,0.001347
0.6104,0.003496,0.001351
0.6204,0.003516,0.001316
0.6304,0.003555,0.001303
0.6404,0.003559,0.001313
0.6504,0.003568,0.001338
0.6604,0.003580,0.001333
0.6704,0.003572,0.001317
0.6804,0.003551,0.001287
0.6904,0.003572,0.001237
0.7005,0.003605,0.001235
0.7105,0.003600,0.001252
0.7205,0.003603,0.001267
0.7305,0.003612,0.001287
0.7405,0.003614,0.001267
0.7505,0.003605,0.001246
0.7605,0.003645,0.001268
0.7705,0.003637,0.001273
0.7805,0.003630,0.001241
0.7905,0.003651,0.001216
0.8005,0.003646,0.001203
0.8105,0.003658,0.001177
0.8205,0.003692,0.001134
0.8305,0.003727,0.001133
0.8405,0.003732,0.001155
0.8506,0.003724,0.001189
0.8606,0.003754,0.001205
0.8706,0.003754,0.001253
0.8806,0.003738,0.001292
0.8906,0.003777,0.001268
0.9006,0.003765,0.001216
0.9106,0.003746,0.001240
0.9206,0.003767,0.001224
0.9306,0.003786,0.001214
0.9406,0.003776,0.001186
0.9506,0.003728,0.001186
0.9606,0.003734,0.001207
0.9706,0.003731,0.001179
0.9806,0.003704,0.001176
0.9906,0.003706,0.001159
1.0007,0.003729,0.001162
1.0107,0.003724,0.001172
1.0207,0.003711,0.001138
1.0307,0.003717,0.001121
1.0407,0.003701,0.001106
1.0507,0.003681,0.001112
1.0607,0.003693,0.001118
1.0707,0.003722,0.001113
1.0807,0.003728,0.001130
1.0907,0.003718,0.001150
1.1007,0.003700,0.001152
1.1107,0.003664,0.001157
1.1207,0.003660,0.001162
1.1307,0.003631,0.001185
1.1407,0.003655,0.001166
1.1507,0.003670,0.001176
1.1608,0.003658,0.001176
1.1708,0.003630,0.001181
1.1808,0.003613,0.001162
1.1908,0.003620,0.001127
1.2008,0.003625,0.001114
1.2108,0.003613,0.001115
1.2208,0.003608,0.001130
1.2308,0.003628,0.001095
1.2408,0.003594,0.001064
1.2508,0.003593,0.001088
1.2608,0.003593,0.001085
1.2708,0.003591,0.001090
1.2808,0.003605,0.001094
1.2908,0.003605,0.001081
1.3008,0.003580,0.001093
1.3109,0.003581,0.001086
1.3209,0.003620,0.001112
1.3309,0.003624,0.001147
1.3409,0.003631,0.001149
1.3509,0.003619,0.001126
1.3609,0.003640,0.001114
1.3709,0.003603,0.001102
1.3809,0.003575,0.001092
1.3909,0.003590,0.001117
1.4009,0.003586,0.001149
1.4109,0.003591,0.001189
1.4209,0.003601,0.001201
1.4309,0.003622,0.001211
1.4409,0.003604,0.001228
1.4509,0.003636,0.001221
1.4610,0.003628,0.001208
1.4710,0.003621,0.001219
1.4810,0.003615,0.001202
1.4910,0.003597,0.001217
1.5010,0.003621,0.001225
1.5110,0.003617,0.001237
1.5210,0.003623,0.001250
1.5310,0.003646,0.001242
1.5410,0.003621,0.001244
1.5510,0.003680,0.001260
1.5610,0.003704,0.001276
1.5710,0.003678,0.001284
1.5810,0.003678,0.001281
1.5910,0.003666,0.001313
1.6010,0.003616,0.001294
1.6110,0.003596,0.001271
1.6211,0.003606,0.001253
1.6311,0.003616,0.001246
1.6411,0.003583,0.001245
1.6511,0.003597,0.001246
1.6611,0.003599,0.001289
1.6711,0.003632,0.001218
1.6811,0.003594,0.001196
1.6911,0.003552,0.001185
1.7011,0.003507,0.001186
1.7111,0.003498,0.001205
1.7211,0.003526,0.001255
1.7311,0.003538,0.001262
1.7411,0.003582,0.001262
1.7511,0.003622,0.001278
1.7611,0.003620,0.001223
1.7712,0.003595,0.001204
1.7812,0.003596,0.001170
1.7912,0.003572,0.001126
1.8012,0.003549,0.001104
1.8112,0.003501,0.001147
1.8212,0.003501,0.001161
1.8312,0.003480,0.001148
1.8412,0.003443,0.001148
1.8512,0.003423,0.001144
1.8612,0.003424,0.001133
1.8712,0.003432,0.001139
1.8812,0.003427,0.001114
1.8912,0.003372,0.001096
1.9012,0.003376,0.001096
1.9112,0.003357,0.001104
1.9213,0.003364,0.001102
1.9313,0.003356,0.001084
1.9413,0.003360,0.001078
1.9513,0.003352,0.001065
1.9613,0.003382,0.001081
1.9713,0.003416,0.001102
1.9813,0.003434,0.001071
1.9913,0.003441,0.001066
2.0013,0.003417,0.001086
2.0113,0.003399,0.001085
2.0213,0.003358,0.001059
2.0313,0.003337,0.001053
2.0413,0.003315,0.001081
2.0513,0.003320,0.001094
2.0613,0.003323,0.001083
2.0713,0.003327,0.001082
2.0814,0.003314,0.001069
2.0914,0.003308,0.001078
2.1014,0.003277,0.001077
2.1114,0.003257,0.001060
2.1214,0.003257,0.001068
2.1314,0.003287,0.001078
2.1414,0.003293,0.001068
2.1514,0.003302,0.001067
2.1614,0.003305,0.001067
2.1714,0.003297,0.001084
2.1814,0.003288,0.001088
2.1914,0.003283,0.001109
2.2014,0.003303,0.001113
2.2114,0.003304,0.001103
2.2214,0.003313,0.001126
2.2315,0.003314,0.001151
2.2415,0.003293,0.001177
2.2515,0.003327,0.001184
2.2615,0.003323,0.001205
2.2715,0.003287,0.001181
2.2815,0.003275,0.001175
2.2915,0.003295,0.001198
2.3015,0.003273,0.001215
2.3115,0.003302,0.001189
2.3215,0.003298,0.001169
2.3315,0.003267,0.001161
2.3415,0.003250,0.001164
2.3515,0.003245,0.001185
2.3615,0.003244,0.001198
2.3715,0.003259,0.001229
2.3816,0.003234,0.001229
2.3916,0.003231,0.001222
2.4016,0.003195,0.001196
2.4116,0.003180,0.001165
2.4216,0.003186,0.001185
2.4316,0.003207,0.001218
2.4416,0.003210,0.001201
2.4516,0.003192,0.001229
2.4616,0.003197,0.001233
2.4716,0.003196,0.001239
2.4816,0.003169,0.001258
2.4916,0.003140,0.001273
2.5016,0.003156,0.001259
2.5116,0.003146,0.001246
2.5216,0.003133,0.001243
2.5316,0.003119,0.001257
2.5417,0.003113,0.001274
2.5517,0.003097,0.001268
2.5617,0.003090,0.001209
2.5717,0.003049,0.001154
2.5817,0.003041,0.001151
2.5917,0.003010,0.001147
2.6017,0.003019,0.001192
2.6117,0.002967,0.001139
2.6217,0.002933,0.001093
2.6317,0.002915,0.001100
2.6417,0.002913,0.001092
2.6517,0.002905,0.001116
2.6617,0.002894,0.001142
2.6717,0.002878,0.001156
2.6817,0.002854,0.001117
