recording_id,frame_id,time,entropy
20150803094831202_m0002_31,0,0.00,0.003060
20150803094831202_m0002_31,1,0.01,0.002717
20150803094831202_m0002_31,2,0.02,0.002694
20150803094831202_m0002_31,3,0.03,0.003085
20150803094831202_m0002_31,4,0.04,0.003017
20150803094831202_m0002_31,5,0.05,0.003134
20150803094831202_m0002_31,6,0.06,0.003213
20150803094831202_m0002_31,7,0.07,0.003212
20150803094831202_m0002_31,8,0.08,0.003387
20150803094831202_m0002_31,9,0.09,0.003510
20150803094831202_m0002_31,10,0.10,0.003498
20150803094831202_m0002_31,11,0.11,0.003348
20150803094831202_m0002_31,12,0.12,0.003305
20150803094831202_m0002_31,13,0.13,0.002972
20150803094831202_m0002_31,14,0.14,0.003458
20150803094831202_m0002_31,15,0.15,0.004705
20150803094831202_m0002_31,16,0.16,0.006790
20150803094831202_m0002_31,17,0.17,0.007844
20150803094831202_m0002_31,18,0.18,0.006575
20150803094831202_m0002_31,19,0.19,0.008135
20150803094831202_m0002_31,20,0.20,0.008721
20150803094831202_m0002_31,21,0.21,0.009446
20150803094831202_m0002_31,22,0.22,0.009550
20150803094831202_m0002_31,23,0.23,0.009469
20150803094831202_m0002_31,24,0.24,0.008553
20150803094831202_m0002_31,25,0.25,0.005962
20150803094831202_m0002_31,26,0.26,0.004017
20150803094831202_m0002_31,27,0.27,0.004345
20150803094831202_m0002_31,28,0.28,0.004753
20150803094831202_m0002_31,29,0.29,0.003196
20150803094831202_m0002_31,30,0.30,0.003250
20150803094831202_m0002_31,31,0.31,0.005910
20150803094831202_m0002_31,32,0.32,0.006146
20150803094831202_m0002_31,33,0.33,0.008774
20150803094831202_m0002_31,34,0.34,0.006630
20150803094831202_m0002_31,35,0.35,0.005080
20150803094831202_m0002_31,36,0.36,0.002979
20150803094831202_m0002_31,37,0.37,0.005218
20150803094831202_m0002_31,38,0.38,0.005956
20150803094831202_m0002_31,39,0.39,0.005590
20150803094831202_m0002_31,40,0.40,0.005412
20150803094831202_m0002_31,41,0.41,0.005411
20150803094831202_m0002_31,42,0.42,0.005725
20150803094831202_m0002_31,43,0.43,0.005766
20150803094831202_m0002_31,44,0.44,0.006301
20150803094831202_m0002_31,45,0.45,0.006307
20150803094831202_m0002_31,46,0.46,0.006312
20150803094831202_m0002_31,47,0.47,0.005986
20150803094831202_m0002_31,48,0.48,0.005708
20150803094831202_m0002_31,49,0.49,0.005530
20150803094831202_m0002_31,50,0.50,0.004834
20150803094831202_m0002_31,51,0.51,0.003836
20150803094831202_m0002_31,52,0.52,0.006093
20150803094831202_m0002_31,53,0.53,0.007248
20150803094831202_m0002_31,54,0.54,0.007916
20150803094831202_m0002_31,55,0.55,0.008057
20150803094831202_m0002_31,56,0.56,0.007553
20150803094831202_m0002_31,57,0.57,0.007078
20150803094831202_m0002_31,58,0.58,0.006742
20150803094831202_m0002_31,59,0.59,0.005773
20150803094831202_m0002_31,60,0.60,0.005405
20150803094831202_m0002_31,61,0.61,0.005385
20150803094831202_m0002_31,62,0.62,0.004730
20150803094831202_m0002_31,63,0.63,0.004048
20150803094831202_m0002_31,64,0.64,0.005617
20150803094831202_m0002_31,65,0.65,0.006522
20150803094831202_m0002_31,66,0.66,0.006784
20150803094831202_m0002_31,67,0.67,0.006556
20150803094831202_m0002_31,68,0.68,0.005994
20150803094831202_m0002_31,69,0.69,0.003779
20150803094831202_m0002_31,70,0.70,0.006084
20150803094831202_m0002_31,71,0.71,0.006469
20150803094831202_m0002_31,72,0.72,0.007088
20150803094831202_m0002_31,73,0.73,0.007071
20150803094831202_m0002_31,74,0.74,0.007614
20150803094831202_m0002_31,75,0.75,0.007960
20150803094831202_m0002_31,76,0.76,0.007830
20150803094831202_m0002_31,77,0.77,0.007178
20150803094831202_m0002_31,78,0.78,0.006705
20150803094831202_m0002_31,79,0.79,0.005014
20150803094831202_m0002_31,80,0.80,0.004005
20150803094831202_m0002_31,81,0.81,0.004737
20150803094831202_m0002_31,82,0.82,0.004289
20150803094831202_m0002_31,83,0.83,0.004342
20150803094831202_m0002_31,84,0.84,0.005446
20150803094831202_m0002_31,85,0.85,0.010816
20150803094831202_m0002_31,86,0.86,0.009706
20150803094831202_m0002_31,87,0.87,0.007220
20150803094831202_m0002_31,88,0.88,0.012555
20150803094831202_m0002_31,89,0.89,0.011504
20150803094831202_m0002_31,90,0.90,0.009693
20150803094831202_m0002_31,91,0.91,0.009316
20150803094831202_m0002_31,92,0.92,0.007349
20150803094831202_m0002_31,93,0.93,0.007917
20150803094831202_m0002_31,94,0.94,0.009323
20150803094831202_m0002_31,95,0.95,0.008976
20150803094831202_m0002_31,96,0.96,0.006450
20150803094831202_m0002_31,97,0.97,0.006893
20150803094831202_m0002_31,98,0.98,0.004806
20150803094831202_m0002_31,99,0.99,0.005213
20150803094831202_m0002_31,100,1.00,0.005039
20150803094831202_m0002_31,101,1.01,0.004569
20150803094831202_m0002_31,102,1.02,0.004305
20150803094831202_m0002_31,103,1.03,0.003598
20150803094831202_m0002_31,104,1.04,0.004789
20150803094831202_m0002_31,105,1.05,0.004605
20150803094831202_m0002_31,106,1.06,0.004067
20150803094831202_m0002_31,107,1.07,0.004993
20150803094831202_m0002_31,108,1.08,0.006732
20150803094831202_m0002_31,109,1.09,0.006735
20150803094831202_m0002_31,110,1.10,0.006498
20150803094831202_m0002_31,111,1.11,0.006927
20150803094831202_m0002_31,112,1.12,0.007004
20150803094831202_m0002_31,113,1.13,0.006527
20150803094831202_m0002_31,114,1.14,0.005567
20150803094831202_m0002_31,115,1.15,0.005155
20150803094831202_m0002_31,116,1.16,0.004372
20150803094831202_m0002_31,117,1.17,0.004870
20150803094831202_m0002_31,118,1.18,0.007242
20150803094831202_m0002_31,119,1.19,0.007863
20150803094831202_m0002_31,120,1.20,0.008347
20150803094831202_m0002_31,121,1.21,0.007587
20150803094831202_m0002_31,122,1.22,0.006275
20150803094831202_m0002_31,123,1.23,0.003850
20150803094831202_m0002_31,124,1.24,0.003295
20150803094831202_m0002_31,125,1.25,0.004166
20150803094831202_m0002_31,126,1.26,0.003579
20150803094831202_m0002_31,127,1.27,0.003487
20150803094831202_m0002_31,128,1.28,0.003598
20150803094831202_m0002_31,129,1.29,0.002763
20150803094831202_m0002_31,130,1.30,0.002492
20150803094831202_m0002_31,131,1.31,0.003618
20150803094831202_m0002_31,132,1.32,0.005805
20150803094831202_m0002_31,133,1.33,0.005776
20150803094831202_m0002_31,134,1.34,0.005577
20150803094831202_m0002_31,135,1.35,0.005821
20150803094831202_m0002_31,136,1.36,0.005292
20150803094831202_m0002_31,137,1.37,0.004565
20150803094831202_m0002_31,138,1.38,0.004085
20150803094831202_m0002_31,139,1.39,0.004376
20150803094831202_m0002_31,140,1.40,0.004438
20150803094831202_m0002_31,141,1.41,0.006131
20150803094831202_m0002_31,142,1.42,0.004955
20150803094831202_m0002_31,143,1.43,0.002782
20150803094831202_m0002_31,144,1.44,0.002469
20150803094831202_m0002_31,145,1.45,0.002874
20150803094831202_m0002_31,146,1.46,0.003256
20150803094831202_m0002_31,147,1.47,0.003720
20150803094831202_m0002_31,148,1.48,0.003720
20150803094831202_m0002_31,149,1.49,0.003603
20150803094831202_m0002_31,150,1.50,0.004024
20150803094831202_m0002_31,151,1.51,0.003616
20150803094831202_m0002_31,152,1.52,0.004067
20150803094831202_m0002_31,153,1.53,0.003946
20150803094831202_m0002_31,154,1.54,0.004712
20150803094831202_m0002_31,155,1.55,0.004017
20150803094831202_m0002_31,156,1.56,0.003046
20150803094831202_m0002_31,157,1.57,0.002533
20150803094831202_m0002_31,158,1.58,0.002808
20150803094831202_m0002_31,159,1.59,0.003178
20150803094831202_m0002_31,160,1.60,0.003144
20150803094831202_m0002_31,161,1.61,0.003017
20150803094831202_m0002_31,162,1.62,0.002932
20150803094831202_m0002_31,163,1.63,0.002883
20150803094831202_m0002_31,164,1.64,0.002743
20150803094831202_m0002_31,165,1.65,0.002835
20150803094831202_m0002_31,166,1.66,0.002845
20150803094831202_m0002_31,167,1.67,0.002784
20150803094831202_m0002_31,168,1.68,0.002679
20150803094831202_m0002_31,169,1.69,0.002682
20150803094831202_m0002_31,170,1.70,0.002865
20150803094831202_m0002_31,171,1.71,0.002743
20150803094831202_m0002_31,172,1.72,0.002779
20150803094831202_m0002_31,173,1.73,0.003013
20150803094831202_m0002_31,174,1.74,0.002855
20150803094831202_m0002_31,175,1.75,0.002765
20150803094831202_m0002_31,176,1.76,0.002734
20150803094831202_m0002_31,177,1.77,0.002637
20150803094831202_m0002_31,178,1.78,0.002739
20150803094831202_m0002_31,179,1.79,0.002834
20150803094831202_m0002_31,180,1.80,0.002975
20150803094831202_m0002_31,181,1.81,0.002768
20150803094831202_m0002_31,182,1.82,0.002614
20150803094831202_m0002_31,183,1.83,0.002596
20150803094831202_m0002_31,184,1.84,0.002614
20150803094831202_m0002_31,185,1.85,0.002648
20150803094831202_m0002_31,186,1.86,0.002668
20150803094831202_m0002_31,187,1.87,0.002667
20150803094831202_m0002_31,188,1.88,0.002763
20150803094831202_m0002_31,189,1.89,0.002757
20150803094831202_m0002_31,190,1.90,0.002839
20150803094831202_m0002_31,191,1.91,0.002910
20150803094831202_m0002_31,192,1.92,0.003033
20150803094831202_m0002_31,193,1.93,0.002841
20150803094831202_m0002_31,194,1.94,0.003097
20150803094831202_m0002_31,195,1.95,0.003097
20150803094831202_m0002_31,196,1.96,0.002992
20150803094831202_m0002_31,197,1.97,0.003198
20150803094831202_m0002_31,198,1.98,0.003122
20150803094831202_m0002_31,199,1.99,0.003087
20150803094831202_m0002_31,200,2.00,0.003314
20150129105602091_m0002_31,0,0.00,0.004869
20150129105602091_m0002_31,1,0.01,0.004968
20150129105602091_m0002_31,2,0.02,0.005208
20150129105602091_m0002_31,3,0.03,0.006174
20150129105602091_m0002_31,4,0.04,0.005098
20150129105602091_m0002_31,5,0.05,0.005007
20150129105602091_m0002_31,6,0.06,0.005239
20150129105602091_m0002_31,7,0.07,0.005045
20150129105602091_m0002_31,8,0.08,0.004910
20150129105602091_m0002_31,9,0.09,0.005533
20150129105602091_m0002_31,10,0.10,0.005141
20150129105602091_m0002_31,11,0.11,0.005058
20150129105602091_m0002_31,12,0.12,0.005100
20150129105602091_m0002_31,13,0.13,0.006278
20150129105602091_m0002_31,14,0.14,0.006041
20150129105602091_m0002_31,15,0.15,0.008011
20150129105602091_m0002_31,16,0.16,0.008121
20150129105602091_m0002_31,17,0.17,0.007578
20150129105602091_m0002_31,18,0.18,0.009439
20150129105602091_m0002_31,19,0.19,0.008881
20150129105602091_m0002_31,20,0.20,0.007847
20150129105602091_m0002_31,21,0.21,0.007370
20150129105602091_m0002_31,22,0.22,0.007331
20150129105602091_m0002_31,23,0.23,0.005994
20150129105602091_m0002_31,24,0.24,0.004991
20150129105602091_m0002_31,25,0.25,0.004524
20150129105602091_m0002_31,26,0.26,0.003987
20150129105602091_m0002_31,27,0.27,0.004680
20150129105602091_m0002_31,28,0.28,0.006210
20150129105602091_m0002_31,29,0.29,0.006206
20150129105602091_m0002_31,30,0.30,0.006851
20150129105602091_m0002_31,31,0.31,0.007572
20150129105602091_m0002_31,32,0.32,0.006568
20150129105602091_m0002_31,33,0.33,0.003875
20150129105602091_m0002_31,34,0.34,0.005450
20150129105602091_m0002_31,35,0.35,0.005785
20150129105602091_m0002_31,36,0.36,0.005947
20150129105602091_m0002_31,37,0.37,0.005763
20150129105602091_m0002_31,38,0.38,0.006034
20150129105602091_m0002_31,39,0.39,0.006128
20150129105602091_m0002_31,40,0.40,0.005890
20150129105602091_m0002_31,41,0.41,0.005627
20150129105602091_m0002_31,42,0.42,0.005675
20150129105602091_m0002_31,43,0.43,0.006149
20150129105602091_m0002_31,44,0.44,0.006477
20150129105602091_m0002_31,45,0.45,0.006783
20150129105602091_m0002_31,46,0.46,0.006343
20150129105602091_m0002_31,47,0.47,0.004772
20150129105602091_m0002_31,48,0.48,0.006544
20150129105602091_m0002_31,49,0.49,0.008474
20150129105602091_m0002_31,50,0.50,0.008114
20150129105602091_m0002_31,51,0.51,0.008255
20150129105602091_m0002_31,52,0.52,0.008955
20150129105602091_m0002_31,53,0.53,0.007697
20150129105602091_m0002_31,54,0.54,0.006969
20150129105602091_m0002_31,55,0.55,0.005476
20150129105602091_m0002_31,56,0.56,0.004422
20150129105602091_m0002_31,57,0.57,0.003197
20150129105602091_m0002_31,58,0.58,0.003917
20150129105602091_m0002_31,59,0.59,0.003944
