recording_id,speaker_id,phrase,pcm_path
20150803094831202_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150803094831202_m0002_31.pcm
20150129105602091_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150129105602091_m0002_31.pcm
20150713090135243_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150713090135243_m0002_31.pcm
20150306113258389_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150306113258389_m0002_31.pcm
20150811091723268_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150811091723268_m0002_31.pcm
20150302083627353_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150302083627353_m0002_31.pcm
20150713090256675_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150713090256675_m0002_31.pcm
20150727093234978_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150727093234978_m0002_31.pcm
20150727093431588_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150727093431588_m0002_31.pcm
20150401080200788_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150401080200788_m0002_31.pcm
20150316120925060_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150316120925060_m0002_31.pcm
20150622092546897_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150622092546897_m0002_31.pcm
20150713085938321_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150713085938321_m0002_31.pcm
20150223075914016_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150223075914016_m0002_31.pcm
20150309101717512_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150309101717512_m0002_31.pcm
20150727093829473_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150727093829473_m0002_31.pcm
20150129105741915_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150129105741915_m0002_31.pcm
20150420075619519_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150420075619519_m0002_31.pcm
20150129105601404_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150129105601404_m0002_31.pcm
20150129105602637_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150129105602637_m0002_31.pcm
20150811091920347_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150811091920347_m0002_31.pcm
20150817100154822_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150817100154822_m0002_31.pcm
20150504083857481_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150504083857481_m0002_31.pcm
20150817100008087_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150817100008087_m0002_31.pcm
20150406083433287_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150406083433287_m0002_31.pcm
20150427075231842_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150427075231842_m0002_31.pcm
20150413094736322_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150413094736322_m0002_31.pcm
20150803095015613_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150803095015613_m0002_31.pcm
20150622092328275_m0002_31,m0002,My voice is my password,Reddots/pcm/m0002/20150622092328275_m0002_31.pcm
