recording_id,speaker_id,pcm_path,file_exists
20150727093248799_m0002_38,m0002,Reddots/pcm/m0002/20150727093248799_m0002_38.pcm,True
20150531182709761_m0053_38,m0053,Reddots/pcm/m0053/20150531182709761_m0053_38.pcm,True
20150811223422251_m0037_38,m0037,Reddots/pcm/m0037/20150811223422251_m0037_38.pcm,True
20150617170939265_m0004_38,m0004,Reddots/pcm/m0004/20150617170939265_m0004_38.pcm,True
20150701220557994_m0038_38,m0038,Reddots/pcm/m0038/20150701220557994_m0038_38.pcm,True
20150526215102242_m0021_38,m0021,Reddots/pcm/m0021/20150526215102242_m0021_38.pcm,True
20150427075228254_m0002_38,m0002,Reddots/pcm/m0002/20150427075228254_m0002_38.pcm,True
20150510164349818_m0001_38,m0001,Reddots/pcm/m0001/20150510164349818_m0001_38.pcm,True
20150507040311991_m0060_38,m0060,Reddots/pcm/m0060/20150507040311991_m0060_38.pcm,True
20150501171359910_f0012_38,f0012,Reddots/pcm/f0012/20150501171359910_f0012_38.pcm,False
20150529205530569_f0008_38,f0008,Reddots/pcm/f0008/20150529205530569_f0008_38.pcm,False
20150506212313205_m0054_38,m0054,Reddots/pcm/m0054/20150506212313205_m0054_38.pcm,True
20150307010908873_m0026_38,m0026,Reddots/pcm/m0026/20150307010908873_m0026_38.pcm,True
20150325163921141_m0021_38,m0021,Reddots/pcm/m0021/20150325163921141_m0021_38.pcm,True
20150504160232282_m0017_38,m0017,Reddots/pcm/m0017/20150504160232282_m0017_38.pcm,True
20150504230450127_m0013_38,m0013,Reddots/pcm/m0013/20150504230450127_m0013_38.pcm,True
20150317043645993_m0028_38,m0028,Reddots/pcm/m0028/20150317043645993_m0028_38.pcm,True
20150626240847750_m0037_38,m0037,Reddots/pcm/m0037/20150626240847750_m0037_38.pcm,True
20150223204606562_m0017_38,m0017,Reddots/pcm/m0017/20150223204606562_m0017_38.pcm,True
20150804121419950_m0047_38,m0047,Reddots/pcm/m0047/20150804121419950_m0047_38.pcm,True
20150504230544322_f0004_38,f0004,Reddots/pcm/f0004/20150504230544322_f0004_38.pcm,False
20150325151139111_f0007_38,f0007,Reddots/pcm/f0007/20150325151139111_f0007_38.pcm,False
20150306113310885_m0001_38,m0001,Reddots/pcm/m0001/20150306113310885_m0001_38.pcm,True
20150719204342197_m0013_38,m0013,Reddots/pcm/m0013/20150719204342197_m0013_38.pcm,True
20150624023522275_m0018_38,m0018,Reddots/pcm/m0018/20150624023522275_m0018_38.pcm,True
20150810152119248_f0002_38,f0002,Reddots/pcm/f0002/20150810152119248_f0002_38.pcm,False
20150516190605827_f0011_38,f0011,Reddots/pcm/f0011/20150516190605827_f0011_38.pcm,False
20150504084938954_m0001_38,m0001,Reddots/pcm/m0001/20150504084938954_m0001_38.pcm,True
20150629221426768_m0015_38,m0015,Reddots/pcm/m0015/20150629221426768_m0015_38.pcm,True
20150330134122016_f0002_38,f0002,Reddots/pcm/f0002/20150330134122016_f0002_38.pcm,False
20150210162322951_m0021_38,m0021,Reddots/pcm/m0021/20150210162322951_m0021_38.pcm,True
20150311153429863_f0002_38,f0002,Reddots/pcm/f0002/20150311153429863_f0002_38.pcm,False
20150601230956541_m0021_38,m0021,Reddots/pcm/m0021/20150601230956541_m0021_38.pcm,True
20150218225205713_m0017_38,m0017,Reddots/pcm/m0017/20150218225205713_m0017_38.pcm,True
20150728233139639_m0015_38,m0015,Reddots/pcm/m0015/20150728233139639_m0015_38.pcm,True
20150811223424934_m0037_38,m0037,Reddots/pcm/m0037/20150811223424934_m0037_38.pcm,True
20150306222513181_m0019_38,m0019,Reddots/pcm/m0019/20150306222513181_m0019_38.pcm,True
20150424165547435_m0052_38,m0052,Reddots/pcm/m0052/20150424165547435_m0052_38.pcm,True
20150627102915346_f0005_38,f0005,Reddots/pcm/f0005/20150627102915346_f0005_38.pcm,False
20150817032703216_m0040_38,m0040,Reddots/pcm/m0040/20150817032703216_m0040_38.pcm,True
20150606035731790_m0026_38,m0026,Reddots/pcm/m0026/20150606035731790_m0026_38.pcm,True
20150411211408891_m0001_38,m0001,Reddots/pcm/m0001/20150411211408891_m0001_38.pcm,True
20150302083621362_m0002_38,m0002,Reddots/pcm/m0002/20150302083621362_m0002_38.pcm,True
20150705201239249_m0013_38,m0013,Reddots/pcm/m0013/20150705201239249_m0013_38.pcm,True
20150225054255334_m0016_38,m0016,Reddots/pcm/m0016/20150225054255334_m0016_38.pcm,True
20150722210927950_m0050_38,m0050,Reddots/pcm/m0050/20150722210927950_m0050_38.pcm,True
20150420185001077_m0041_38,m0041,Reddots/pcm/m0041/20150420185001077_m0041_38.pcm,True
20150401243009797_m0041_38,m0041,Reddots/pcm/m0041/20150401243009797_m0041_38.pcm,True
20150623145518733_f0002_38,f0002,Reddots/pcm/f0002/20150623145518733_f0002_38.pcm,False
20150713090255084_m0002_38,m0002,Reddots/pcm/m0002/20150713090255084_m0002_38.pcm,True
20150306223335517_m0014_38,m0014,Reddots/pcm/m0014/20150306223335517_m0014_38.pcm,True
20150225054305021_m0016_38,m0016,Reddots/pcm/m0016/20150225054305021_m0016_38.pcm,True
20150225054300123_m0016_38,m0016,Reddots/pcm/m0016/20150225054300123_m0016_38.pcm,True
20150612050445734_m0026_38,m0026,Reddots/pcm/m0026/20150612050445734_m0026_38.pcm,True
20150402131849315_m0032_38,m0032,Reddots/pcm/m0032/20150402131849315_m0032_38.pcm,True
20150224244228189_m0010_38,m0010,Reddots/pcm/m0010/20150224244228189_m0010_38.pcm,True
20150424190710192_m0001_38,m0001,Reddots/pcm/m0001/20150424190710192_m0001_38.pcm,True
20150603014933728_m0009_38,m0009,Reddots/pcm/m0009/20150603014933728_m0009_38.pcm,True
20150804193936370_f0012_38,f0012,Reddots/pcm/f0012/20150804193936370_f0012_38.pcm,False
20150418034214184_m0029_38,m0029,Reddots/pcm/m0029/20150418034214184_m0029_38.pcm,True
20150327225800668_m0038_38,m0038,Reddots/pcm/m0038/20150327225800668_m0038_38.pcm,True
20150527154059538_m0005_38,m0005,Reddots/pcm/m0005/20150527154059538_m0005_38.pcm,True
20150623162623750_m0009_38,m0009,Reddots/pcm/m0009/20150623162623750_m0009_38.pcm,True
20150719122257371_m0053_38,m0053,Reddots/pcm/m0053/20150719122257371_m0053_38.pcm,True
20150710212925188_m0054_38,m0054,Reddots/pcm/m0054/20150710212925188_m0054_38.pcm,True
20150730121946631_m0050_38,m0050,Reddots/pcm/m0050/20150730121946631_m0050_38.pcm,True
20150527154109522_m0005_38,m0005,Reddots/pcm/m0005/20150527154109522_m0005_38.pcm,True
20150531020544026_m0008_38,m0008,Reddots/pcm/m0008/20150531020544026_m0008_38.pcm,True
20150624241057661_m0007_38,m0007,Reddots/pcm/m0007/20150624241057661_m0007_38.pcm,True
20150629071210991_m0040_38,m0040,Reddots/pcm/m0040/20150629071210991_m0040_38.pcm,True
20150410043002128_m0040_38,m0040,Reddots/pcm/m0040/20150410043002128_m0040_38.pcm,True
20150618023519730_m0014_38,m0014,Reddots/pcm/m0014/20150618023519730_m0014_38.pcm,True
20150615185411593_m0015_38,m0015,Reddots/pcm/m0015/20150615185411593_m0015_38.pcm,True
20150302231535601_f0004_38,f0004,Reddots/pcm/f0004/20150302231535601_f0004_38.pcm,False
20150418024811203_m0026_38,m0026,Reddots/pcm/m0026/20150418024811203_m0026_38.pcm,True
20150302081041530_m0006_38,m0006,Reddots/pcm/m0006/20150302081041530_m0006_38.pcm,True
20150418241225648_f0008_38,f0008,Reddots/pcm/f0008/20150418241225648_f0008_38.pcm,False
20150329211637661_f0005_38,f0005,Reddots/pcm/f0005/20150329211637661_f0005_38.pcm,False
20150527092658883_f0008_38,f0008,Reddots/pcm/f0008/20150527092658883_f0008_38.pcm,False
20150302081042560_m0006_38,m0006,Reddots/pcm/m0006/20150302081042560_m0006_38.pcm,True
20150505135833474_f0002_38,f0002,Reddots/pcm/f0002/20150505135833474_f0002_38.pcm,False
20150607191458861_m0009_38,m0009,Reddots/pcm/m0009/20150607191458861_m0009_38.pcm,True
20150307010949964_m0029_38,m0029,Reddots/pcm/m0029/20150307010949964_m0029_38.pcm,True
20150309101731895_m0002_38,m0002,Reddots/pcm/m0002/20150309101731895_m0002_38.pcm,True
20150411125041185_m0053_38,m0053,Reddots/pcm/m0053/20150411125041185_m0053_38.pcm,True
20150425195724057_m0013_38,m0013,Reddots/pcm/m0013/20150425195724057_m0013_38.pcm,True
20150226050241966_m0020_38,m0020,Reddots/pcm/m0020/20150226050241966_m0020_38.pcm,True
20150722210924737_m0050_38,m0050,Reddots/pcm/m0050/20150722210924737_m0050_38.pcm,True
20150130084218235_m0001_38,m0001,Reddots/pcm/m0001/20150130084218235_m0001_38.pcm,True
20150316203249412_m0013_38,m0013,Reddots/pcm/m0013/20150316203249412_m0013_38.pcm,True
20150628125210653_m0048_38,m0048,Reddots/pcm/m0048/20150628125210653_m0048_38.pcm,True
20150719122447367_m0053_38,m0053,Reddots/pcm/m0053/20150719122447367_m0053_38.pcm,True
20150723032652903_m0040_38,m0040,Reddots/pcm/m0040/20150723032652903_m0040_38.pcm,True
20150507040309027_m0060_38,m0060,Reddots/pcm/m0060/20150507040309027_m0060_38.pcm,True
20150227171112762_m0018_38,m0018,Reddots/pcm/m0018/20150227171112762_m0018_38.pcm,True
20150326080036749_m0040_38,m0040,Reddots/pcm/m0040/20150326080036749_m0040_38.pcm,True
20150803190348758_m0043_38,m0043,Reddots/pcm/m0043/20150803190348758_m0043_38.pcm,True
20150325223249503_m0022_38,m0022,Reddots/pcm/m0022/20150325223249503_m0022_38.pcm,True
20150727093830175_m0002_38,m0002,Reddots/pcm/m0002/20150727093830175_m0002_38.pcm,True
20150629173720883_m0060_38,m0060,Reddots/pcm/m0060/20150629173720883_m0060_38.pcm,True
20150713090132466_m0002_38,m0002,Reddots/pcm/m0002/20150713090132466_m0002_38.pcm,True
20150325163913715_m0021_38,m0021,Reddots/pcm/m0021/20150325163913715_m0021_38.pcm,True
20150611190040163_m0067_38,m0067,Reddots/pcm/m0067/20150611190040163_m0067_38.pcm,True
20150719121831952_m0053_38,m0053,Reddots/pcm/m0053/20150719121831952_m0053_38.pcm,True
20150602210553740_m0060_38,m0060,Reddots/pcm/m0060/20150602210553740_m0060_38.pcm,True
20150527233218643_m0023_38,m0023,Reddots/pcm/m0023/20150527233218643_m0023_38.pcm,True
20150507024255795_m0029_38,m0029,Reddots/pcm/m0029/20150507024255795_m0029_38.pcm,True
20150618150811388_m0048_38,m0048,Reddots/pcm/m0048/20150618150811388_m0048_38.pcm,True
20150321164601928_m0013_38,m0013,Reddots/pcm/m0013/20150321164601928_m0013_38.pcm,True
20150701221335746_m0038_38,m0038,Reddots/pcm/m0038/20150701221335746_m0038_38.pcm,True
20150218033734431_m0019_38,m0019,Reddots/pcm/m0019/20150218033734431_m0019_38.pcm,True
20150224244233321_m0010_38,m0010,Reddots/pcm/m0010/20150224244233321_m0010_38.pcm,True
20150721143724869_m0001_38,m0001,Reddots/pcm/m0001/20150721143724869_m0001_38.pcm,True
20150329211636226_f0005_38,f0005,Reddots/pcm/f0005/20150329211636226_f0005_38.pcm,False
20150323171935914_m0017_38,m0017,Reddots/pcm/m0017/20150323171935914_m0017_38.pcm,True
20150306113145724_f0001_38,f0001,Reddots/pcm/f0001/20150306113145724_f0001_38.pcm,False
20150325233549171_m0022_38,m0022,Reddots/pcm/m0022/20150325233549171_m0022_38.pcm,True
20150627204839120_m0052_38,m0052,Reddots/pcm/m0052/20150627204839120_m0052_38.pcm,True
20150331244700021_m0029_38,m0029,Reddots/pcm/m0029/20150331244700021_m0029_38.pcm,True
20150804220157899_f0008_38,f0008,Reddots/pcm/f0008/20150804220157899_f0008_38.pcm,False
20150307010907048_m0026_38,m0026,Reddots/pcm/m0026/20150307010907048_m0026_38.pcm,True
20150531182535927_m0053_38,m0053,Reddots/pcm/m0053/20150531182535927_m0053_38.pcm,True
20150306133557125_f0001_38,f0001,Reddots/pcm/f0001/20150306133557125_f0001_38.pcm,False
20150804052907073_m0020_38,m0020,Reddots/pcm/m0020/20150804052907073_m0020_38.pcm,True
20150622221419486_f0005_38,f0005,Reddots/pcm/f0005/20150622221419486_f0005_38.pcm,False
20150602121103797_m0047_38,m0047,Reddots/pcm/m0047/20150602121103797_m0047_38.pcm,True
20150510225959407_m0053_38,m0053,Reddots/pcm/m0053/20150510225959407_m0053_38.pcm,True
20150625075011789_m0013_38,m0013,Reddots/pcm/m0013/20150625075011789_m0013_38.pcm,True
20150613240911158_m0026_38,m0026,Reddots/pcm/m0026/20150613240911158_m0026_38.pcm,True
20150218033829202_m0019_38,m0019,Reddots/pcm/m0019/20150218033829202_m0019_38.pcm,True
20150203172312543_m0009_38,m0009,Reddots/pcm/m0009/20150203172312543_m0009_38.pcm,True
20150409152208273_m0043_38,m0043,Reddots/pcm/m0043/20150409152208273_m0043_38.pcm,True
20150707154748022_m0009_38,m0009,Reddots/pcm/m0009/20150707154748022_m0009_38.pcm,True
20150417053554700_m0020_38,m0020,Reddots/pcm/m0020/20150417053554700_m0020_38.pcm,True
20150411110356906_f0008_38,f0008,Reddots/pcm/f0008/20150411110356906_f0008_38.pcm,False
20150317043204724_m0028_38,m0028,Reddots/pcm/m0028/20150317043204724_m0028_38.pcm,True
20150811152355033_m0001_38,m0001,Reddots/pcm/m0001/20150811152355033_m0001_38.pcm,True
20150402022109811_m0014_38,m0014,Reddots/pcm/m0014/20150402022109811_m0014_38.pcm,True
20150527232701588_m0023_38,m0023,Reddots/pcm/m0023/20150527232701588_m0023_38.pcm,True
20150608145841121_f0002_38,f0002,Reddots/pcm/f0002/20150608145841121_f0002_38.pcm,False
20150722210926546_m0050_38,m0050,Reddots/pcm/m0050/20150722210926546_m0050_38.pcm,True
20150514203241270_m0064_38,m0064,Reddots/pcm/m0064/20150514203241270_m0064_38.pcm,True
20150401162432256_m0043_38,m0043,Reddots/pcm/m0043/20150401162432256_m0043_38.pcm,True
20150313143330898_m0001_38,m0001,Reddots/pcm/m0001/20150313143330898_m0001_38.pcm,True
20150414155746213_m0009_38,m0009,Reddots/pcm/m0009/20150414155746213_m0009_38.pcm,True
20150811200711762_m0062_38,m0062,Reddots/pcm/m0062/20150811200711762_m0062_38.pcm,True
20150630144033725_m0004_38,m0004,Reddots/pcm/m0004/20150630144033725_m0004_38.pcm,True
20150316090454126_m0006_38,m0006,Reddots/pcm/m0006/20150316090454126_m0006_38.pcm,True
20150209173853430_m0017_38,m0017,Reddots/pcm/m0017/20150209173853430_m0017_38.pcm,True
20150218225209269_m0017_38,m0017,Reddots/pcm/m0017/20150218225209269_m0017_38.pcm,True
20150527232708983_m0023_38,m0023,Reddots/pcm/m0023/20150527232708983_m0023_38.pcm,True
20150705201246784_f0005_38,f0005,Reddots/pcm/f0005/20150705201246784_f0005_38.pcm,False
20150611185932677_m0067_38,m0067,Reddots/pcm/m0067/20150611185932677_m0067_38.pcm,True
20150212114005915_m0001_38,m0001,Reddots/pcm/m0001/20150212114005915_m0001_38.pcm,True
20150420240817973_m0013_38,m0013,Reddots/pcm/m0013/20150420240817973_m0013_38.pcm,True
20150704060504686_m0020_38,m0020,Reddots/pcm/m0020/20150704060504686_m0020_38.pcm,True
20150705054442364_f0008_38,f0008,Reddots/pcm/f0008/20150705054442364_f0008_38.pcm,False
20150331035705357_m0026_38,m0026,Reddots/pcm/m0026/20150331035705357_m0026_38.pcm,True
20150627164733339_f0008_38,f0008,Reddots/pcm/f0008/20150627164733339_f0008_38.pcm,False
20150728143157882_m0007_38,m0007,Reddots/pcm/m0007/20150728143157882_m0007_38.pcm,True
20150527062805284_m0008_38,m0008,Reddots/pcm/m0008/20150527062805284_m0008_38.pcm,True
20150417203433995_m0060_38,m0060,Reddots/pcm/m0060/20150417203433995_m0060_38.pcm,True
20150612045104097_m0040_38,m0040,Reddots/pcm/m0040/20150612045104097_m0040_38.pcm,True
20150729062920802_m0018_38,m0018,Reddots/pcm/m0018/20150729062920802_m0018_38.pcm,True
20150331233332049_m0020_38,m0020,Reddots/pcm/m0020/20150331233332049_m0020_38.pcm,True
20150425230938125_m0053_38,m0053,Reddots/pcm/m0053/20150425230938125_m0053_38.pcm,True
20150317043206877_m0028_38,m0028,Reddots/pcm/m0028/20150317043206877_m0028_38.pcm,True
20150805172944799_m0043_38,m0043,Reddots/pcm/m0043/20150805172944799_m0043_38.pcm,True
20150507125644152_m0059_38,m0059,Reddots/pcm/m0059/20150507125644152_m0059_38.pcm,True
20150218225212811_m0017_38,m0017,Reddots/pcm/m0017/20150218225212811_m0017_38.pcm,True
20150507023624031_m0026_38,m0026,Reddots/pcm/m0026/20150507023624031_m0026_38.pcm,True
20150625192649520_m0022_38,m0022,Reddots/pcm/m0022/20150625192649520_m0022_38.pcm,True
20150306113307952_m0002_38,m0002,Reddots/pcm/m0002/20150306113307952_m0002_38.pcm,True
20150606144126740_m0008_38,m0008,Reddots/pcm/m0008/20150606144126740_m0008_38.pcm,True
20150719204553222_m0013_38,m0013,Reddots/pcm/m0013/20150719204553222_m0013_38.pcm,True
20150603214813755_m0007_38,m0007,Reddots/pcm/m0007/20150603214813755_m0007_38.pcm,True
20150301020850283_m0014_38,m0014,Reddots/pcm/m0014/20150301020850283_m0014_38.pcm,True
20150616081801917_m0006_38,m0006,Reddots/pcm/m0006/20150616081801917_m0006_38.pcm,True
20150730135941331_m0005_38,m0005,Reddots/pcm/m0005/20150730135941331_m0005_38.pcm,True
20150129213306947_m0001_38,m0001,Reddots/pcm/m0001/20150129213306947_m0001_38.pcm,True
20150528082032361_m0006_38,m0006,Reddots/pcm/m0006/20150528082032361_m0006_38.pcm,True
20150326183702090_m0043_38,m0043,Reddots/pcm/m0043/20150326183702090_m0043_38.pcm,True
20150811185238423_m0016_38,m0016,Reddots/pcm/m0016/20150811185238423_m0016_38.pcm,True
20150407132809044_f0002_38,f0002,Reddots/pcm/f0002/20150407132809044_f0002_38.pcm,False
20150507050238875_m0020_38,m0020,Reddots/pcm/m0020/20150507050238875_m0020_38.pcm,True
20150526215159526_m0067_38,m0067,Reddots/pcm/m0067/20150526215159526_m0067_38.pcm,True
20150301020852576_m0014_38,m0014,Reddots/pcm/m0014/20150301020852576_m0014_38.pcm,True
20150406083451305_m0002_38,m0002,Reddots/pcm/m0002/20150406083451305_m0002_38.pcm,True
20150209085441247_m0006_38,m0006,Reddots/pcm/m0006/20150209085441247_m0006_38.pcm,True
