recording_id,speaker_id,pcm_path,file_exists
20150401162237970_m0043_36,m0043,Reddots/pcm/m0043/20150401162237970_m0043_36.pcm,True
20150512185031733_m0009_36,m0009,Reddots/pcm/m0009/20150512185031733_m0009_36.pcm,True
20150811221844455_f0012_36,f0012,Reddots/pcm/f0012/20150811221844455_f0012_36.pcm,False
20150320065123742_m0015_36,m0015,Reddots/pcm/m0015/20150320065123742_m0015_36.pcm,True
20150501171330925_f0012_36,f0012,Reddots/pcm/f0012/20150501171330925_f0012_36.pcm,False
20150727093837647_m0002_36,m0002,Reddots/pcm/m0002/20150727093837647_m0002_36.pcm,True
20150527232640357_m0023_36,m0023,Reddots/pcm/m0023/20150527232640357_m0023_36.pcm,True
20150427174738573_m0017_36,m0017,Reddots/pcm/m0017/20150427174738573_m0017_36.pcm,True
20150612045150257_m0040_36,m0040,Reddots/pcm/m0040/20150612045150257_m0040_36.pcm,True
20150624183045980_m0048_36,m0048,Reddots/pcm/m0048/20150624183045980_m0048_36.pcm,True
20150417053557212_m0020_36,m0020,Reddots/pcm/m0020/20150417053557212_m0020_36.pcm,True
20150811200656411_m0062_36,m0062,Reddots/pcm/m0062/20150811200656411_m0062_36.pcm,True
20150425212543215_f0010_36,f0010,Reddots/pcm/f0010/20150425212543215_f0010_36.pcm,False
20150613035155124_m0029_36,m0029,Reddots/pcm/m0029/20150613035155124_m0029_36.pcm,True
20150302083615263_m0002_36,m0002,Reddots/pcm/m0002/20150302083615263_m0002_36.pcm,True
20150311163106879_m0007_36,m0007,Reddots/pcm/m0007/20150311163106879_m0007_36.pcm,True
20150608164735551_m0064_36,m0064,Reddots/pcm/m0064/20150608164735551_m0064_36.pcm,True
20150612193224430_m0005_36,m0005,Reddots/pcm/m0005/20150612193224430_m0005_36.pcm,True
20150601031402655_m0023_36,m0023,Reddots/pcm/m0023/20150601031402655_m0023_36.pcm,True
20150711021520507_m0015_36,m0015,Reddots/pcm/m0015/20150711021520507_m0015_36.pcm,True
20150511022923061_f0013_36,f0013,Reddots/pcm/f0013/20150511022923061_f0013_36.pcm,False
20150405153439231_m0001_36,m0001,Reddots/pcm/m0001/20150405153439231_m0001_36.pcm,True
