recording_id,speaker_id,pcm_path,file_exists
20150727093843169_m0002_34,m0002,Reddots/pcm/m0002/20150727093843169_m0002_34.pcm,True
20150511225937508_m0051_34,m0051,Reddots/pcm/m0051/20150511225937508_m0051_34.pcm,True
20150531020552028_m0008_34,m0008,Reddots/pcm/m0008/20150531020552028_m0008_34.pcm,True
20150708055019817_m0014_34,m0014,Reddots/pcm/m0014/20150708055019817_m0014_34.pcm,True
20150617170347843_m0004_34,m0004,Reddots/pcm/m0004/20150617170347843_m0004_34.pcm,True
20150418024838753_m0026_34,m0026,Reddots/pcm/m0026/20150418024838753_m0026_34.pcm,True
20150409022514814_m0041_34,m0041,Reddots/pcm/m0041/20150409022514814_m0041_34.pcm,True
20150802232447657_m0020_34,m0020,Reddots/pcm/m0020/20150802232447657_m0020_34.pcm,True
20150501171544992_f0012_34,f0012,Reddots/pcm/f0012/20150501171544992_f0012_34.pcm,False
20150617170434955_m0004_34,m0004,Reddots/pcm/m0004/20150617170434955_m0004_34.pcm,True
20150211153036101_f0002_34,f0002,Reddots/pcm/f0002/20150211153036101_f0002_34.pcm,False
20150805172741839_m0043_34,m0043,Reddots/pcm/m0043/20150805172741839_m0043_34.pcm,True
20150616203744900_m0004_34,m0004,Reddots/pcm/m0004/20150616203744900_m0004_34.pcm,True
20150320151335882_m0008_34,m0008,Reddots/pcm/m0008/20150320151335882_m0008_34.pcm,True
20150504160018558_m0017_34,m0017,Reddots/pcm/m0017/20150504160018558_m0017_34.pcm,True
20150420213230392_m0015_34,m0015,Reddots/pcm/m0015/20150420213230392_m0015_34.pcm,True
20150414204528252_m0017_34,m0017,Reddots/pcm/m0017/20150414204528252_m0017_34.pcm,True
20150507040201526_m0060_34,m0060,Reddots/pcm/m0060/20150507040201526_m0060_34.pcm,True
20150511023019720_f0013_34,f0013,Reddots/pcm/f0013/20150511023019720_f0013_34.pcm,False
20150630145538729_f0002_34,f0002,Reddots/pcm/f0002/20150630145538729_f0002_34.pcm,False
20150624183329624_m0048_34,m0048,Reddots/pcm/m0048/20150624183329624_m0048_34.pcm,True
20150624090041235_m0001_34,m0001,Reddots/pcm/m0001/20150624090041235_m0001_34.pcm,True
20150306113259746_m0002_34,m0002,Reddots/pcm/m0002/20150306113259746_m0002_34.pcm,True
20150324142205684_f0002_34,f0002,Reddots/pcm/f0002/20150324142205684_f0002_34.pcm,False
20150302083608289_m0002_34,m0002,Reddots/pcm/m0002/20150302083608289_m0002_34.pcm,True
20150527153642090_m0005_34,m0005,Reddots/pcm/m0005/20150527153642090_m0005_34.pcm,True
20150630225414355_m0047_34,m0047,Reddots/pcm/m0047/20150630225414355_m0047_34.pcm,True
20150803185325225_m0043_34,m0043,Reddots/pcm/m0043/20150803185325225_m0043_34.pcm,True
20150719204309999_m0013_34,m0013,Reddots/pcm/m0013/20150719204309999_m0013_34.pcm,True
20150602121906118_m0047_34,m0047,Reddots/pcm/m0047/20150602121906118_m0047_34.pcm,True
20150803191306505_m0043_34,m0043,Reddots/pcm/m0043/20150803191306505_m0043_34.pcm,True
20150217132450381_f0003_34,f0003,Reddots/pcm/f0003/20150217132450381_f0003_34.pcm,False
20150313224839731_m0038_34,m0038,Reddots/pcm/m0038/20150313224839731_m0038_34.pcm,True
20150527153603012_m0005_34,m0005,Reddots/pcm/m0005/20150527153603012_m0005_34.pcm,True
20150722083313711_m0014_34,m0014,Reddots/pcm/m0014/20150722083313711_m0014_34.pcm,True
20150711031639071_m0005_34,m0005,Reddots/pcm/m0005/20150711031639071_m0005_34.pcm,True
20150420075623248_m0002_34,m0002,Reddots/pcm/m0002/20150420075623248_m0002_34.pcm,True
20150403160908038_f0008_34,f0008,Reddots/pcm/f0008/20150403160908038_f0008_34.pcm,False
20150621173807371_m0040_34,m0040,Reddots/pcm/m0040/20150621173807371_m0040_34.pcm,True
20150811221924672_f0012_34,f0012,Reddots/pcm/f0012/20150811221924672_f0012_34.pcm,False
20150811200636506_m0062_34,m0062,Reddots/pcm/m0062/20150811200636506_m0062_34.pcm,True
20150803230630182_m0007_34,m0007,Reddots/pcm/m0007/20150803230630182_m0007_34.pcm,True
20150625192700721_m0022_34,m0022,Reddots/pcm/m0022/20150625192700721_m0022_34.pcm,True
20150518155053941_f0012_34,f0012,Reddots/pcm/f0012/20150518155053941_f0012_34.pcm,False
20150427174727310_m0017_34,m0017,Reddots/pcm/m0017/20150427174727310_m0017_34.pcm,True
20150804220300034_f0008_34,f0008,Reddots/pcm/f0008/20150804220300034_f0008_34.pcm,False
20150628133826257_m0013_34,m0013,Reddots/pcm/m0013/20150628133826257_m0013_34.pcm,True
20150217053814166_m0014_34,m0014,Reddots/pcm/m0014/20150217053814166_m0014_34.pcm,True
20150420210940179_m0055_34,m0055,Reddots/pcm/m0055/20150420210940179_m0055_34.pcm,True
20150317043607804_m0028_34,m0028,Reddots/pcm/m0028/20150317043607804_m0028_34.pcm,True
20150515220844438_m0013_34,m0013,Reddots/pcm/m0013/20150515220844438_m0013_34.pcm,True
20150327225734382_m0038_34,m0038,Reddots/pcm/m0038/20150327225734382_m0038_34.pcm,True
20150625192935551_m0022_34,m0022,Reddots/pcm/m0022/20150625192935551_m0022_34.pcm,True
20150627204842349_m0052_34,m0052,Reddots/pcm/m0052/20150627204842349_m0052_34.pcm,True
20150212114006617_m0001_34,m0001,Reddots/pcm/m0001/20150212114006617_m0001_34.pcm,True
20150328192609394_m0001_34,m0001,Reddots/pcm/m0001/20150328192609394_m0001_34.pcm,True
