recording_id,speaker_id,pcm_path,file_exists
20150224244213291_m0010_35,m0010,Reddots/pcm/m0010/20150224244213291_m0010_35.pcm,True
20150601031421609_m0023_35,m0023,Reddots/pcm/m0023/20150601031421609_m0023_35.pcm,True
20150218225134076_m0017_35,m0017,Reddots/pcm/m0017/20150218225134076_m0017_35.pcm,True
20150608164546648_m0064_35,m0064,Reddots/pcm/m0064/20150608164546648_m0064_35.pcm,True
20150531020531592_m0008_35,m0008,Reddots/pcm/m0008/20150531020531592_m0008_35.pcm,True
20150504213737269_m0009_35,m0009,Reddots/pcm/m0009/20150504213737269_m0009_35.pcm,True
20150527184621281_f0013_35,f0013,Reddots/pcm/f0013/20150527184621281_f0013_35.pcm,False
20150424165503334_m0052_35,m0052,Reddots/pcm/m0052/20150424165503334_m0052_35.pcm,True
20150531182530997_m0053_35,m0053,Reddots/pcm/m0053/20150531182530997_m0053_35.pcm,True
20150514160248410_m0007_35,m0007,Reddots/pcm/m0007/20150514160248410_m0007_35.pcm,True
20150218033707817_m0019_35,m0019,Reddots/pcm/m0019/20150218033707817_m0019_35.pcm,True
20150226050137600_m0020_35,m0020,Reddots/pcm/m0020/20150226050137600_m0020_35.pcm,True
20150731222258370_m0022_35,m0022,Reddots/pcm/m0022/20150731222258370_m0022_35.pcm,True
20150314025345705_m0026_35,m0026,Reddots/pcm/m0026/20150314025345705_m0026_35.pcm,True
20150216173148626_f0002_35,f0002,Reddots/pcm/f0002/20150216173148626_f0002_35.pcm,False
20150429220322610_f0006_35,f0006,Reddots/pcm/f0006/20150429220322610_f0006_35.pcm,False
20150511023031295_f0013_35,f0013,Reddots/pcm/f0013/20150511023031295_f0013_35.pcm,False
20150811152356405_m0001_35,m0001,Reddots/pcm/m0001/20150811152356405_m0001_35.pcm,True
20150611185833927_m0067_35,m0067,Reddots/pcm/m0067/20150611185833927_m0067_35.pcm,True
20150303031007777_f0004_35,f0004,Reddots/pcm/f0004/20150303031007777_f0004_35.pcm,False
20150814121558000_m0047_35,m0047,Reddots/pcm/m0047/20150814121558000_m0047_35.pcm,True
