recording_id,speaker_id,pcm_path,file_exists
20150406083444737_m0002_39,m0002,Reddots/pcm/m0002/20150406083444737_m0002_39.pcm,True
20150417203440079_m0060_39,m0060,Reddots/pcm/m0060/20150417203440079_m0060_39.pcm,True
20150522233752500_m0052_39,m0052,Reddots/pcm/m0052/20150522233752500_m0052_39.pcm,True
20150622073156924_f0011_39,f0011,Reddots/pcm/f0011/20150622073156924_f0011_39.pcm,False
20150623165452452_m0009_39,m0009,Reddots/pcm/m0009/20150623165452452_m0009_39.pcm,True
20150624183150111_m0048_39,m0048,Reddots/pcm/m0048/20150624183150111_m0048_39.pcm,True
20150203152500365_m0001_39,m0001,Reddots/pcm/m0001/20150203152500365_m0001_39.pcm,True
20150606144156957_m0008_39,m0008,Reddots/pcm/m0008/20150606144156957_m0008_39.pcm,True
20150315021333694_m0015_39,m0015,Reddots/pcm/m0015/20150315021333694_m0015_39.pcm,True
20150814121531730_m0047_39,m0047,Reddots/pcm/m0047/20150814121531730_m0047_39.pcm,True
20150628214120468_m0054_39,m0054,Reddots/pcm/m0054/20150628214120468_m0054_39.pcm,True
20150512015208266_m0023_39,m0023,Reddots/pcm/m0023/20150512015208266_m0023_39.pcm,True
20150510195207077_m0055_39,m0055,Reddots/pcm/m0055/20150510195207077_m0055_39.pcm,True
20150721143716304_m0001_39,m0001,Reddots/pcm/m0001/20150721143716304_m0001_39.pcm,True
20150409214913953_m0007_39,m0007,Reddots/pcm/m0007/20150409214913953_m0007_39.pcm,True
20150213171158990_m0009_39,m0009,Reddots/pcm/m0009/20150213171158990_m0009_39.pcm,True
20150510225539745_m0053_39,m0053,Reddots/pcm/m0053/20150510225539745_m0053_39.pcm,True
20150521123259140_m0054_39,m0054,Reddots/pcm/m0054/20150521123259140_m0054_39.pcm,True
20150409214345198_m0007_39,m0007,Reddots/pcm/m0007/20150409214345198_m0007_39.pcm,True
20150525200952659_m0041_39,m0041,Reddots/pcm/m0041/20150525200952659_m0041_39.pcm,True
20150514203122740_m0064_39,m0064,Reddots/pcm/m0064/20150514203122740_m0064_39.pcm,True
20150320151714969_m0008_39,m0008,Reddots/pcm/m0008/20150320151714969_m0008_39.pcm,True
20150630144136593_m0004_39,m0004,Reddots/pcm/m0004/20150630144136593_m0004_39.pcm,True
20150313143339401_m0001_39,m0001,Reddots/pcm/m0001/20150313143339401_m0001_39.pcm,True
20150402022118188_m0014_39,m0014,Reddots/pcm/m0014/20150402022118188_m0014_39.pcm,True
20150602121759912_m0047_39,m0047,Reddots/pcm/m0047/20150602121759912_m0047_39.pcm,True
20150717144123524_m0007_39,m0007,Reddots/pcm/m0007/20150717144123524_m0007_39.pcm,True
20150318035724105_m0029_39,m0029,Reddots/pcm/m0029/20150318035724105_m0029_39.pcm,True
20150810152025552_f0002_39,f0002,Reddots/pcm/f0002/20150810152025552_f0002_39.pcm,False
20150527233516281_m0023_39,m0023,Reddots/pcm/m0023/20150527233516281_m0023_39.pcm,True
20150704035340759_m0028_39,m0028,Reddots/pcm/m0028/20150704035340759_m0028_39.pcm,True
20150728143212000_m0007_39,m0007,Reddots/pcm/m0007/20150728143212000_m0007_39.pcm,True
20150803190341987_m0043_39,m0043,Reddots/pcm/m0043/20150803190341987_m0043_39.pcm,True
20150422232112489_m0013_39,m0013,Reddots/pcm/m0013/20150422232112489_m0013_39.pcm,True
20150511205340776_m0016_39,m0016,Reddots/pcm/m0016/20150511205340776_m0016_39.pcm,True
20150511205337438_m0016_39,m0016,Reddots/pcm/m0016/20150511205337438_m0016_39.pcm,True
20150713154017542_f0004_39,f0004,Reddots/pcm/f0004/20150713154017542_f0004_39.pcm,False
20150418022111203_m0020_39,m0020,Reddots/pcm/m0020/20150418022111203_m0020_39.pcm,True
20150622092530407_m0002_39,m0002,Reddots/pcm/m0002/20150622092530407_m0002_39.pcm,True
20150811185240653_m0016_39,m0016,Reddots/pcm/m0016/20150811185240653_m0016_39.pcm,True
20150623190723365_m0054_39,m0054,Reddots/pcm/m0054/20150623190723365_m0054_39.pcm,True
20150421244153873_m0018_39,m0018,Reddots/pcm/m0018/20150421244153873_m0018_39.pcm,True
20150527093049623_f0008_39,f0008,Reddots/pcm/f0008/20150527093049623_f0008_39.pcm,False
20150606053138142_m0028_39,m0028,Reddots/pcm/m0028/20150606053138142_m0028_39.pcm,True
20150510225549245_m0053_39,m0053,Reddots/pcm/m0053/20150510225549245_m0053_39.pcm,True
20150401023811438_m0028_39,m0028,Reddots/pcm/m0028/20150401023811438_m0028_39.pcm,True
20150604020511137_m0005_39,m0005,Reddots/pcm/m0005/20150604020511137_m0005_39.pcm,True
20150129163857466_m0009_39,m0009,Reddots/pcm/m0009/20150129163857466_m0009_39.pcm,True
20150424242522579_m0020_39,m0020,Reddots/pcm/m0020/20150424242522579_m0020_39.pcm,True
20150515024916428_m0026_39,m0026,Reddots/pcm/m0026/20150515024916428_m0026_39.pcm,True
20150328121221138_m0013_39,m0013,Reddots/pcm/m0013/20150328121221138_m0013_39.pcm,True
20150311153612200_f0002_39,f0002,Reddots/pcm/f0002/20150311153612200_f0002_39.pcm,False
20150331035716698_m0026_39,m0026,Reddots/pcm/m0026/20150331035716698_m0026_39.pcm,True
20150210162358659_m0021_39,m0021,Reddots/pcm/m0021/20150210162358659_m0021_39.pcm,True
20150615185950988_m0015_39,m0015,Reddots/pcm/m0015/20150615185950988_m0015_39.pcm,True
20150509035547147_m0026_39,m0026,Reddots/pcm/m0026/20150509035547147_m0026_39.pcm,True
20150410042928448_m0040_39,m0040,Reddots/pcm/m0040/20150410042928448_m0040_39.pcm,True
20150803133302840_m0025_39,m0025,Reddots/pcm/m0025/20150803133302840_m0025_39.pcm,True
20150510195204690_m0055_39,m0055,Reddots/pcm/m0055/20150510195204690_m0055_39.pcm,True
20150312023955248_m0010_39,m0010,Reddots/pcm/m0010/20150312023955248_m0010_39.pcm,True
20150409214336134_m0007_39,m0007,Reddots/pcm/m0007/20150409214336134_m0007_39.pcm,True
20150303011124461_m0010_39,m0010,Reddots/pcm/m0010/20150303011124461_m0010_39.pcm,True
20150817100154089_m0002_39,m0002,Reddots/pcm/m0002/20150817100154089_m0002_39.pcm,True
20150207091301402_m0001_39,m0001,Reddots/pcm/m0001/20150207091301402_m0001_39.pcm,True
20150320151709165_m0008_39,m0008,Reddots/pcm/m0008/20150320151709165_m0008_39.pcm,True
20150302171024582_f0001_39,f0001,Reddots/pcm/f0001/20150302171024582_f0001_39.pcm,False
20150315043237307_m0029_39,m0029,Reddots/pcm/m0029/20150315043237307_m0029_39.pcm,True
20150401164221966_m0022_39,m0022,Reddots/pcm/m0022/20150401164221966_m0022_39.pcm,True
20150512191751233_m0054_39,m0054,Reddots/pcm/m0054/20150512191751233_m0054_39.pcm,True
20150605141334227_m0005_39,m0005,Reddots/pcm/m0005/20150605141334227_m0005_39.pcm,True
20150511162931039_m0017_39,m0017,Reddots/pcm/m0017/20150511162931039_m0017_39.pcm,True
20150407080033337_m0006_39,m0006,Reddots/pcm/m0006/20150407080033337_m0006_39.pcm,True
20150614013403291_m0020_39,m0020,Reddots/pcm/m0020/20150614013403291_m0020_39.pcm,True
20150727093239158_m0002_39,m0002,Reddots/pcm/m0002/20150727093239158_m0002_39.pcm,True
20150701220530133_m0038_39,m0038,Reddots/pcm/m0038/20150701220530133_m0038_39.pcm,True
20150806154840265_m0050_39,m0050,Reddots/pcm/m0050/20150806154840265_m0050_39.pcm,True
20150722222903322_m0054_39,m0054,Reddots/pcm/m0054/20150722222903322_m0054_39.pcm,True
20150630095217007_f0012_39,f0012,Reddots/pcm/f0012/20150630095217007_f0012_39.pcm,False
20150302230946004_f0004_39,f0004,Reddots/pcm/f0004/20150302230946004_f0004_39.pcm,False
20150409212304262_f0005_39,f0005,Reddots/pcm/f0005/20150409212304262_f0005_39.pcm,False
20150511023008769_f0013_39,f0013,Reddots/pcm/f0013/20150511023008769_f0013_39.pcm,False
20150719204600913_m0013_39,m0013,Reddots/pcm/m0013/20150719204600913_m0013_39.pcm,True
20150212113950456_m0001_39,m0001,Reddots/pcm/m0001/20150212113950456_m0001_39.pcm,True
20150302181917513_m0009_39,m0009,Reddots/pcm/m0009/20150302181917513_m0009_39.pcm,True
20150612050453285_m0026_39,m0026,Reddots/pcm/m0026/20150612050453285_m0026_39.pcm,True
20150222200317375_m0001_39,m0001,Reddots/pcm/m0001/20150222200317375_m0001_39.pcm,True
20150504235414507_m0015_39,m0015,Reddots/pcm/m0015/20150504235414507_m0015_39.pcm,True
20150612193255848_m0005_39,m0005,Reddots/pcm/m0005/20150612193255848_m0005_39.pcm,True
20150410193343034_f0006_39,f0006,Reddots/pcm/f0006/20150410193343034_f0006_39.pcm,False
20150417042711722_m0026_39,m0026,Reddots/pcm/m0026/20150417042711722_m0026_39.pcm,True
20150612035713128_m0029_39,m0029,Reddots/pcm/m0029/20150612035713128_m0029_39.pcm,True
20150214203529493_m0008_39,m0008,Reddots/pcm/m0008/20150214203529493_m0008_39.pcm,True
20150802232453241_m0020_39,m0020,Reddots/pcm/m0020/20150802232453241_m0020_39.pcm,True
20150414170202087_m0041_39,m0041,Reddots/pcm/m0041/20150414170202087_m0041_39.pcm,True
20150625192638787_m0022_39,m0022,Reddots/pcm/m0022/20150625192638787_m0022_39.pcm,True
20150420240419947_f0005_39,f0005,Reddots/pcm/f0005/20150420240419947_f0005_39.pcm,False
20150714165345801_m0022_39,m0022,Reddots/pcm/m0022/20150714165345801_m0022_39.pcm,True
20150418044455834_m0014_39,m0014,Reddots/pcm/m0014/20150418044455834_m0014_39.pcm,True
20150425072643923_m0001_39,m0001,Reddots/pcm/m0001/20150425072643923_m0001_39.pcm,True
20150416172024422_f0006_39,f0006,Reddots/pcm/f0006/20150416172024422_f0006_39.pcm,False
20150429220344669_f0006_39,f0006,Reddots/pcm/f0006/20150429220344669_f0006_39.pcm,False
20150612213436692_m0051_39,m0051,Reddots/pcm/m0051/20150612213436692_m0051_39.pcm,True
20150414171847509_m0043_39,m0043,Reddots/pcm/m0043/20150414171847509_m0043_39.pcm,True
20150424190748240_m0001_39,m0001,Reddots/pcm/m0001/20150424190748240_m0001_39.pcm,True
20150719122406323_m0053_39,m0053,Reddots/pcm/m0053/20150719122406323_m0053_39.pcm,True
20150203085629930_m0001_39,m0001,Reddots/pcm/m0001/20150203085629930_m0001_39.pcm,True
20150802185515982_m0063_39,m0063,Reddots/pcm/m0063/20150802185515982_m0063_39.pcm,True
20150527233519354_m0023_39,m0023,Reddots/pcm/m0023/20150527233519354_m0023_39.pcm,True
20150714230729452_m0055_39,m0055,Reddots/pcm/m0055/20150714230729452_m0055_39.pcm,True
20150325151147675_f0007_39,f0007,Reddots/pcm/f0007/20150325151147675_f0007_39.pcm,False
20150511022357176_m0060_39,m0060,Reddots/pcm/m0060/20150511022357176_m0060_39.pcm,True
20150616081748626_m0006_39,m0006,Reddots/pcm/m0006/20150616081748626_m0006_39.pcm,True
20150418241428545_f0008_39,f0008,Reddots/pcm/f0008/20150418241428545_f0008_39.pcm,False
20150622092334187_m0002_39,m0002,Reddots/pcm/m0002/20150622092334187_m0002_39.pcm,True
20150617145852311_m0048_39,m0048,Reddots/pcm/m0048/20150617145852311_m0048_39.pcm,True
20150424042924140_m0040_39,m0040,Reddots/pcm/m0040/20150424042924140_m0040_39.pcm,True
20150623231517321_m0004_39,m0004,Reddots/pcm/m0004/20150623231517321_m0004_39.pcm,True
20150804084748879_f0011_39,f0011,Reddots/pcm/f0011/20150804084748879_f0011_39.pcm,False
20150409121759757_m0032_39,m0032,Reddots/pcm/m0032/20150409121759757_m0032_39.pcm,True
20150708191723425_m0021_39,m0021,Reddots/pcm/m0021/20150708191723425_m0021_39.pcm,True
20150701164358359_m0067_39,m0067,Reddots/pcm/m0067/20150701164358359_m0067_39.pcm,True
20150701164352946_m0067_39,m0067,Reddots/pcm/m0067/20150701164352946_m0067_39.pcm,True
20150706184010338_m0007_39,m0007,Reddots/pcm/m0007/20150706184010338_m0007_39.pcm,True
20150318035728519_m0029_39,m0029,Reddots/pcm/m0029/20150318035728519_m0029_39.pcm,True
20150405153437889_m0001_39,m0001,Reddots/pcm/m0001/20150405153437889_m0001_39.pcm,True
20150522233758023_m0052_39,m0052,Reddots/pcm/m0052/20150522233758023_m0052_39.pcm,True
20150705201222245_f0005_39,f0005,Reddots/pcm/f0005/20150705201222245_f0005_39.pcm,False
20150420200916948_m0017_39,m0017,Reddots/pcm/m0017/20150420200916948_m0017_39.pcm,True
20150627102920588_f0005_39,f0005,Reddots/pcm/f0005/20150627102920588_f0005_39.pcm,False
20150227061935895_m0014_39,m0014,Reddots/pcm/m0014/20150227061935895_m0014_39.pcm,True
20150514155608488_m0007_39,m0007,Reddots/pcm/m0007/20150514155608488_m0007_39.pcm,True
20150608182402116_m0060_39,m0060,Reddots/pcm/m0060/20150608182402116_m0060_39.pcm,True
20150601143051835_m0041_39,m0041,Reddots/pcm/m0041/20150601143051835_m0041_39.pcm,True
20150510225937832_m0053_39,m0053,Reddots/pcm/m0053/20150510225937832_m0053_39.pcm,True
20150414205400432_m0051_39,m0051,Reddots/pcm/m0051/20150414205400432_m0051_39.pcm,True
