recording_id,speaker_id,pcm_path,file_exists
20150611185357947_m0067_31,m0067,Reddots/pcm/m0067/20150611185357947_m0067_31.pcm,True
20150218225020646_m0017_31,m0017,Reddots/pcm/m0017/20150218225020646_m0017_31.pcm,True
20150414205437809_m0051_31,m0051,Reddots/pcm/m0051/20150414205437809_m0051_31.pcm,True
20150603014914525_m0009_31,m0009,Reddots/pcm/m0009/20150603014914525_m0009_31.pcm,True
20150515220836373_m0013_31,m0013,Reddots/pcm/m0013/20150515220836373_m0013_31.pcm,True
20150225053740931_m0016_31,m0016,Reddots/pcm/m0016/20150225053740931_m0016_31.pcm,True
20150812081834015_f0011_31,f0011,Reddots/pcm/f0011/20150812081834015_f0011_31.pcm,False
20150510225500183_m0053_31,m0053,Reddots/pcm/m0053/20150510225500183_m0053_31.pcm,True
20150307011018995_m0020_31,m0020,Reddots/pcm/m0020/20150307011018995_m0020_31.pcm,True
20150803094831202_m0002_31,m0002,Reddots/pcm/m0002/20150803094831202_m0002_31.pcm,True
20150427145708138_m0060_31,m0060,Reddots/pcm/m0060/20150427145708138_m0060_31.pcm,True
20150804121407844_m0047_31,m0047,Reddots/pcm/m0047/20150804121407844_m0047_31.pcm,True
20150625193023428_m0022_31,m0022,Reddots/pcm/m0022/20150625193023428_m0022_31.pcm,True
20150129105602091_m0002_31,m0002,Reddots/pcm/m0002/20150129105602091_m0002_31.pcm,True
20150803230739821_m0007_31,m0007,Reddots/pcm/m0007/20150803230739821_m0007_31.pcm,True
20150325233541355_m0022_31,m0022,Reddots/pcm/m0022/20150325233541355_m0022_31.pcm,True
20150216173043137_f0002_31,f0002,Reddots/pcm/f0002/20150216173043137_f0002_31.pcm,False
20150713090135243_m0002_31,m0002,Reddots/pcm/m0002/20150713090135243_m0002_31.pcm,True
20150728143325039_m0007_31,m0007,Reddots/pcm/m0007/20150728143325039_m0007_31.pcm,True
20150403160848008_f0008_31,f0008,Reddots/pcm/f0008/20150403160848008_f0008_31.pcm,False
20150731192458263_m0057_31,m0057,Reddots/pcm/m0057/20150731192458263_m0057_31.pcm,True
20150625192620052_m0022_31,m0022,Reddots/pcm/m0022/20150625192620052_m0022_31.pcm,True
20150306113258389_m0002_31,m0002,Reddots/pcm/m0002/20150306113258389_m0002_31.pcm,True
20150626243204108_f0006_31,f0006,Reddots/pcm/f0006/20150626243204108_f0006_31.pcm,False
20150129213306229_m0001_31,m0001,Reddots/pcm/m0001/20150129213306229_m0001_31.pcm,True
20150401161625598_m0043_31,m0043,Reddots/pcm/m0043/20150401161625598_m0043_31.pcm,True
20150427232616392_m0015_31,m0015,Reddots/pcm/m0015/20150427232616392_m0015_31.pcm,True
20150422232108370_m0013_31,m0013,Reddots/pcm/m0013/20150422232108370_m0013_31.pcm,True
20150514155722635_m0007_31,m0007,Reddots/pcm/m0007/20150514155722635_m0007_31.pcm,True
20150225052951729_m0028_31,m0028,Reddots/pcm/m0028/20150225052951729_m0028_31.pcm,True
20150306113132745_f0001_31,f0001,Reddots/pcm/f0001/20150306113132745_f0001_31.pcm,False
20150621163501369_f0005_31,f0005,Reddots/pcm/f0005/20150621163501369_f0005_31.pcm,False
20150303030806097_f0004_31,f0004,Reddots/pcm/f0004/20150303030806097_f0004_31.pcm,False
20150531182623148_m0053_31,m0053,Reddots/pcm/m0053/20150531182623148_m0053_31.pcm,True
20150226044219423_m0020_31,m0020,Reddots/pcm/m0020/20150226044219423_m0020_31.pcm,True
20150311153458037_f0002_31,f0002,Reddots/pcm/f0002/20150311153458037_f0002_31.pcm,False
20150723183104323_m0022_31,m0022,Reddots/pcm/m0022/20150723183104323_m0022_31.pcm,True
20150704035349901_m0028_31,m0028,Reddots/pcm/m0028/20150704035349901_m0028_31.pcm,True
20150611185352019_m0067_31,m0067,Reddots/pcm/m0067/20150611185352019_m0067_31.pcm,True
20150811091723268_m0002_31,m0002,Reddots/pcm/m0002/20150811091723268_m0002_31.pcm,True
20150511162746191_m0017_31,m0017,Reddots/pcm/m0017/20150511162746191_m0017_31.pcm,True
20150606053124039_m0028_31,m0028,Reddots/pcm/m0028/20150606053124039_m0028_31.pcm,True
20150527184516104_f0013_31,f0013,Reddots/pcm/f0013/20150527184516104_f0013_31.pcm,False
20150227170944559_m0018_31,m0018,Reddots/pcm/m0018/20150227170944559_m0018_31.pcm,True
20150203172048679_m0009_31,m0009,Reddots/pcm/m0009/20150203172048679_m0009_31.pcm,True
20150804131421263_m0009_31,m0009,Reddots/pcm/m0009/20150804131421263_m0009_31.pcm,True
20150805172706942_m0043_31,m0043,Reddots/pcm/m0043/20150805172706942_m0043_31.pcm,True
20150611185342597_m0067_31,m0067,Reddots/pcm/m0067/20150611185342597_m0067_31.pcm,True
20150712222422400_m0047_31,m0047,Reddots/pcm/m0047/20150712222422400_m0047_31.pcm,True
20150811200605290_m0062_31,m0062,Reddots/pcm/m0062/20150811200605290_m0062_31.pcm,True
20150723032718550_m0040_31,m0040,Reddots/pcm/m0040/20150723032718550_m0040_31.pcm,True
20150309173742102_m0015_31,m0015,Reddots/pcm/m0015/20150309173742102_m0015_31.pcm,True
20150601012159683_m0040_31,m0040,Reddots/pcm/m0040/20150601012159683_m0040_31.pcm,True
20150302083627353_m0002_31,m0002,Reddots/pcm/m0002/20150302083627353_m0002_31.pcm,True
20150306223322226_m0014_31,m0014,Reddots/pcm/m0014/20150306223322226_m0014_31.pcm,True
20150618023409935_m0014_31,m0014,Reddots/pcm/m0014/20150618023409935_m0014_31.pcm,True
20150528082034046_m0006_31,m0006,Reddots/pcm/m0006/20150528082034046_m0006_31.pcm,True
20150722222722779_m0054_31,m0054,Reddots/pcm/m0054/20150722222722779_m0054_31.pcm,True
20150622015959370_m0060_31,m0060,Reddots/pcm/m0060/20150622015959370_m0060_31.pcm,True
20150227170941080_m0018_31,m0018,Reddots/pcm/m0018/20150227170941080_m0018_31.pcm,True
20150512085844978_f0012_31,f0012,Reddots/pcm/f0012/20150512085844978_f0012_31.pcm,False
20150515192553798_m0022_31,m0022,Reddots/pcm/m0022/20150515192553798_m0022_31.pcm,True
20150701221459877_m0038_31,m0038,Reddots/pcm/m0038/20150701221459877_m0038_31.pcm,True
20150811223324156_m0037_31,m0037,Reddots/pcm/m0037/20150811223324156_m0037_31.pcm,True
20150629173727747_m0060_31,m0060,Reddots/pcm/m0060/20150629173727747_m0060_31.pcm,True
20150324145723981_f0006_31,f0006,Reddots/pcm/f0006/20150324145723981_f0006_31.pcm,False
20150406135007664_f0007_31,f0007,Reddots/pcm/f0007/20150406135007664_f0007_31.pcm,False
20150413170935920_f0002_31,f0002,Reddots/pcm/f0002/20150413170935920_f0002_31.pcm,False
20150226044232573_m0020_31,m0020,Reddots/pcm/m0020/20150226044232573_m0020_31.pcm,True
20150519075315836_m0006_31,m0006,Reddots/pcm/m0006/20150519075315836_m0006_31.pcm,True
20150418044520763_m0014_31,m0014,Reddots/pcm/m0014/20150418044520763_m0014_31.pcm,True
20150713090256675_m0002_31,m0002,Reddots/pcm/m0002/20150713090256675_m0002_31.pcm,True
20150210162535832_m0021_31,m0021,Reddots/pcm/m0021/20150210162535832_m0021_31.pcm,True
20150601170452714_f0006_31,f0006,Reddots/pcm/f0006/20150601170452714_f0006_31.pcm,False
20150210234229930_m0019_31,m0019,Reddots/pcm/m0019/20150210234229930_m0019_31.pcm,True
20150727093234978_m0002_31,m0002,Reddots/pcm/m0002/20150727093234978_m0002_31.pcm,True
20150420240802560_m0013_31,m0013,Reddots/pcm/m0013/20150420240802560_m0013_31.pcm,True
20150727173458832_m0035_31,m0035,Reddots/pcm/m0035/20150727173458832_m0035_31.pcm,True
20150811223325623_m0037_31,m0037,Reddots/pcm/m0037/20150811223325623_m0037_31.pcm,True
20150417053538507_m0020_31,m0020,Reddots/pcm/m0020/20150417053538507_m0020_31.pcm,True
20150325131435807_m0032_31,m0032,Reddots/pcm/m0032/20150325131435807_m0032_31.pcm,True
20150324145754775_f0006_31,f0006,Reddots/pcm/f0006/20150324145754775_f0006_31.pcm,False
20150224142344510_f0002_31,f0002,Reddots/pcm/f0002/20150224142344510_f0002_31.pcm,False
20150418022201794_m0020_31,m0020,Reddots/pcm/m0020/20150418022201794_m0020_31.pcm,True
20150727093431588_m0002_31,m0002,Reddots/pcm/m0002/20150727093431588_m0002_31.pcm,True
20150704223313073_f0006_31,f0006,Reddots/pcm/f0006/20150704223313073_f0006_31.pcm,False
20150212113957304_m0001_31,m0001,Reddots/pcm/m0001/20150212113957304_m0001_31.pcm,True
20150614013354851_m0020_31,m0020,Reddots/pcm/m0020/20150614013354851_m0020_31.pcm,True
20150401080200788_m0002_31,m0002,Reddots/pcm/m0002/20150401080200788_m0002_31.pcm,True
20150301020800066_m0014_31,m0014,Reddots/pcm/m0014/20150301020800066_m0014_31.pcm,True
20150326183731122_m0043_31,m0043,Reddots/pcm/m0043/20150326183731122_m0043_31.pcm,True
20150807060057607_m0023_31,m0023,Reddots/pcm/m0023/20150807060057607_m0023_31.pcm,True
20150531074652775_f0011_31,f0011,Reddots/pcm/f0011/20150531074652775_f0011_31.pcm,False
20150521123554484_m0054_31,m0054,Reddots/pcm/m0054/20150521123554484_m0054_31.pcm,True
20150527233206756_m0023_31,m0023,Reddots/pcm/m0023/20150527233206756_m0023_31.pcm,True
20150615181948287_m0016_31,m0016,Reddots/pcm/m0016/20150615181948287_m0016_31.pcm,True
20150811223330583_m0037_31,m0037,Reddots/pcm/m0037/20150811223330583_m0037_31.pcm,True
20150329211619628_f0005_31,f0005,Reddots/pcm/f0005/20150329211619628_f0005_31.pcm,False
20150719204106119_m0051_31,m0051,Reddots/pcm/m0051/20150719204106119_m0051_31.pcm,True
20150213243733378_m0010_31,m0010,Reddots/pcm/m0010/20150213243733378_m0010_31.pcm,True
20150714165320310_m0022_31,m0022,Reddots/pcm/m0022/20150714165320310_m0022_31.pcm,True
20150613240913327_m0026_31,m0026,Reddots/pcm/m0026/20150613240913327_m0026_31.pcm,True
20150628133837520_m0013_31,m0013,Reddots/pcm/m0013/20150628133837520_m0013_31.pcm,True
20150220063526337_m0015_31,m0015,Reddots/pcm/m0015/20150220063526337_m0015_31.pcm,True
20150427145054969_m0060_31,m0060,Reddots/pcm/m0060/20150427145054969_m0060_31.pcm,True
20150607174102774_m0001_31,m0001,Reddots/pcm/m0001/20150607174102774_m0001_31.pcm,True
20150606035750635_m0026_31,m0026,Reddots/pcm/m0026/20150606035750635_m0026_31.pcm,True
20150717144210527_m0007_31,m0007,Reddots/pcm/m0007/20150717144210527_m0007_31.pcm,True
20150326075952804_m0040_31,m0040,Reddots/pcm/m0040/20150326075952804_m0040_31.pcm,True
20150325223149006_m0022_31,m0022,Reddots/pcm/m0022/20150325223149006_m0022_31.pcm,True
20150130084155412_m0001_31,m0001,Reddots/pcm/m0001/20150130084155412_m0001_31.pcm,True
20150601142612080_f0002_31,f0002,Reddots/pcm/f0002/20150601142612080_f0002_31.pcm,False
20150612193506186_m0005_31,m0005,Reddots/pcm/m0005/20150612193506186_m0005_31.pcm,True
20150722210848669_m0050_31,m0050,Reddots/pcm/m0050/20150722210848669_m0050_31.pcm,True
20150316203231862_m0013_31,m0013,Reddots/pcm/m0013/20150316203231862_m0013_31.pcm,True
20150526215203036_m0067_31,m0067,Reddots/pcm/m0067/20150526215203036_m0067_31.pcm,True
20150316120925060_m0002_31,m0002,Reddots/pcm/m0002/20150316120925060_m0002_31.pcm,True
20150626144640556_m0005_31,m0005,Reddots/pcm/m0005/20150626144640556_m0005_31.pcm,True
20150731222228823_m0022_31,m0022,Reddots/pcm/m0022/20150731222228823_m0022_31.pcm,True
20150803191246647_m0043_31,m0043,Reddots/pcm/m0043/20150803191246647_m0043_31.pcm,True
20150214203509728_m0008_31,m0008,Reddots/pcm/m0008/20150214203509728_m0008_31.pcm,True
20150316090440710_m0006_31,m0006,Reddots/pcm/m0006/20150316090440710_m0006_31.pcm,True
20150420200842145_m0017_31,m0017,Reddots/pcm/m0017/20150420200842145_m0017_31.pcm,True
20150525181207516_m0008_31,m0008,Reddots/pcm/m0008/20150525181207516_m0008_31.pcm,True
20150630144138886_m0004_31,m0004,Reddots/pcm/m0004/20150630144138886_m0004_31.pcm,True
20150707154813325_m0009_31,m0009,Reddots/pcm/m0009/20150707154813325_m0009_31.pcm,True
20150525142800011_f0002_31,f0002,Reddots/pcm/f0002/20150525142800011_f0002_31.pcm,False
20150512075130874_m0006_31,m0006,Reddots/pcm/m0006/20150512075130874_m0006_31.pcm,True
20150721012708336_m0018_31,m0018,Reddots/pcm/m0018/20150721012708336_m0018_31.pcm,True
20150713072228201_m0014_31,m0014,Reddots/pcm/m0014/20150713072228201_m0014_31.pcm,True
20150317043059157_m0028_31,m0028,Reddots/pcm/m0028/20150317043059157_m0028_31.pcm,True
20150403042952669_m0040_31,m0040,Reddots/pcm/m0040/20150403042952669_m0040_31.pcm,True
20150516160633431_m0009_31,m0009,Reddots/pcm/m0009/20150516160633431_m0009_31.pcm,True
20150618023503319_m0014_31,m0014,Reddots/pcm/m0014/20150618023503319_m0014_31.pcm,True
20150507050412054_m0020_31,m0020,Reddots/pcm/m0020/20150507050412054_m0020_31.pcm,True
20150621173804329_m0040_31,m0040,Reddots/pcm/m0040/20150621173804329_m0040_31.pcm,True
20150225054044777_m0016_31,m0016,Reddots/pcm/m0016/20150225054044777_m0016_31.pcm,True
20150306113313896_m0001_31,m0001,Reddots/pcm/m0001/20150306113313896_m0001_31.pcm,True
20150409022446578_m0041_31,m0041,Reddots/pcm/m0041/20150409022446578_m0041_31.pcm,True
20150307010806411_m0026_31,m0026,Reddots/pcm/m0026/20150307010806411_m0026_31.pcm,True
20150515220946152_m0052_31,m0052,Reddots/pcm/m0052/20150515220946152_m0052_31.pcm,True
20150805172929417_m0043_31,m0043,Reddots/pcm/m0043/20150805172929417_m0043_31.pcm,True
20150713234730839_m0021_31,m0021,Reddots/pcm/m0021/20150713234730839_m0021_31.pcm,True
20150608182356375_m0060_31,m0060,Reddots/pcm/m0060/20150608182356375_m0060_31.pcm,True
20150516190622379_f0011_31,f0011,Reddots/pcm/f0011/20150516190622379_f0011_31.pcm,False
20150505135440503_f0002_31,f0002,Reddots/pcm/f0002/20150505135440503_f0002_31.pcm,False
20150422202905411_m0054_31,m0054,Reddots/pcm/m0054/20150422202905411_m0054_31.pcm,True
20150613035758605_m0029_31,m0029,Reddots/pcm/m0029/20150613035758605_m0029_31.pcm,True
20150325162631232_m0021_31,m0021,Reddots/pcm/m0021/20150325162631232_m0021_31.pcm,True
20150702241620659_m0051_31,m0051,Reddots/pcm/m0051/20150702241620659_m0051_31.pcm,True
20150719204557574_m0013_31,m0013,Reddots/pcm/m0013/20150719204557574_m0013_31.pcm,True
20150621051809350_f0008_31,f0008,Reddots/pcm/f0008/20150621051809350_f0008_31.pcm,False
20150507023711892_m0026_31,m0026,Reddots/pcm/m0026/20150507023711892_m0026_31.pcm,True
20150203172054108_m0009_31,m0009,Reddots/pcm/m0009/20150203172054108_m0009_31.pcm,True
20150802185458962_m0063_31,m0063,Reddots/pcm/m0063/20150802185458962_m0063_31.pcm,True
20150327225717128_m0038_31,m0038,Reddots/pcm/m0038/20150327225717128_m0038_31.pcm,True
20150617165938243_m0004_31,m0004,Reddots/pcm/m0004/20150617165938243_m0004_31.pcm,True
20150628125327811_m0048_31,m0048,Reddots/pcm/m0048/20150628125327811_m0048_31.pcm,True
20150211152959223_f0002_31,f0002,Reddots/pcm/f0002/20150211152959223_f0002_31.pcm,False
20150504213718612_m0009_31,m0009,Reddots/pcm/m0009/20150504213718612_m0009_31.pcm,True
20150417041528036_m0029_31,m0029,Reddots/pcm/m0029/20150417041528036_m0029_31.pcm,True
20150318162232067_m0007_31,m0007,Reddots/pcm/m0007/20150318162232067_m0007_31.pcm,True
20150130084154554_m0001_31,m0001,Reddots/pcm/m0001/20150130084154554_m0001_31.pcm,True
20150303030810511_f0004_31,f0004,Reddots/pcm/f0004/20150303030810511_f0004_31.pcm,False
20150713154140051_f0004_31,f0004,Reddots/pcm/f0004/20150713154140051_f0004_31.pcm,False
20150527153345950_m0005_31,m0005,Reddots/pcm/m0005/20150527153345950_m0005_31.pcm,True
20150811152338840_m0001_31,m0001,Reddots/pcm/m0001/20150811152338840_m0001_31.pcm,True
20150222200256830_m0001_31,m0001,Reddots/pcm/m0001/20150222200256830_m0001_31.pcm,True
20150420210908527_m0055_31,m0055,Reddots/pcm/m0055/20150420210908527_m0055_31.pcm,True
20150212070005981_m0018_31,m0018,Reddots/pcm/m0018/20150212070005981_m0018_31.pcm,True
20150705201231137_f0005_31,f0005,Reddots/pcm/f0005/20150705201231137_f0005_31.pcm,False
20150509035545478_m0026_31,m0026,Reddots/pcm/m0026/20150509035545478_m0026_31.pcm,True
20150527232545320_m0023_31,m0023,Reddots/pcm/m0023/20150527232545320_m0023_31.pcm,True
20150527232541498_m0023_31,m0023,Reddots/pcm/m0023/20150527232541498_m0023_31.pcm,True
