recording_id,speaker_id,pcm_path,file_exists
20150328192603154_m0001_10042,m0001,Reddots/pcm/m0001/20150328192603154_m0001_10042.pcm,False
20150222200303398_m0001_10042,m0001,Reddots/pcm/m0001/20150222200303398_m0001_10042.pcm,False
20150321215320677_m0001_10042,m0001,Reddots/pcm/m0001/20150321215320677_m0001_10042.pcm,False
20150129213256791_m0001_10042,m0001,Reddots/pcm/m0001/20150129213256791_m0001_10042.pcm,False
20150624090046648_m0001_10042,m0001,Reddots/pcm/m0001/20150624090046648_m0001_10042.pcm,False
20150510164350504_m0001_10042,m0001,Reddots/pcm/m0001/20150510164350504_m0001_10042.pcm,False
20150607174111588_m0001_10042,m0001,Reddots/pcm/m0001/20150607174111588_m0001_10042.pcm,False
20150302085720300_m0001_10042,m0001,Reddots/pcm/m0001/20150302085720300_m0001_10042.pcm,False
20150306113308592_m0001_10042,m0001,Reddots/pcm/m0001/20150306113308592_m0001_10042.pcm,False
20150212113944325_m0001_10042,m0001,Reddots/pcm/m0001/20150212113944325_m0001_10042.pcm,False
20150525084651652_m0001_10042,m0001,Reddots/pcm/m0001/20150525084651652_m0001_10042.pcm,False
20150212113943514_m0001_10042,m0001,Reddots/pcm/m0001/20150212113943514_m0001_10042.pcm,False
20150425072635609_m0001_10042,m0001,Reddots/pcm/m0001/20150425072635609_m0001_10042.pcm,False
20150730142445158_m0001_10042,m0001,Reddots/pcm/m0001/20150730142445158_m0001_10042.pcm,False
20150212114004652_m0001_10042,m0001,Reddots/pcm/m0001/20150212114004652_m0001_10042.pcm,False
20150411211409687_m0001_10042,m0001,Reddots/pcm/m0001/20150411211409687_m0001_10042.pcm,False
20150504084933119_m0001_10042,m0001,Reddots/pcm/m0001/20150504084933119_m0001_10042.pcm,False
20150617093401793_m0001_10042,m0001,Reddots/pcm/m0001/20150617093401793_m0001_10042.pcm,False
20150705170540942_m0001_10042,m0001,Reddots/pcm/m0001/20150705170540942_m0001_10042.pcm,False
20150803182134970_m0001_10042,m0001,Reddots/pcm/m0001/20150803182134970_m0001_10042.pcm,False
20150203085614970_m0001_10042,m0001,Reddots/pcm/m0001/20150203085614970_m0001_10042.pcm,False
20150405153440666_m0001_10042,m0001,Reddots/pcm/m0001/20150405153440666_m0001_10042.pcm,False
20150212113942625_m0001_10042,m0001,Reddots/pcm/m0001/20150212113942625_m0001_10042.pcm,False
20150313143338262_m0001_10042,m0001,Reddots/pcm/m0001/20150313143338262_m0001_10042.pcm,False
20150424190759425_m0001_10042,m0001,Reddots/pcm/m0001/20150424190759425_m0001_10042.pcm,False
20150416204611766_m0001_10042,m0001,Reddots/pcm/m0001/20150416204611766_m0001_10042.pcm,False
20150721143717880_m0001_10042,m0001,Reddots/pcm/m0001/20150721143717880_m0001_10042.pcm,False
20150616150932954_m0001_10042,m0001,Reddots/pcm/m0001/20150616150932954_m0001_10042.pcm,False
20150517081503720_m0001_10042,m0001,Reddots/pcm/m0001/20150517081503720_m0001_10042.pcm,False
20150811152353488_m0001_10042,m0001,Reddots/pcm/m0001/20150811152353488_m0001_10042.pcm,False
20150207091304818_m0001_10042,m0001,Reddots/pcm/m0001/20150207091304818_m0001_10042.pcm,False
