recording_id,speaker_id,pcm_path,file_exists
20150708221957531_f0004_40,f0004,Reddots/pcm/f0004/20150708221957531_f0004_40.pcm,False
20150225052907815_m0028_40,m0028,Reddots/pcm/m0028/20150225052907815_m0028_40.pcm,True
20150630145529338_f0002_40,f0002,Reddots/pcm/f0002/20150630145529338_f0002_40.pcm,False
20150129105744302_m0002_40,m0002,Reddots/pcm/m0002/20150129105744302_m0002_40.pcm,True
20150226054445941_m0019_40,m0019,Reddots/pcm/m0019/20150226054445941_m0019_40.pcm,True
20150511022408018_m0060_40,m0060,Reddots/pcm/m0060/20150511022408018_m0060_40.pcm,True
20150527233533659_m0023_40,m0023,Reddots/pcm/m0023/20150527233533659_m0023_40.pcm,True
20150808205235580_m0015_40,m0015,Reddots/pcm/m0015/20150808205235580_m0015_40.pcm,True
20150701174124592_m0067_40,m0067,Reddots/pcm/m0067/20150701174124592_m0067_40.pcm,True
20150817032716679_m0040_40,m0040,Reddots/pcm/m0040/20150817032716679_m0040_40.pcm,True
20150604020546892_m0005_40,m0005,Reddots/pcm/m0005/20150604020546892_m0005_40.pcm,True
20150403160914450_f0008_40,f0008,Reddots/pcm/f0008/20150403160914450_f0008_40.pcm,False
20150615185207885_m0015_40,m0015,Reddots/pcm/m0015/20150615185207885_m0015_40.pcm,True
20150220063434436_m0015_40,m0015,Reddots/pcm/m0015/20150220063434436_m0015_40.pcm,True
20150506163201237_m0022_40,m0022,Reddots/pcm/m0022/20150506163201237_m0022_40.pcm,True
20150531182541231_m0053_40,m0053,Reddots/pcm/m0053/20150531182541231_m0053_40.pcm,True
20150811221853035_f0012_40,f0012,Reddots/pcm/f0012/20150811221853035_f0012_40.pcm,False
20150401023815010_m0028_40,m0028,Reddots/pcm/m0028/20150401023815010_m0028_40.pcm,True
20150611190045467_m0067_40,m0067,Reddots/pcm/m0067/20150611190045467_m0067_40.pcm,True
20150713090137458_m0002_40,m0002,Reddots/pcm/m0002/20150713090137458_m0002_40.pcm,True
20150420213241983_m0015_40,m0015,Reddots/pcm/m0015/20150420213241983_m0015_40.pcm,True
20150518140633993_f0002_40,f0002,Reddots/pcm/f0002/20150518140633993_f0002_40.pcm,False
20150409214349269_m0007_40,m0007,Reddots/pcm/m0007/20150409214349269_m0007_40.pcm,True
20150510075128153_m0013_40,m0013,Reddots/pcm/m0013/20150510075128153_m0013_40.pcm,True
20150629173347537_m0060_40,m0060,Reddots/pcm/m0060/20150629173347537_m0060_40.pcm,True
20150204211631433_m0014_40,m0014,Reddots/pcm/m0014/20150204211631433_m0014_40.pcm,True
20150511205353990_m0016_40,m0016,Reddots/pcm/m0016/20150511205353990_m0016_40.pcm,True
20150314050349806_m0020_40,m0020,Reddots/pcm/m0020/20150314050349806_m0020_40.pcm,True
20150628214131232_m0054_40,m0054,Reddots/pcm/m0054/20150628214131232_m0054_40.pcm,True
20150309173246450_m0015_40,m0015,Reddots/pcm/m0015/20150309173246450_m0015_40.pcm,True
20150315021335426_m0015_40,m0015,Reddots/pcm/m0015/20150315021335426_m0015_40.pcm,True
20150605103550155_f0008_40,f0008,Reddots/pcm/f0008/20150605103550155_f0008_40.pcm,False
20150507124421123_m0060_40,m0060,Reddots/pcm/m0060/20150507124421123_m0060_40.pcm,True
20150721154827420_m0009_40,m0009,Reddots/pcm/m0009/20150721154827420_m0009_40.pcm,True
20150709144909847_f0002_40,f0002,Reddots/pcm/f0002/20150709144909847_f0002_40.pcm,False
20150328121223026_m0013_40,m0013,Reddots/pcm/m0013/20150328121223026_m0013_40.pcm,True
20150420075628770_m0002_40,m0002,Reddots/pcm/m0002/20150420075628770_m0002_40.pcm,True
20150613035802505_m0029_40,m0029,Reddots/pcm/m0029/20150613035802505_m0029_40.pcm,True
20150504083853674_m0002_40,m0002,Reddots/pcm/m0002/20150504083853674_m0002_40.pcm,True
20150624241107255_m0007_40,m0007,Reddots/pcm/m0007/20150624241107255_m0007_40.pcm,True
20150423180346434_m0021_40,m0021,Reddots/pcm/m0021/20150423180346434_m0021_40.pcm,True
20150705054451241_f0008_40,f0008,Reddots/pcm/f0008/20150705054451241_f0008_40.pcm,False
20150701220516623_m0038_40,m0038,Reddots/pcm/m0038/20150701220516623_m0038_40.pcm,True
20150720064051310_f0006_40,f0006,Reddots/pcm/f0006/20150720064051310_f0006_40.pcm,False
20150320152130934_m0008_40,m0008,Reddots/pcm/m0008/20150320152130934_m0008_40.pcm,True
20150714073322625_f0008_40,f0008,Reddots/pcm/f0008/20150714073322625_f0008_40.pcm,False
20150325131514791_m0032_40,m0032,Reddots/pcm/m0032/20150325131514791_m0032_40.pcm,True
20150325221235664_m0021_40,m0021,Reddots/pcm/m0021/20150325221235664_m0021_40.pcm,True
20150509033334249_m0029_40,m0029,Reddots/pcm/m0029/20150509033334249_m0029_40.pcm,True
20150603015650233_m0028_40,m0028,Reddots/pcm/m0028/20150603015650233_m0028_40.pcm,True
20150804084758052_f0011_40,f0011,Reddots/pcm/f0011/20150804084758052_f0011_40.pcm,False
20150302171026002_f0001_40,f0001,Reddots/pcm/f0001/20150302171026002_f0001_40.pcm,False
20150320151725405_m0008_40,m0008,Reddots/pcm/m0008/20150320151725405_m0008_40.pcm,True
20150411124946866_m0053_40,m0053,Reddots/pcm/m0053/20150411124946866_m0053_40.pcm,True
20150613241000236_m0026_40,m0026,Reddots/pcm/m0026/20150613241000236_m0026_40.pcm,True
20150407132730714_f0002_40,f0002,Reddots/pcm/f0002/20150407132730714_f0002_40.pcm,False
