recording_id,speaker_id,pcm_path,file_exists
20150727093434536_m0002_32,m0002,Reddots/pcm/m0002/20150727093434536_m0002_32.pcm,True
20150616081804772_m0006_32,m0006,Reddots/pcm/m0006/20150616081804772_m0006_32.pcm,True
20150512223152379_m0021_32,m0021,Reddots/pcm/m0021/20150512223152379_m0021_32.pcm,True
20150804131008527_m0009_32,m0009,Reddots/pcm/m0009/20150804131008527_m0009_32.pcm,True
20150506163747823_m0022_32,m0022,Reddots/pcm/m0022/20150506163747823_m0022_32.pcm,True
20150306113134149_f0001_32,f0001,Reddots/pcm/f0001/20150306113134149_f0001_32.pcm,False
20150617170137365_m0004_32,m0004,Reddots/pcm/m0004/20150617170137365_m0004_32.pcm,True
20150316203235029_m0013_32,m0013,Reddots/pcm/m0013/20150316203235029_m0013_32.pcm,True
20150803190351067_m0043_32,m0043,Reddots/pcm/m0043/20150803190351067_m0043_32.pcm,True
20150730140017742_m0005_32,m0005,Reddots/pcm/m0005/20150730140017742_m0005_32.pcm,True
20150303030828311_f0004_32,f0004,Reddots/pcm/f0004/20150303030828311_f0004_32.pcm,False
20150228015834204_m0015_32,m0015,Reddots/pcm/m0015/20150228015834204_m0015_32.pcm,True
20150713085936933_m0002_32,m0002,Reddots/pcm/m0002/20150713085936933_m0002_32.pcm,True
20150614013334041_m0020_32,m0020,Reddots/pcm/m0020/20150614013334041_m0020_32.pcm,True
20150723032704089_m0040_32,m0040,Reddots/pcm/m0040/20150723032704089_m0040_32.pcm,True
20150401242828959_m0041_32,m0041,Reddots/pcm/m0041/20150401242828959_m0041_32.pcm,True
20150504230109418_f0004_32,f0004,Reddots/pcm/f0004/20150504230109418_f0004_32.pcm,False
20150213243800241_m0010_32,m0010,Reddots/pcm/m0010/20150213243800241_m0010_32.pcm,True
20150218033750467_m0019_32,m0019,Reddots/pcm/m0019/20150218033750467_m0019_32.pcm,True
20150715173128447_m0050_32,m0050,Reddots/pcm/m0050/20150715173128447_m0050_32.pcm,True
20150422202834008_m0054_32,m0054,Reddots/pcm/m0054/20150422202834008_m0054_32.pcm,True
20150709063320267_m0014_32,m0014,Reddots/pcm/m0014/20150709063320267_m0014_32.pcm,True
20150509030634264_m0016_32,m0016,Reddots/pcm/m0016/20150509030634264_m0016_32.pcm,True
20150411081842979_f0008_32,f0008,Reddots/pcm/f0008/20150411081842979_f0008_32.pcm,False
20150514203254156_m0064_32,m0064,Reddots/pcm/m0064/20150514203254156_m0064_32.pcm,True
20150622155648527_m0017_32,m0017,Reddots/pcm/m0017/20150622155648527_m0017_32.pcm,True
20150527232552371_m0023_32,m0023,Reddots/pcm/m0023/20150527232552371_m0023_32.pcm,True
20150617170040393_m0004_32,m0004,Reddots/pcm/m0004/20150617170040393_m0004_32.pcm,True
20150525201158333_f0006_32,f0006,Reddots/pcm/f0006/20150525201158333_f0006_32.pcm,False
20150405153438482_m0001_32,m0001,Reddots/pcm/m0001/20150405153438482_m0001_32.pcm,True
20150416172021489_f0006_32,f0006,Reddots/pcm/f0006/20150416172021489_f0006_32.pcm,False
20150411081833120_f0008_32,f0008,Reddots/pcm/f0008/20150411081833120_f0008_32.pcm,False
20150324145815461_f0006_32,f0006,Reddots/pcm/f0006/20150324145815461_f0006_32.pcm,False
20150227170956275_m0018_32,m0018,Reddots/pcm/m0018/20150227170956275_m0018_32.pcm,True
20150418044514897_m0014_32,m0014,Reddots/pcm/m0014/20150418044514897_m0014_32.pcm,True
20150704060452658_m0020_32,m0020,Reddots/pcm/m0020/20150704060452658_m0020_32.pcm,True
20150724011428093_m0020_32,m0020,Reddots/pcm/m0020/20150724011428093_m0020_32.pcm,True
20150614013033096_m0020_32,m0020,Reddots/pcm/m0020/20150614013033096_m0020_32.pcm,True
20150325162857342_m0021_32,m0021,Reddots/pcm/m0021/20150325162857342_m0021_32.pcm,True
20150811200613121_m0062_32,m0062,Reddots/pcm/m0062/20150811200613121_m0062_32.pcm,True
20150417042737415_m0026_32,m0026,Reddots/pcm/m0026/20150417042737415_m0026_32.pcm,True
20150603015137327_m0009_32,m0009,Reddots/pcm/m0009/20150603015137327_m0009_32.pcm,True
20150521123339154_m0054_32,m0054,Reddots/pcm/m0054/20150521123339154_m0054_32.pcm,True
20150316120926995_m0002_32,m0002,Reddots/pcm/m0002/20150316120926995_m0002_32.pcm,True
20150817100156179_m0002_32,m0002,Reddots/pcm/m0002/20150817100156179_m0002_32.pcm,True
20150224244152901_m0010_32,m0010,Reddots/pcm/m0010/20150224244152901_m0010_32.pcm,True
20150227170959816_m0018_32,m0018,Reddots/pcm/m0018/20150227170959816_m0018_32.pcm,True
