recording_id,speaker_id,pcm_path,file_exists
20150318162630467_m0007_33,m0007,Reddots/pcm/m0007/20150318162630467_m0007_33.pcm,True
20150713154003658_f0004_33,f0004,Reddots/pcm/f0004/20150713154003658_f0004_33.pcm,False
20150607174104614_m0001_33,m0001,Reddots/pcm/m0001/20150607174104614_m0001_33.pcm,True
20150622073201682_f0011_33,f0011,Reddots/pcm/f0011/20150622073201682_f0011_33.pcm,False
20150605103643913_f0008_33,f0008,Reddots/pcm/f0008/20150605103643913_f0008_33.pcm,False
20150415074705267_m0006_33,m0006,Reddots/pcm/m0006/20150415074705267_m0006_33.pcm,True
20150703015705611_m0005_33,m0005,Reddots/pcm/m0005/20150703015705611_m0005_33.pcm,True
20150505114615478_m0055_33,m0055,Reddots/pcm/m0055/20150505114615478_m0055_33.pcm,True
20150703225650239_m0022_33,m0022,Reddots/pcm/m0022/20150703225650239_m0022_33.pcm,True
20150418044513010_m0014_33,m0014,Reddots/pcm/m0014/20150418044513010_m0014_33.pcm,True
20150809205700331_f0015_33,f0015,Reddots/pcm/f0015/20150809205700331_f0015_33.pcm,False
20150325163115293_m0021_33,m0021,Reddots/pcm/m0021/20150325163115293_m0021_33.pcm,True
20150717144118110_m0007_33,m0007,Reddots/pcm/m0007/20150717144118110_m0007_33.pcm,True
20150403043007552_m0040_33,m0040,Reddots/pcm/m0040/20150403043007552_m0040_33.pcm,True
20150510225443631_m0053_33,m0053,Reddots/pcm/m0053/20150510225443631_m0053_33.pcm,True
20150417121624187_m0047_33,m0047,Reddots/pcm/m0047/20150417121624187_m0047_33.pcm,True
20150804131011772_m0009_33,m0009,Reddots/pcm/m0009/20150804131011772_m0009_33.pcm,True
20150325233447223_m0022_33,m0022,Reddots/pcm/m0022/20150325233447223_m0022_33.pcm,True
20150316203235809_m0013_33,m0013,Reddots/pcm/m0013/20150316203235809_m0013_33.pcm,True
20150704060514108_m0020_33,m0020,Reddots/pcm/m0020/20150704060514108_m0020_33.pcm,True
20150525142123880_f0002_33,f0002,Reddots/pcm/f0002/20150525142123880_f0002_33.pcm,False
20150331244545609_m0029_33,m0029,Reddots/pcm/m0029/20150331244545609_m0029_33.pcm,True
20150311162548139_m0007_33,m0007,Reddots/pcm/m0007/20150311162548139_m0007_33.pcm,True
20150424190757226_m0001_33,m0001,Reddots/pcm/m0001/20150424190757226_m0001_33.pcm,True
20150620242030810_f0006_33,f0006,Reddots/pcm/f0006/20150620242030810_f0006_33.pcm,False
20150327225726706_m0038_33,m0038,Reddots/pcm/m0038/20150327225726706_m0038_33.pcm,True
20150425222226673_f0010_33,f0010,Reddots/pcm/f0010/20150425222226673_f0010_33.pcm,False
20150629173516816_m0060_33,m0060,Reddots/pcm/m0060/20150629173516816_m0060_33.pcm,True
20150307010914099_m0029_33,m0029,Reddots/pcm/m0029/20150307010914099_m0029_33.pcm,True
20150213171215167_m0009_33,m0009,Reddots/pcm/m0009/20150213171215167_m0009_33.pcm,True
20150623231510004_m0004_33,m0004,Reddots/pcm/m0004/20150623231510004_m0004_33.pcm,True
20150627102419273_f0005_33,f0005,Reddots/pcm/f0005/20150627102419273_f0005_33.pcm,False
20150812081849334_f0011_33,f0011,Reddots/pcm/f0011/20150812081849334_f0011_33.pcm,False
20150401242842889_m0041_33,m0041,Reddots/pcm/m0041/20150401242842889_m0041_33.pcm,True
20150320152119967_m0008_33,m0008,Reddots/pcm/m0008/20150320152119967_m0008_33.pcm,True
20150426212708753_m0018_33,m0018,Reddots/pcm/m0018/20150426212708753_m0018_33.pcm,True
20150420185033588_m0041_33,m0041,Reddots/pcm/m0041/20150420185033588_m0041_33.pcm,True
20150525070207150_m0015_33,m0015,Reddots/pcm/m0015/20150525070207150_m0015_33.pcm,True
20150504083852910_m0002_33,m0002,Reddots/pcm/m0002/20150504083852910_m0002_33.pcm,True
20150506163408705_m0022_33,m0022,Reddots/pcm/m0022/20150506163408705_m0022_33.pcm,True
20150727173412359_m0035_33,m0035,Reddots/pcm/m0035/20150727173412359_m0035_33.pcm,True
20150712222535517_m0047_33,m0047,Reddots/pcm/m0047/20150712222535517_m0047_33.pcm,True
20150811200627333_m0062_33,m0062,Reddots/pcm/m0062/20150811200627333_m0062_33.pcm,True
20150527092828084_f0008_33,f0008,Reddots/pcm/f0008/20150527092828084_f0008_33.pcm,False
20150608143243677_f0002_33,f0002,Reddots/pcm/f0002/20150608143243677_f0002_33.pcm,False
20150228015839991_m0015_33,m0015,Reddots/pcm/m0015/20150228015839991_m0015_33.pcm,True
20150521192323081_m0007_33,m0007,Reddots/pcm/m0007/20150521192323081_m0007_33.pcm,True
20150710212718172_m0054_33,m0054,Reddots/pcm/m0054/20150710212718172_m0054_33.pcm,True
20150626144611477_m0005_33,m0005,Reddots/pcm/m0005/20150626144611477_m0005_33.pcm,True
20150225054137989_m0016_33,m0016,Reddots/pcm/m0016/20150225054137989_m0016_33.pcm,True
20150427174708871_m0017_33,m0017,Reddots/pcm/m0017/20150427174708871_m0017_33.pcm,True
20150629221417205_m0015_33,m0015,Reddots/pcm/m0015/20150629221417205_m0015_33.pcm,True
20150813043620893_m0016_33,m0016,Reddots/pcm/m0016/20150813043620893_m0016_33.pcm,True
20150721012712720_m0018_33,m0018,Reddots/pcm/m0018/20150721012712720_m0018_33.pcm,True
20150411081901028_f0008_33,f0008,Reddots/pcm/f0008/20150411081901028_f0008_33.pcm,False
20150306222509905_m0019_33,m0019,Reddots/pcm/m0019/20150306222509905_m0019_33.pcm,True
20150630145108568_f0002_33,f0002,Reddots/pcm/f0002/20150630145108568_f0002_33.pcm,False
20150226044300170_m0020_33,m0020,Reddots/pcm/m0020/20150226044300170_m0020_33.pcm,True
20150225015313318_m0026_33,m0026,Reddots/pcm/m0026/20150225015313318_m0026_33.pcm,True
20150324142154702_f0002_33,f0002,Reddots/pcm/f0002/20150324142154702_f0002_33.pcm,False
20150811152350555_m0001_33,m0001,Reddots/pcm/m0001/20150811152350555_m0001_33.pcm,True
