recording_id,speaker_id,pcm_path,file_exists
20150212113953420_m0001_48,m0001,Reddots/pcm/m0001/20150212113953420_m0001_48.pcm,False
20150803182128168_m0001_48,m0001,Reddots/pcm/m0001/20150803182128168_m0001_48.pcm,False
20150811152349651_m0001_48,m0001,Reddots/pcm/m0001/20150811152349651_m0001_48.pcm,False
20150203085628277_m0001_48,m0001,Reddots/pcm/m0001/20150203085628277_m0001_48.pcm,False
20150607174119746_m0001_48,m0001,Reddots/pcm/m0001/20150607174119746_m0001_48.pcm,False
20150222200301432_m0001_48,m0001,Reddots/pcm/m0001/20150222200301432_m0001_48.pcm,False
20150705170557119_m0001_48,m0001,Reddots/pcm/m0001/20150705170557119_m0001_48.pcm,False
20150405153439949_m0001_48,m0001,Reddots/pcm/m0001/20150405153439949_m0001_48.pcm,False
20150425072654344_m0001_48,m0001,Reddots/pcm/m0001/20150425072654344_m0001_48.pcm,False
20150721143719518_m0001_48,m0001,Reddots/pcm/m0001/20150721143719518_m0001_48.pcm,False
20150730142448918_m0001_48,m0001,Reddots/pcm/m0001/20150730142448918_m0001_48.pcm,False
20150306113315627_m0001_48,m0001,Reddots/pcm/m0001/20150306113315627_m0001_48.pcm,False
20150617093408095_m0001_48,m0001,Reddots/pcm/m0001/20150617093408095_m0001_48.pcm,False
20150313143337154_m0001_48,m0001,Reddots/pcm/m0001/20150313143337154_m0001_48.pcm,False
20150302085712952_m0001_48,m0001,Reddots/pcm/m0001/20150302085712952_m0001_48.pcm,False
20150328192615587_m0001_48,m0001,Reddots/pcm/m0001/20150328192615587_m0001_48.pcm,False
20150212113929489_m0001_48,m0001,Reddots/pcm/m0001/20150212113929489_m0001_48.pcm,False
20150517081510725_m0001_48,m0001,Reddots/pcm/m0001/20150517081510725_m0001_48.pcm,False
20150416204616072_m0001_48,m0001,Reddots/pcm/m0001/20150416204616072_m0001_48.pcm,False
20150504084935272_m0001_48,m0001,Reddots/pcm/m0001/20150504084935272_m0001_48.pcm,False
20150510164406089_m0001_48,m0001,Reddots/pcm/m0001/20150510164406089_m0001_48.pcm,False
20150616150915030_m0001_48,m0001,Reddots/pcm/m0001/20150616150915030_m0001_48.pcm,False
20150321215319866_m0001_48,m0001,Reddots/pcm/m0001/20150321215319866_m0001_48.pcm,False
20150129213255824_m0001_48,m0001,Reddots/pcm/m0001/20150129213255824_m0001_48.pcm,False
20150212113932251_m0001_48,m0001,Reddots/pcm/m0001/20150212113932251_m0001_48.pcm,False
20150525084655677_m0001_48,m0001,Reddots/pcm/m0001/20150525084655677_m0001_48.pcm,False
20150207091307595_m0001_48,m0001,Reddots/pcm/m0001/20150207091307595_m0001_48.pcm,False
20150624090042077_m0001_48,m0001,Reddots/pcm/m0001/20150624090042077_m0001_48.pcm,False
20150411211407269_m0001_48,m0001,Reddots/pcm/m0001/20150411211407269_m0001_48.pcm,False
20150424190801859_m0001_48,m0001,Reddots/pcm/m0001/20150424190801859_m0001_48.pcm,False
20150212113931205_m0001_48,m0001,Reddots/pcm/m0001/20150212113931205_m0001_48.pcm,False
