recording_id,word,start_time,end_time
20150803094831202_m0002_31,My,0.37,0.50
20150803094831202_m0002_31,voice,0.57,0.88
20150803094831202_m0002_31,is,0.99,1.08
20150803094831202_m0002_31,my,1.14,1.28
20150803094831202_m0002_31,password,1.35,1.88
20150129105602091_m0002_31,My,0.37,0.50
20150129105602091_m0002_31,voice,0.57,0.88
20150129105602091_m0002_31,is,0.99,1.08
20150129105602091_m0002_31,my,1.14,1.28
20150129105602091_m0002_31,password,1.35,1.88
20150713090135243_m0002_31,My,0.37,0.50
20150713090135243_m0002_31,voice,0.57,0.88
20150713090135243_m0002_31,is,0.99,1.08
20150713090135243_m0002_31,my,1.14,1.28
20150713090135243_m0002_31,password,1.35,1.88
20150306113258389_m0002_31,My,0.37,0.50
20150306113258389_m0002_31,voice,0.57,0.88
20150306113258389_m0002_31,is,0.99,1.08
20150306113258389_m0002_31,my,1.14,1.28
20150306113258389_m0002_31,password,1.35,1.88
20150811091723268_m0002_31,My,0.37,0.50
20150811091723268_m0002_31,voice,0.57,0.88
20150811091723268_m0002_31,is,0.99,1.08
20150811091723268_m0002_31,my,1.14,1.28
20150811091723268_m0002_31,password,1.35,1.88
20150302083627353_m0002_31,My,0.37,0.50
20150302083627353_m0002_31,voice,0.57,0.88
20150302083627353_m0002_31,is,0.99,1.08
20150302083627353_m0002_31,my,1.14,1.28
20150302083627353_m0002_31,password,1.35,1.88
20150713090256675_m0002_31,My,0.37,0.50
20150713090256675_m0002_31,voice,0.57,0.88
20150713090256675_m0002_31,is,0.99,1.08
20150713090256675_m0002_31,my,1.14,1.28
20150713090256675_m0002_31,password,1.35,1.88
20150727093234978_m0002_31,My,0.37,0.50
20150727093234978_m0002_31,voice,0.57,0.88
20150727093234978_m0002_31,is,0.99,1.08
20150727093234978_m0002_31,my,1.14,1.28
20150727093234978_m0002_31,password,1.35,1.88
20150727093431588_m0002_31,My,0.37,0.50
20150727093431588_m0002_31,voice,0.57,0.88
20150727093431588_m0002_31,is,0.99,1.08
20150727093431588_m0002_31,my,1.14,1.28
20150727093431588_m0002_31,password,1.35,1.88
20150401080200788_m0002_31,My,0.37,0.50
20150401080200788_m0002_31,voice,0.57,0.88
20150401080200788_m0002_31,is,0.99,1.08
20150401080200788_m0002_31,my,1.14,1.28
20150401080200788_m0002_31,password,1.35,1.88
20150316120925060_m0002_31,My,0.37,0.50
20150316120925060_m0002_31,voice,0.57,0.88
20150316120925060_m0002_31,is,0.99,1.08
20150316120925060_m0002_31,my,1.14,1.28
20150316120925060_m0002_31,password,1.35,1.88
20150622092546897_m0002_31,My,0.37,0.50
20150622092546897_m0002_31,voice,0.57,0.88
20150622092546897_m0002_31,is,0.99,1.08
20150622092546897_m0002_31,my,1.14,1.28
20150622092546897_m0002_31,password,1.35,1.88
20150713085938321_m0002_31,My,0.37,0.50
20150713085938321_m0002_31,voice,0.57,0.88
20150713085938321_m0002_31,is,0.99,1.08
20150713085938321_m0002_31,my,1.14,1.28
20150713085938321_m0002_31,password,1.35,1.88
20150223075914016_m0002_31,My,0.37,0.50
20150223075914016_m0002_31,voice,0.57,0.88
20150223075914016_m0002_31,is,0.99,1.08
20150223075914016_m0002_31,my,1.14,1.28
20150223075914016_m0002_31,password,1.35,1.88
20150309101717512_m0002_31,My,0.37,0.50
20150309101717512_m0002_31,voice,0.57,0.88
20150309101717512_m0002_31,is,0.99,1.08
20150309101717512_m0002_31,my,1.14,1.28
20150309101717512_m0002_31,password,1.35,1.88
20150727093829473_m0002_31,My,0.37,0.50
20150727093829473_m0002_31,voice,0.57,0.88
20150727093829473_m0002_31,is,0.99,1.08
20150727093829473_m0002_31,my,1.14,1.28
20150727093829473_m0002_31,password,1.35,1.88
20150129105741915_m0002_31,My,0.37,0.50
20150129105741915_m0002_31,voice,0.57,0.88
20150129105741915_m0002_31,is,0.99,1.08
20150129105741915_m0002_31,my,1.14,1.28
20150129105741915_m0002_31,password,1.35,1.88
20150420075619519_m0002_31,My,0.37,0.50
20150420075619519_m0002_31,voice,0.57,0.88
20150420075619519_m0002_31,is,0.99,1.08
20150420075619519_m0002_31,my,1.14,1.28
20150420075619519_m0002_31,password,1.35,1.88
20150129105601404_m0002_31,My,0.37,0.50
20150129105601404_m0002_31,voice,0.57,0.88
20150129105601404_m0002_31,is,0.99,1.08
20150129105601404_m0002_31,my,1.14,1.28
20150129105601404_m0002_31,password,1.35,1.88
20150129105602637_m0002_31,My,0.37,0.50
20150129105602637_m0002_31,voice,0.57,0.88
20150129105602637_m0002_31,is,0.99,1.08
20150129105602637_m0002_31,my,1.14,1.28
20150129105602637_m0002_31,password,1.35,1.88
20150811091920347_m0002_31,My,0.37,0.50
20150811091920347_m0002_31,voice,0.57,0.88
20150811091920347_m0002_31,is,0.99,1.08
20150811091920347_m0002_31,my,1.14,1.28
20150811091920347_m0002_31,password,1.35,1.88
20150817100154822_m0002_31,My,0.37,0.50
20150817100154822_m0002_31,voice,0.57,0.88
20150817100154822_m0002_31,is,0.99,1.08
20150817100154822_m0002_31,my,1.14,1.28
20150817100154822_m0002_31,password,1.35,1.88
20150504083857481_m0002_31,My,0.37,0.50
20150504083857481_m0002_31,voice,0.57,0.88
20150504083857481_m0002_31,is,0.99,1.08
