phrase,num_recordings,peak_attention,mean_attention,attention_variance,attention_entropy,top_word
OK Google,484,0.008733067898341672,0.006896551724137931,1.2026218288104878e-06,4.964134855300747,OK
Birthday parties have cupcakes and ice cream,484,0.004903372466361119,0.004219409282700422,1.9529414666930177e-07,5.462450683155279,and
My voice is my password,484,0.00606831867895635,0.004975124378109453,4.738807422810531e-07,5.293657921372244,is
A watched pot never boils,484,0.005490154331886256,0.004878048780487805,1.9503632757973184e-07,5.318843484185056,never
Only lawyers love millionaires,484,0.0034932165366947975,0.003095975232198142,7.287761140422528e-08,5.773795096760571,love
Actions speak louder than words,483,0.002827010265470734,0.0024509803921568627,5.870436790987506e-08,6.006285033945892,speak
Artificial intelligence is for real,484,0.004546884871606606,0.0039215686274509795,1.805417209442547e-07,5.5353371476226245,intelligence
There's no such thing as a free lunch,484,0.0037224832679981475,0.0032467532467532465,1.1051527518727684e-07,5.72475479518548,such
Jealousy has twenty-twenty vision,472,0.0055119070234284405,0.004739336492890996,2.879082133263284e-07,5.34533321891866,twenty-twenty
Necessity is the mother of invention,471,0.00342101254781234,0.003003003003003003,8.555358961852796e-08,5.803293491056914,mother
