Type,Name,Start,End,TA_attn,FR_attn,TR_attn,FA_attn,Difference_FR_TA,Difference_FA_TR
Word,my,0.3586377109537754,0.4930922266773978,0.003959,0.003978,0.003908,0.003934,0.000020,0.000026
Word,voice,0.5560828123104113,0.8734255191364599,0.004488,0.004597,0.004405,0.004365,0.000109,-0.000041
Word,is,0.9829746705191429,1.0786309520863249,0.004488,0.004590,0.004531,0.004394,0.000102,-0.000137
Word,my,1.1341839148094075,1.2771099679330178,0.004317,0.004530,0.004281,0.004189,0.000212,-0.000092
Word,password,1.3464700872529876,1.8868365847896758,0.003370,0.003626,0.003373,0.003229,0.000256,-0.000144
Phoneme,my (M),0.3586377109537754,0.4258649688155866,0.003898,0.003745,0.003865,0.003811,-0.000154,-0.000054
Phoneme,my (AY),0.4258649688155866,0.4930922266773978,0.004020,0.004212,0.003950,0.004057,0.000193,0.000107
Phoneme,voice (V),0.5560828123104113,0.6618637145857609,0.004464,0.004522,0.004326,0.004332,0.000058,0.000006
Phoneme,voice (OY),0.6618637145857609,0.7676446168611104,0.004433,0.004565,0.004337,0.004347,0.000132,0.000010
Phoneme,voice (S),0.7676446168611104,0.8734255191364599,0.004572,0.004709,0.004559,0.004416,0.000136,-0.000144
Phoneme,is (IH),0.9829746705191429,1.0308028113027339,0.004572,0.004599,0.004485,0.004392,0.000027,-0.000094
Phoneme,is (Z),1.0308028113027339,1.0786309520863249,0.004403,0.004581,0.004577,0.004397,0.000177,-0.000181
Phoneme,my (M),1.1341839148094075,1.2056469413712128,0.004361,0.004736,0.004254,0.004302,0.000375,0.000048
Phoneme,my (AY),1.2056469413712128,1.2771099679330178,0.004279,0.004349,0.004304,0.004090,0.000070,-0.000214
Phoneme,password (P),1.3464700872529876,1.436531170175769,0.003948,0.004133,0.003967,0.003777,0.000186,-0.000189
Phoneme,password (AE),1.436531170175769,1.5265922530985503,0.003644,0.003800,0.003629,0.003421,0.000156,-0.000208
Phoneme,password (S),1.5265922530985503,1.6166533360213315,0.003447,0.003663,0.003448,0.003242,0.000216,-0.000206
Phoneme,password (W),1.6166533360213315,1.706714418944113,0.003233,0.003419,0.003118,0.003043,0.000186,-0.000075
Phoneme,password (ER),1.706714418944113,1.7967755018668945,0.002970,0.003300,0.003066,0.002956,0.000331,-0.000111
Phoneme,password (D),1.7967755018668945,1.8868365847896758,0.002979,0.003441,0.003010,0.002934,0.000462,-0.000076
