rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,P,cupcakes,1.7951,1.8449,180,184,2,0.003804,0.000596,3.6885,0.5781
2,EY,cupcakes,1.8947,1.9444,189,194,2,0.003800,0.000645,3.6841,0.6258
3,K,cupcakes,1.9444,1.9942,194,199,4,0.003705,0.000818,3.5926,0.7927
4,N,and,2.1936,2.2517,219,225,1,0.003678,0.000565,3.5661,0.5477
5,R,parties,1.1060,1.1640,111,116,2,0.003640,0.000630,3.5293,0.6112
6,T,parties,1.1640,1.2221,116,122,1,0.003620,0.000635,3.5097,0.6159
7,D,birthday,0.7589,0.8286,76,83,2,0.003605,0.000684,3.4952,0.6632
8,AE,and,2.1356,2.1936,214,219,2,0.003562,0.000407,3.4537,0.3943
9,K,cupcakes,1.8449,1.8947,184,189,4,0.003560,0.000720,3.4517,0.6979
10,Z,parties,1.2801,1.3382,128,134,1,0.003557,0.000670,3.4488,0.6494
11,K,cupcakes,1.6956,1.7454,170,175,4,0.003547,0.000683,3.4391,0.6623
12,ER,birthday,0.6196,0.6893,62,69,1,0.003536,0.000527,3.4288,0.5108
13,S,cupcakes,1.9942,2.0439,199,204,2,0.003529,0.000649,3.4218,0.6294
14,D,and,2.2517,2.3097,225,231,2,0.003528,0.000556,3.4210,0.5388
15,P,parties,0.9899,1.0479,99,105,2,0.003527,0.000767,3.4197,0.7439
16,V,have,1.5459,1.6040,155,160,1,0.003518,0.000832,3.4108,0.8063
17,AA,parties,1.0479,1.1060,105,111,1,0.003501,0.000637,3.3946,0.6174
18,IY,parties,1.2221,1.2801,122,128,2,0.003497,0.000502,3.3908,0.4864
19,AH,cupcakes,1.7454,1.7951,175,180,1,0.003481,0.000667,3.3751,0.6466
20,TH,birthday,0.6893,0.7589,69,76,1,0.003455,0.000662,3.3500,0.6423
21,B,birthday,0.5499,0.6196,55,62,1,0.003455,0.000459,3.3500,0.4455
22,EY,birthday,0.8286,0.8982,83,90,2,0.003375,0.000578,3.2726,0.5600
23,HH,have,1.4298,1.4879,143,149,1,0.003303,0.000419,3.2023,0.4065
24,AE,have,1.4879,1.5459,149,155,2,0.003264,0.000540,3.1645,0.5237
25,AY,ice,2.4014,2.4885,240,249,1,0.003201,0.000515,3.1039,0.4990
26,S,ice,2.4885,2.5755,249,258,2,0.003097,0.000538,3.0030,0.5218
27,R,cream,2.7107,2.7543,271,275,2,0.003071,0.000738,2.9770,0.7156
28,K,cream,2.6672,2.7107,267,271,4,0.003038,0.000791,2.9460,0.7673
29,IY,cream,2.7543,2.7978,275,280,2,0.002883,0.000754,2.7951,0.7312
30,M,cream,2.7978,2.8413,280,284,1,0.002799,0.000744,2.7142,0.7212
