rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,IH,is,1.8500,1.8922,185,189,1,0.003899,0.000384,8.4099,0.8275
2,Z,is,1.8922,1.9345,189,193,1,0.003551,0.000722,7.6585,1.5572
3,S,voice,1.5210,1.6249,152,162,2,0.003550,0.000410,7.6570,0.8836
4,M,my,1.0947,1.1703,109,117,2,0.003536,0.000474,7.6265,1.0214
5,OY,voice,1.4171,1.5210,142,152,1,0.003333,0.000285,7.1899,0.6153
6,AE,password,2.3533,2.4494,235,245,1,0.003312,0.000489,7.1443,1.0551
7,M,my,1.9981,2.0805,200,208,2,0.003305,0.000260,7.1286,0.5607
8,P,password,2.2572,2.3533,226,235,1,0.003153,0.000202,6.8006,0.4361
9,AY,my,1.1703,1.2459,117,125,2,0.003041,0.000216,6.5598,0.4663
10,V,voice,1.3132,1.4171,131,142,1,0.003035,0.000235,6.5462,0.5060
11,AY,my,2.0805,2.1628,208,216,2,0.002979,0.000560,6.4256,1.2071
12,D,password,2.7376,2.8337,274,283,1,0.002589,0.000626,5.5833,1.3493
13,S,password,2.4494,2.5455,245,255,2,0.002473,0.000544,5.3346,1.1727
14,W,password,2.5455,2.6415,255,264,1,0.002306,0.000220,4.9738,0.4750
15,ER,password,2.6415,2.7376,264,274,1,0.002300,0.000270,4.9613,0.5825
