rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,K,speak,1.9374,2.0326,194,203,2,0.003039,0.000491,5.8200,0.9412
2,Z,actions,1.3974,1.5245,140,152,2,0.003033,0.000459,5.8085,0.8785
3,ER,louder,2.7314,2.9219,273,292,2,0.002999,0.000407,5.7448,0.7790
4,L,louder,2.1597,2.3502,216,235,1,0.002994,0.000468,5.7347,0.8966
5,P,speak,1.7468,1.8421,175,184,1,0.002844,0.000483,5.4465,0.9254
6,AW,louder,2.3502,2.5408,235,254,1,0.002800,0.000199,5.3625,0.3821
7,S,speak,1.6515,1.7468,165,175,1,0.002793,0.000267,5.3490,0.5107
8,D,louder,2.5408,2.7314,254,273,2,0.002726,0.000390,5.2209,0.7476
9,AE,than,3.1760,3.3030,318,330,2,0.002706,0.000299,5.1834,0.5736
10,IY,speak,1.8421,1.9374,184,194,1,0.002634,0.000529,5.0440,1.0136
11,N,actions,1.2704,1.3974,127,140,2,0.002595,0.000269,4.9708,0.5159
12,AH,actions,1.1434,1.2704,114,127,1,0.002594,0.000474,4.9673,0.9085
13,DH,than,3.0490,3.1760,305,318,1,0.002582,0.000242,4.9462,0.4631
14,N,than,3.3030,3.4301,330,343,2,0.002358,0.000480,4.5156,0.9202
15,SH,actions,1.0163,1.1434,102,114,1,0.002297,0.000535,4.3987,1.0256
16,ER,words,3.6524,3.7477,365,375,2,0.001955,0.000508,3.7438,0.9730
17,K,actions,0.8893,1.0163,89,102,2,0.001937,0.000304,3.7097,0.5829
18,D,words,3.7477,3.8430,375,384,2,0.001901,0.000319,3.6403,0.6105
19,AE,actions,0.7622,0.8893,76,89,2,0.001851,0.000175,3.5459,0.3351
20,W,words,3.5571,3.6524,356,365,1,0.001798,0.000346,3.4440,0.6623
21,Z,words,3.8430,3.9382,384,394,2,0.001777,0.000184,3.4032,0.3517
