rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,S,such,1.6607,1.7604,166,176,1,0.002919,0.000220,5.6307,0.4252
2,CH,such,1.8600,1.9597,186,196,2,0.002866,0.000203,5.5274,0.3920
3,N,no,1.2290,1.3784,123,138,2,0.002797,0.000367,5.3954,0.7088
4,IH,thing,2.1922,2.2918,219,229,1,0.002772,0.000337,5.3478,0.6494
5,AH,such,1.7604,1.8600,176,186,3,0.002749,0.000290,5.3022,0.5593
6,NG,thing,2.2918,2.3915,229,239,1,0.002729,0.000292,5.2630,0.5631
7,AE,as,2.5243,2.6738,252,267,1,0.002714,0.000170,5.2347,0.3282
8,OW,no,1.3784,1.5279,138,153,1,0.002670,0.000286,5.1507,0.5517
9,F,free,3.3879,3.4876,339,349,1,0.002614,0.000332,5.0427,0.6399
10,TH,thing,2.0925,2.1922,209,219,1,0.002572,0.000225,4.9604,0.4343
11,Z,as,2.6738,2.8233,267,282,2,0.002562,0.000190,4.9413,0.3661
12,AH,a,2.9561,3.2551,296,326,3,0.002385,0.000270,4.6002,0.5212
13,Z,there's,1.0214,1.0961,102,110,2,0.002369,0.000314,4.5692,0.6051
14,R,free,3.4876,3.5872,349,359,2,0.002130,0.000267,4.1090,0.5149
15,R,there's,0.9466,1.0214,95,102,2,0.002054,0.000311,3.9627,0.5992
16,IY,free,3.5872,3.6869,359,369,1,0.002050,0.000357,3.9551,0.6889
17,DH,there's,0.7972,0.8719,80,87,1,0.001927,0.000140,3.7167,0.2695
18,EH,there's,0.8719,0.9466,87,95,1,0.001887,0.000318,3.6404,0.6143
19,CH,lunch,4.0439,4.1187,404,412,2,0.001852,0.000091,3.5728,0.1748
20,AH,lunch,3.8945,3.9692,389,397,3,0.001829,0.000187,3.5284,0.3604
21,N,lunch,3.9692,4.0439,397,404,2,0.001761,0.000118,3.3962,0.2284
22,L,lunch,3.8197,3.8945,382,389,1,0.001635,0.000206,3.1529,0.3967
