rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,T,watched,1.6887,1.8012,169,180,2,0.002992,0.000317,7.3592,0.7799
2,AA,watched,1.4635,1.5761,146,158,2,0.002963,0.000669,7.2871,1.6448
3,N,never,2.5089,2.7340,251,273,1,0.002898,0.000394,7.1260,0.9691
4,CH,watched,1.5761,1.6887,158,169,1,0.002874,0.000459,7.0689,1.1299
5,T,pot,2.2301,2.3802,223,238,2,0.002867,0.000645,7.0512,1.5862
6,EH,never,2.7340,2.9592,273,296,1,0.002862,0.000219,7.0389,0.5385
7,AA,pot,2.0800,2.2301,208,223,2,0.002805,0.000520,6.8988,1.2796
8,W,watched,1.3509,1.4635,135,146,1,0.002734,0.000379,6.7235,0.9317
9,V,never,2.9592,3.1843,296,318,1,0.002725,0.000261,6.7019,0.6427
10,P,pot,1.9299,2.0800,193,208,1,0.002721,0.000413,6.6906,1.0168
11,ER,never,3.1843,3.4095,318,341,1,0.002244,0.000364,5.5193,0.8949
12,OY,boils,3.6507,3.7633,365,376,1,0.002175,0.000619,5.3495,1.5211
13,AH,a,0.7720,1.2223,77,122,1,0.002088,0.000359,5.1356,0.8825
14,B,boils,3.5381,3.6507,354,365,1,0.001946,0.000349,4.7863,0.8584
15,L,boils,3.7633,3.8759,376,388,1,0.001934,0.000486,4.7573,1.1954
16,Z,boils,3.8759,3.9885,388,399,1,0.001832,0.000544,4.5060,1.3379
