rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,T,twenty,2.1934,2.2734,219,227,4,0.003517,0.000530,4.6703,0.7033
2,IY,twenty,2.2734,2.3533,227,235,3,0.003497,0.000585,4.6432,0.7771
3,N,twenty,2.1134,2.1934,211,219,3,0.003484,0.000628,4.6258,0.8338
4,W,twenty,2.5476,2.6275,255,263,2,0.003309,0.000697,4.3935,0.9255
5,EH,twenty,2.0335,2.1134,203,211,3,0.003227,0.000610,4.2847,0.8098
6,EH,twenty,2.6275,2.7075,263,271,3,0.003200,0.000557,4.2488,0.7396
7,T,twenty,2.4676,2.5476,247,255,4,0.003193,0.000470,4.2398,0.6238
8,W,twenty,1.9535,2.0335,195,203,2,0.003189,0.000547,4.2348,0.7262
9,N,twenty,2.7075,2.7875,271,279,3,0.003150,0.000534,4.1834,0.7086
10,Z,has,1.6793,1.7593,168,176,1,0.003146,0.000616,4.1779,0.8181
11,S,jealousy,1.1652,1.2852,117,129,1,0.003125,0.000746,4.1493,0.9902
12,AE,has,1.5994,1.6793,160,168,1,0.003106,0.000475,4.1243,0.6303
13,HH,has,1.5194,1.5994,152,160,1,0.003087,0.000382,4.0997,0.5073
14,T,twenty,1.8735,1.9535,187,195,4,0.003056,0.000465,4.0584,0.6171
15,IY,jealousy,1.2852,1.4052,129,141,3,0.003015,0.000344,4.0030,0.4562
16,IY,twenty,2.8674,2.9474,287,295,3,0.002933,0.000656,3.8948,0.8712
17,AH,jealousy,1.0453,1.1652,105,117,2,0.002835,0.000793,3.7651,1.0528
18,T,twenty,2.7875,2.8674,279,287,4,0.002789,0.000406,3.7035,0.5395
19,L,jealousy,0.9253,1.0453,93,105,1,0.002506,0.000802,3.3279,1.0643
20,V,vision,3.0616,3.1576,306,316,1,0.002486,0.000580,3.3007,0.7703
21,IH,vision,3.1576,3.2536,316,325,1,0.002417,0.000605,3.2091,0.8030
22,EH,jealousy,0.8054,0.9253,81,93,3,0.002339,0.000728,3.1065,0.9661
23,N,vision,3.4455,3.5414,345,354,3,0.002260,0.000541,3.0005,0.7185
24,ZH,vision,3.2536,3.3495,325,335,1,0.002254,0.000401,2.9927,0.5319
25,AH,vision,3.3495,3.4455,335,345,2,0.002140,0.000371,2.8422,0.4929
26,JH,jealousy,0.6854,0.8054,69,81,1,0.002048,0.000436,2.7200,0.5786
