rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,DH,the,1.5790,1.6595,158,166,2,0.003468,0.000377,4.2066,0.4576
2,N,necessity,0.5800,0.6606,58,66,4,0.003436,0.000596,4.1687,0.7232
3,IY,necessity,1.1440,1.2245,114,122,1,0.003436,0.000680,4.1686,0.8249
4,Z,is,1.4017,1.4823,140,148,1,0.003418,0.000493,4.1468,0.5979
5,IH,is,1.3212,1.4017,132,140,2,0.003407,0.000389,4.1331,0.4713
6,DH,mother,1.9979,2.0784,200,208,2,0.003360,0.000477,4.0758,0.5784
7,S,necessity,0.7412,0.8217,74,82,2,0.003346,0.000492,4.0592,0.5965
8,S,necessity,0.9023,0.9828,90,98,2,0.003340,0.000579,4.0513,0.7020
9,M,mother,1.8368,1.9173,184,192,1,0.003333,0.000508,4.0430,0.6158
10,AH,the,1.6595,1.7401,166,174,6,0.003322,0.000436,4.0300,0.5291
11,EH,necessity,0.8217,0.9023,82,90,2,0.003304,0.000474,4.0083,0.5745
12,AH,necessity,0.6606,0.7412,66,74,6,0.003268,0.000566,3.9640,0.6865
13,AH,mother,1.9173,1.9979,192,200,6,0.003254,0.000452,3.9475,0.5486
14,AH,necessity,0.9828,1.0634,98,106,6,0.003238,0.000619,3.9285,0.7507
15,T,necessity,1.0634,1.1440,106,114,1,0.003238,0.000605,3.9284,0.7339
16,ER,mother,2.0784,2.1590,208,216,1,0.003212,0.000381,3.8970,0.4625
17,AH,of,2.2557,2.3362,226,234,6,0.003115,0.000379,3.7792,0.4594
18,V,of,2.3362,2.4168,234,242,2,0.003062,0.000452,3.7142,0.5481
19,IH,invention,2.5135,2.5739,251,257,2,0.003010,0.000378,3.6519,0.4589
20,N,invention,2.5739,2.6343,257,263,4,0.002975,0.000553,3.6088,0.6703
21,N,invention,2.9364,2.9968,294,300,4,0.002903,0.000551,3.5211,0.6684
22,AH,invention,2.8760,2.9364,288,294,6,0.002869,0.000528,3.4799,0.6406
23,V,invention,2.6343,2.6947,263,269,2,0.002832,0.000524,3.4358,0.6361
24,EH,invention,2.6947,2.7552,269,276,2,0.002829,0.000465,3.4321,0.5637
25,SH,invention,2.8156,2.8760,282,288,1,0.002748,0.000522,3.3330,0.6336
26,N,invention,2.7552,2.8156,276,282,4,0.002710,0.000419,3.2874,0.5078
