rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,R,artificial,0.5990,0.6732,60,67,3,0.004036,0.000751,4.2744,0.7953
2,AH,intelligence,1.7478,1.8146,175,181,4,0.003984,0.000691,4.2188,0.7318
3,JH,intelligence,1.6810,1.7478,168,175,1,0.003813,0.000666,4.0377,0.7059
4,AA,artificial,0.5248,0.5990,52,60,1,0.003784,0.000860,4.0075,0.9104
5,EH,intelligence,1.4806,1.5474,148,155,1,0.003751,0.000552,3.9727,0.5848
6,L,intelligence,1.5474,1.6142,155,161,3,0.003696,0.000513,3.9140,0.5432
7,T,artificial,0.6732,0.7475,67,75,2,0.003693,0.000532,3.9113,0.5635
8,SH,artificial,0.9701,1.0443,97,104,1,0.003685,0.000744,3.9023,0.7878
9,IH,intelligence,1.2802,1.3470,128,135,3,0.003675,0.000602,3.8916,0.6375
10,T,intelligence,1.4138,1.4806,141,148,2,0.003666,0.000557,3.8820,0.5897
11,N,intelligence,1.8146,1.8814,181,188,2,0.003641,0.000822,3.8565,0.8704
12,L,artificial,1.1185,1.1927,112,119,3,0.003627,0.000533,3.8416,0.5646
13,AH,artificial,0.7475,0.8217,75,82,4,0.003598,0.000740,3.8107,0.7838
14,AH,artificial,1.0443,1.1185,104,112,4,0.003590,0.000454,3.8022,0.4809
15,AH,intelligence,1.6142,1.6810,161,168,4,0.003568,0.000457,3.7784,0.4842
16,S,intelligence,1.8814,1.9482,188,195,1,0.003563,0.000701,3.7733,0.7419
17,F,artificial,0.8217,0.8959,82,90,2,0.003553,0.000627,3.7630,0.6642
18,N,intelligence,1.3470,1.4138,135,141,2,0.003516,0.000481,3.7234,0.5094
19,IH,artificial,0.8959,0.9701,90,97,3,0.003421,0.000596,3.6231,0.6310
20,IH,is,2.0356,2.1191,204,212,3,0.003369,0.000667,3.5683,0.7061
21,R,real,2.5445,2.6002,254,260,3,0.003147,0.000894,3.3325,0.9466
22,L,real,2.6558,2.7115,266,271,3,0.003118,0.000865,3.3025,0.9163
23,Z,is,2.1191,2.2026,212,220,1,0.003091,0.000517,3.2737,0.5471
24,IY,real,2.6002,2.6558,260,266,1,0.003056,0.000798,3.2365,0.8450
25,R,for,2.4014,2.4571,240,246,3,0.002940,0.000713,3.1136,0.7552
26,AO,for,2.3457,2.4014,235,240,1,0.002923,0.000683,3.0951,0.7235
27,F,for,2.2901,2.3457,229,235,2,0.002921,0.000508,3.0933,0.5379
