rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,M,millionaires,2.9857,3.1060,299,311,1,0.002812,0.000270,5.6519,0.5426
2,L,love,2.4936,2.6139,249,261,4,0.002593,0.000425,5.2109,0.8541
3,IH,millionaires,3.1060,3.2263,311,323,1,0.002567,0.000640,5.1586,1.2871
4,ER,lawyers,2.0736,2.2180,207,222,1,0.002566,0.000397,5.1578,0.7972
5,Y,lawyers,1.9292,2.0736,193,207,2,0.002564,0.000513,5.1525,1.0311
6,Z,lawyers,2.2180,2.3623,222,236,2,0.002559,0.000478,5.1424,0.9614
7,L,lawyers,1.6405,1.7849,164,178,4,0.002537,0.000521,5.0995,1.0473
8,AO,lawyers,1.7849,1.9292,178,193,1,0.002503,0.000631,5.0307,1.2673
9,AH,love,2.6139,2.7342,261,273,2,0.002495,0.000493,5.0139,0.9902
10,Z,millionaires,3.9481,4.0684,395,407,2,0.002472,0.000618,4.9677,1.2419
11,L,millionaires,3.2263,3.3466,323,335,4,0.002463,0.000466,4.9493,0.9357
12,V,love,2.7342,2.8545,273,285,1,0.002407,0.000531,4.8373,1.0677
13,L,only,1.1483,1.3288,115,133,4,0.002320,0.000167,4.6628,0.3358
14,IY,only,1.3288,1.5093,133,151,1,0.002315,0.000176,4.6534,0.3535
15,R,millionaires,3.8278,3.9481,383,395,1,0.002248,0.000472,4.5186,0.9483
16,N,only,0.9679,1.1483,97,115,2,0.002154,0.000336,4.3287,0.6758
17,AH,millionaires,3.4669,3.5872,347,359,2,0.002108,0.000313,4.2366,0.6293
18,OW,only,0.7874,0.9679,79,97,1,0.002094,0.000362,4.2092,0.7277
19,N,millionaires,3.5872,3.7075,359,371,2,0.002077,0.000297,4.1750,0.5976
20,EH,millionaires,3.7075,3.8278,371,383,1,0.002011,0.000304,4.0426,0.6107
21,Y,millionaires,3.3466,3.4669,335,347,2,0.001891,0.000140,3.8007,0.2812
